  37 g	o0900000..	@pcsl%pc:s/A=A--#wn%qpc:#u%:#a1#a1#u0#.k-------	A
  18 g	o0900000..	@pcsl%pc:s/A=A--#wn%qpc:#u%:#a1#a1#u0#.k?------	A
 155 g	o0900000..	@pcsl%pc:s/A=A--#wn%qpc:#u%:#a1#a1#u0#+k-------	A
   6 g	o0900000..	@pcsl%pc:s/A=A--#wn%qpc:#u%:#a1#a1#u0#+k?------	A
   1 g	o0900000..	@pcsl%pc:s/A=A--#wn%qpc:#u%:#a1#a1#u0#+m-------	A
   1 g	o0900010..	@pcsl%pc:s/A₂=A₂--#wn%qpc:#u%:#a1#a1#u0#.k?------	A₂
  43 g	o0900012..	@pcsl%pc:s/=AB~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	AB~a
   9 g	o0900012..	@pcsl%pc:s/=AB~a--#wn%qpc:#u%:#a1#a1#u0#.k?------	AB~a
  98 g	o0900012..	@pcsl%pc:s/=AB~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	AB~a
   4 g	o0900012..	@pcsl%pc:s/=AB~a--#wn%qpc:#u%:#a1#a1#u0#+k?------	AB~a
   1 g	o0900012..	@pcsl%pc:s/=AB~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	AB~a
   7 g	o0900014..	@pcsl%pc:s/=AB~b--#wn%qpc:#u%:#a1#a1#u0#.k-------	AB~b
  45 g	o0900014..	@pcsl%pc:s/=AB~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	AB~b
   1 g	o0900014..	@pcsl%pc:s/=AB~b--#wn%qpc:#u%:#a1#a1#u0#+k?------	AB~b
   1 g	o0900020..	@pcsl%pc:c/AŠ₂=|AB~a×AŠ₂|--#wn%qpc:#u%:#a1#a1#e0#.k-------	|AB~a×AŠ₂|
   1 g	o0900038..	@pcsl%pc:c/ZATU659=|AB~a×ZATU659|--#wn%qpc:#u%:#a1#a1#e0#.k-------	|AB~a×ZATU659|
   2 g	o0900038..	@pcsl%pc:c/ZATU659=|AB~a×ZATU659|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|AB~a×ZATU659|
   2 g	o0900040..	@pcsl%pc:s/=AB~a@g--#wn%qpc:#u%:#a1#a1#u0#+k-------	AB~a@g
   3 g	o0900041..	@pcsl%pc:s/AB₂=AB₂--#wn%qpc:#u%:#a1#a1#u0#-k-------	AB₂
  66 g	o0900041..	@pcsl%pc:s/AB₂=AB₂--#wn%qpc:#u%:#a1#a1#u0#.k-------	AB₂
  12 g	o0900041..	@pcsl%pc:s/AB₂=AB₂--#wn%qpc:#u%:#a1#a1#u0#.k?------	AB₂
 115 g	o0900041..	@pcsl%pc:s/AB₂=AB₂--#wn%qpc:#u%:#a1#a1#u0#+k-------	AB₂
   2 g	o0900041..	@pcsl%pc:s/AB₂=AB₂--#wn%qpc:#u%:#a1#a1#u0#+k?------	AB₂
  16 g	o0900047..	@pcsl%pc:s/ABGAL=ABGAL--#wn%qpc:#u%:#a1#a1#u0#.k-------	ABGAL
   2 g	o0900047..	@pcsl%pc:s/ABGAL=ABGAL--#wn%qpc:#u%:#a1#a1#u0#.k?------	ABGAL
  14 g	o0900047..	@pcsl%pc:s/ABGAL=ABGAL--#wn%qpc:#u%:#a1#a1#u0#+k-------	ABGAL
   1 g	o0900049..	@pcsl%pc:s/ABRIG=ABRIG--#wn%qpc:#u%:#a1#a1#u0#+k-------	ABRIG
   1 g	o0900049..	@pcsl%pc:s/ABRIG=ABRIG--#wn%qpc:#u%:#a1#a1#u0#+k?------	ABRIG
   2 g	o0900050..	@pcsl%pc:s/ABZU=ABZU--#wn%qpc:#u%:#a1#a1#u0#.k-------	ABZU
   1 g	o0900050..	@pcsl%pc:s/ABZU=ABZU--#wn%qpc:#u%:#a1#a1#u0#.k?------	ABZU
   8 g	o0900053..	@pcsl%pc:s/=AD~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	AD~a
  19 g	o0900053..	@pcsl%pc:s/=AD~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	AD~a
   1 g	o0900053..	@pcsl%pc:s/=AD~a--#wn%qpc:#u%:#a1#a1#u0#+k?------	AD~a
   2 g	o0900054..	@pcsl%pc:s/=AD~b--#wn%qpc:#u%:#a1#a1#u0#.k-------	AD~b
   2 g	o0900056..	@pcsl%pc:s/ADAB=ADAB--#wn%qpc:#u%:#a1#a1#u0#.k-------	ADAB
   1 g	o0900056..	@pcsl%pc:s/ADAB=ADAB--#wn%qpc:#u%:#a1#a1#u0#.k?------	ADAB
   9 g	o0900056..	@pcsl%pc:s/ADAB=ADAB--#wn%qpc:#u%:#a1#a1#u0#+k-------	ADAB
   1 g	o0900058..	@pcsl%pc:s/ADDA=ADDA--#wn%qpc:#u%:#a1#a1#u0#+k-------	ADDA
   4 g	o0900060..	@pcsl%pc:s/AGAR₂=AGAR₂--#wn%qpc:#u%:#a1#a1#u0#.k-------	AGAR₂
   1 g	o0900060..	@pcsl%pc:s/AGAR₂=AGAR₂--#wn%qpc:#u%:#a1#a1#u0#.k?------	AGAR₂
   9 g	o0900060..	@pcsl%pc:s/AGAR₂=AGAR₂--#wn%qpc:#u%:#a1#a1#u0#+k-------	AGAR₂
  10 g	o0900062..	@pcsl%pc:s/=AK~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	AK~a
   3 g	o0900062..	@pcsl%pc:s/=AK~a--#wn%qpc:#u%:#a1#a1#u0#.k?------	AK~a
  20 g	o0900062..	@pcsl%pc:s/=AK~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	AK~a
   1 g	o0900062..	@pcsl%pc:s/=AK~a--#wn%qpc:#u%:#a1#a1#u0#+k?------	AK~a
  19 g	o0900064..	@pcsl%pc:s/AL=AL--#wn%qpc:#u%:#a1#a1#u0#.k-------	AL
   5 g	o0900064..	@pcsl%pc:s/AL=AL--#wn%qpc:#u%:#a1#a1#u0#.k?------	AL
  33 g	o0900064..	@pcsl%pc:s/AL=AL--#wn%qpc:#u%:#a1#a1#u0#+k-------	AL
   3 g	o0900064..	@pcsl%pc:s/AL=AL--#wn%qpc:#u%:#a1#a1#u0#+k?------	AL
   1 g	o0900066..	@pcsl%pc:s/=ALAN~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	ALAN~a
