o0980000	s	A	A	3
o0980025	s	AB₂	AB₂	1
o0980053	s	AMAR	AMAR	5
o0980058	e		-	2
o0980077	s	BA	BA	2
o0980105	s	BARA₂~a	BARA₂~a	1
o0980109	s	BIR~a	BIR~a	1
o0980137	s	DA~a	DA~a	1
o0980159	s	DARA₄~a1	DARA₄~a1	1
o0980174	s	DIM~a	DIM~a	1
o0980179	s	DIN	DIN	2
o0980182	s	DU	DU	1
o0980196	c	|DU₈~c×HI|	|DU₈~c×HI|	1
o0980202	s	DUB~b@r	DUB~b@r	1
o0980301	s	E₂~b	E₂~b	3
o0980309	s	EN~a	EN~a	7
o0980314	s	EN~e	EN~e	1
o0980330	s	ERIN	ERIN	4
o0980353	s	EZEN~b@t	EZEM~c	1
o0980420	c	|GA₂~b×NUN~b|	|GA₂~b×NUN~b|	1
o0980430	s	GAL~a	GAL~a	3
o0980453	s	GAN₂	GAN₂	4
o0980469	s	GEŠTU~b	GEŠTU~b	6
o0980500	s	GIR~a	GIR~a	1
o0980575	s	HAL	HAL	1
o0980579	s	HI	HI	2
o0980589	s	HI~b	HI~b	1
o0980595	s	IB~a	IB~a	2
o0980619	s	IŠ~b	IŠ~b	1
o0980629	s	KAB	KAB	1
o0980629	s	KAB	TUKU	2
o0980662	s	KI	KI	1
o0980682	s	KISAL~b1	KISAL~b1	1
o0980689	s	KIŠ	KIŠ	4
o0980699	s	KU₆~a	KU₆~a	1
o0980707	s	KUR~a	KUR~a	2
o0980713	s	KUR~d	KUR~d	1
o0980758	c	|LAGAB~b×(HI×1(N04))|	|LAGAB~b×(HI×N04)|	1
o0980830	s	MAR~a	MAR~a	3
o0980839	s	MAŠ₂	MAŠ₂	1
o0980869	s	MUŠ₃~a@g	MUŠ₃~a@g	1
o0980871	e		-	3
o0980889	s	NAGA~a	NAGA	1
o0980889	s	NAGA~a	NAGA~a	1
o0980898	e		-	2
o0980907	s	NAR	NAR	1
o0980933	s	|SAL.NAM₂|	NIN	1
o0980960	c	|NINDA₂×X|	|NINDA₂×X|	1
o0980981	s	NUN~a	NUN~a	3
o0980983	c	|NUN~a+EN~a|	|EN~a×NUN~a|	1
o0980989	c	|NUN~b+EN~a|	|NUN~b+EN~a|	1
o0980995	s	NUNUZ~a2	NUNUZ~a2	1
o0980999	s	PA~a	PA~a	2
o0981004	s	PAP~a	PAP~a	11
o0981017	s	RAD~a	RAD~a	1
o0981028	s	SAG	SAG	2
o0981041	e		-	1
o0981041	s	SAL	SAL	2
o0981050	s	SANGA~a	SANGA~a	7
o0981059	s	SI	SI	7
o0981068	s	SI₄~a	SI₄~a	4
o0981160	s	SUKKAL	SUKKAL	1
o0981181	s	ŠA₃~a1	ŠA₃~a1	1
o0981182	s	ŠA₃~a2	ŠA₃~a2	2
o0981200	e		-	4
o0981200	s	ŠE~a	ŠE~a	5
o0981203	c	|ŠE~a.NAM₂|	|ŠE~a×NAM₂|	1
o0981208	s	ŠE₃	ŠE₃	1
o0981225	s	ŠIM~a	ŠIM~a	1
o0981247	s	ŠU	ŠU	10
o0981252	e		-	2
o0981252	s	ŠU₂	ŠU₂	2
o0981253	c	|ŠU₂.AN|	|ŠU₂.AN|	1
o0981253	c	|ŠU₂.AN|	|ŠU₂×AN|	1
o0981265	c	|ŠU₂×3(N57)|	|ŠU₂×3(N57)|	1
o0981267	s	ŠUBUR	ŠUBUR	3
o0981272	s	ŠUR₂~c	ŠUR₂~c	2
o0981291	s	TAK₄~a	TAK₄~a	1
o0981320	s	TUR	TUR	5
o0981323	s	TUR₃~a	TUR₃~a	2
o0981325	s	TUR₃~a@n	TUR₃~a@n	1
o0981329	s	U₂~a	U₂~a	1
o0981330	s	U₂~b	U₂~b	2
o0981332	s	U₄	U₄	2
o0981381	c	|U₄×1(N57)|	|U₄×1(N57)|	1
o0981394	s	UB	UB	1
o0981402	s	UDU~a	UDU	1
o0981402	s	UDU~a	UDU~a	1
o0981432	s	UNUG~a	UNUG~a	2
o0981448	s	UR₃~b1	UR₃~b1	1
o0981449	c	|UR₃~b1×MAŠ|	|UR₃~b1×MAŠ|	1
o0981451	s	UR₃~d2	UR₃~d2	1
o0981463	s	URU~a1	URU~a1	1
o0981506	s	|MUŠEN.ŠE~a|	UZ~a	3
o0981578	s	ZATU659	ZATU659	1
o0981602	s	ZATU678	ZATU678	1
o0981645	s	ZATU704	ZATU704	1
o0981714	s	ZATU753	ZATU753	4
o0981741	s	ZATU773~b	ZATU773~b	2
o0981805	s	ZATU842	ZATU842	1
o0981807	s	ZATU844	ZATU844	1
o0981828	n	1(N01)	1(N01)	49
o0981829	n	2(N01)	2(N01)	9
o0981830	n	3(N01)	3(N01)	7
o0981831	n	4(N01)	4(N01)	8
o0981832	n	5(N01)	5(N01)	9
o0981833	n	6(N01)	6(N01)	3
o0981834	n	7(N01)	7(N01)	2
o0981836	n	9(N01)	9(N01)	3
o0981840	n	3(N01@f)	3(N01@f)	1
o0981841	n	4(N01@f)	4(N01@f)	1
o0981845	n	8(N01@f)	8(N01@f)	1
o0981912	n	1(N14)	1(N14)	14
o0981913	n	2(N14)	2(N14)	9
o0981914	n	3(N14)	3(N14)	6
o0981915	n	4(N14)	4(N14)	3
o0981916	n	5(N14)	5(N14)	1
o0981917	n	6(N14)	6(N14)	1
o0981927	n	3(N14@f)	3(N14@f)	1
o0982026	n	1(N34)	1(N34)	1
o0982028	n	2(N34)	2(N34)	2
o0982029	n	3(N34)	3(N34)	1
o0982031	n	5(N34)	5(N34)	13
o0982091	n	1(N45)	1(N45)	1
o0982118	n	1(N48)	1(N48)	2
o0982119	n	2(N48)	2(N48)	4
o0982120	n	3(N48)	3(N48)	1
o0982172	n	1(N57)	1(N57)	1
o0982173	n	2(N57)	2(N57)	1
o0982174	n	3(N57)	3(N57)	4
o0982179	n	8(N57)	8(N57)	1
o0982246	s	X	X	17
