o0900000	e		-	2
o0900000	s	A	A	16
o0900012	s	AB~a	AB~a	7
o0900014	s	AB~b	AB~b	2
o0900018	c	|AB~a×A@t|	|AB~a×A@t|	1
o0900040	s	AB~a@g	AB~a@g	1
o0900041	s	AB₂	AB₂	9
o0900056	s	ADAB	ADAB	5
o0900062	s	AK~a	AK~a	3
o0900063	s	AK~b	AK~b	1
o0900064	s	AL	AL	3
o0900066	s	ALAN~a	ALAN~a	2
o0900068	s	ALAN~c	ALAN~c	1
o0900069	s	ALAN~d	ALAN~d	1
o0900077	s	AMA~a	AMA~a	2
o0900079	s	AMA~b	AMA~b	1
o0900082	s	AMAR	AMAR	7
o0900089	s	AN	AN	21
o0900093	s	ANŠE~a	ANŠE~a	2
o0900094	s	ANŠE~b	ANŠE~b	1
o0900100	s	APIN~a	APIN~a	5
o0900115	s	BA	BA	18
o0900116	e		-	3
o0900117	e		-	2
o0900124	s	BAHAR₂~a	BAHAR₂~a	3
o0900127	s	BAHAR₂~b	BAHAR₂~b	1
o0900133	s	BALAG	BALAG	1
o0900138	s	BAN~a	BAN~a	1
o0900139	s	BAN~b	BAN~b	1
o0900154	s	BAR	BAR	13
o0900158	s	BARA₂~a	BARA₂~a	6
o0900175	s	BU~a	BU~a	6
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	1
o0900206	s	BULUG	BULUG	1
o0900211	s	BUR~a	BUR~a	1
o0900215	s	BUR₂	BUR₂	2
o0900217	s	DA~a	DA~a	6
o0900251	s	DARA₄~a3	DARA₄~a3	1
o0900252	s	DARA₄~b	DARA₄~b	2
o0900254	s	DARA₄~c1	DARA₄~c1	1
o0900260	s	DI	DI	3
o0900276	s	DIN	DIN	13
o0900278	s	DIN@t	DIN@t	1
o0900279	e		-	1
o0900279	s	DU	DU	9
o0900309	s	DU₈~c@g	DU₈~c@g	1
o0900312	s	DUB~a	DUB~a	2
o0900315	s	DUB~b	DUB~b	4
o0900319	s	DUB~d	DUB~d	1
o0900331	s	DUG~a	DUG~a	13
o0900334	s	DUG~b	DUG~b	13
o0900351	c	|DUG~b×DIN|	|DUG~b×DIN|	4
o0900370	c	|DUG~b×HI|	|DUG~b×HI|	1
o0900391	c	|DUG~b×MAŠ|	|DUG~b×MAŠ|	2
o0900394	c	|DUG~a×1(N57)|	|DUG~a×1(N57)|	1
o0900395	c	|DUG~b×1(N57)|	|DUG~b×1(N57)|	1
o0900461	c	|DUG~b×X|	|DUG~b×X|	3
o0900483	s	DUR~a	DUR~a	3
o0900484	s	DUR~b	DUR~b	1
o0900487	s	E~a	E~a	1
o0900488	s	E~b	E~b	1
o0900490	s	E~d	E~d	1
o0900493	e		-	1
o0900493	s	E₂~a	E₂~a	10
o0900494	s	E₂~b	E₂~b	1
o0900508	s	|DU.U₄.1(N14).1(N08)|	E₃~a	1
o0900516	e		-	3
o0900516	s	EN~a	EN~a	44
o0900517	e		-	2
o0900517	s	EN~b	EN~b	11
o0900523	c	|EN~c&EN~c|	|EN~c&EN~c|	1
o0900526	s	EN@g~b	EN@g~b	2
o0900529	s	EN₂	EN₂	1
o0900541	s	ERIM~a	ERIM~a	24
o0900545	s	ERIN	ERIN	4
o0900546	e		-	1
o0900550	s	EZEN~a	EZEN~a	3
o0900573	c	|EZEN~a×NIM~b2|	|EZEN~a×NIM~b2|	1
o0900583	c	|EZEN~a×(U₂~b.A)|	|EZEN~a×(U₂~b.A)|	1
o0900594	s	EZINU~a	EZINU~a	1
o0900596	s	EZINU~c	EZINU~c	2
o0900597	s	EZINU~d	EZINU~d	1
o0900602	e		-	1
o0900602	s	GA~a	GA~a	14
o0900607	c	|GA~a.ZATU753|	|GA~a.ZATU753|	1
o0900616	s	GA₂~a1	GA₂~a1	6
o0900620	s	GA₂~b	GA₂~b	1
o0900625	c	|GA₂~b×DUB~a|	|GA₂~b×DUB~a|	2
o0900650	c	|GA₂~a1×HI|	|GA₂~a1×HI|	2
o0900657	c	|GA₂~a1×KU₆~a|	|GA₂~a1×KU₆~a|	1
o0900668	c	|GA₂~a1×1(N57)|	|GA₂~a1×1(N57)|	1
o0900694	c	|GA₂~a1×SUKUD|	|GA₂~a1×SUKUD|	2
o0900696	c	|GA₂~a1×((SUKUD+SUKUD)~a)|	|GA₂~a1×(SUKUD&SUKUD)~a|	1
o0900719	s	GAʾAR~a1	GAʾAR~a1	1
o0900720	s	GAʾAR~a2	GAʾAR~a2	1
o0900724	s	GADA~a	GADA~a	14
o0900725	s	GADA~b	GADA~b	1
o0900727	s	GADA~b@g	GADA~b@g	4
o0900729	e		-	1
o0900729	s	GAL~a	GAL~a	11
o0900730	s	GAL~b	GAL~b	2
o0900741	s	GAN~b	GAN~b	1
o0900778	s	GAN₂	GAN₂	1
o0900779	s	GAR	GAR	29
o0900786	s	GARA₂~a	GARA₂~a	2
o0900797	s	GEŠTU~a	GEŠTU~a	3
o0900800	s	GEŠTU~b	GEŠTU~b	6
o0900801	s	GEŠTU~c3	GEŠTU~c3	1
o0900806	s	GI	GI	8
o0900817	c	|GI×NAM₂|	|GI×NAM₂|	1
o0900821	c	|GI×X|	|GI×X|	1
o0900830	s	GI₄~b	GI₄~b	1
o0900836	s	GI₆	GI₆	1
o0900849	s	GIR~d	GIR~d	1
o0900855	s	GIR₂~a	GIR₂~a	2
o0900858	s	GIR₃~a	GIR₃~a	1
o0900860	s	GIR₃~c	GIR₃~c	2
o0900875	s	GIŠ	GIŠ	5
o0900885	s	GIŠ@t	GIŠ@t	1
o0900896	s	GIŠIMMAR~a1	GIŠIMMAR~a1	1
o0900902	s	GIŠIMMAR~b2	GIŠIMMAR~b2	1
o0900906	s	GU	GU	2
o0900908	s	GU₄	GU₄	4
o0900912	s	GU₇	GU₇	4
o0900916	s	GUB₃~a	GUB₃~a	4
o0900920	s	GUG₂	GUG₂	5
o0900937	s	GUM~a	GUM~a	1
o0900938	s	GUM~b	GUM~b	1
o0900945	s	GUN₃~b	GUN₃~b	1
o0900949	s	GURUŠ~a	GURUŠ~a	3
o0900952	c	|GURUŠ~a×2(N14)|	|GURUŠ~a×2(N14)|	2
o0900953	c	|GURUŠ~b×2(N14)|	|GURUŠ~b×2(N14)|	1
o0900955	s	GURUŠDA	GURUŠDA	3
o0900956	s	HAL	HAL	3
o0900958	s	HAŠHUR	HAŠHUR	9
o0900960	e		-	2
o0900960	s	HI	HI	2
o0900964	c	|HI.SUHUR|	|HI.SUHUR|	2
o0900971	c	|HI×1(N58)|	|HI×1(N58)|	1
o0900974	c	|HI×ZATU707~a|	|HI×ZATU707~a|	1
o0900983	e		-	1
o0900983	s	IB~a	IB~a	7
o0901005	s	IN~b	IN~b	1
o0901012	s	IR~d	IR~d	1
o0901022	s	IŠ~b	IŠ~b	1
o0901030	s	KA~a	KA~a	1
o0901040	s	KA₂~c	KA₂~c	1
o0901044	s	KAB	KAB	9
o0901045	c	|KAB×1(N58)|	|KAB×1(N58)|	1
o0901049	s	KAD₄~c1	KAD₄~c1	1
o0901050	s	KAD₄~c2	KAD₄~c2	1
o0901052	s	KAK~a	KAK~a	1
o0901062	s	KALAM~a	KALAM~a	1
o0901063	s	KALAM~b	KALAM~b	3
o0901071	s	|TE.A|	KAR	2
o0901073	s	KAR₂~a	KAR₂~a	1
o0901075	s	KASKAL	KASKAL	1
o0901078	s	KAŠ~a	KAŠ~a	4
o0901080	s	KAŠ~b	KAŠ~b	7
o0901082	s	KAŠ~c	KAŠ~c	15
o0901090	s	KI	KI	5
o0901094	s	KIB	KIB	1
o0901114	s	KISAL~a2	KISAL~a2	1
o0901115	s	KISAL~b1	KISAL~b1	2
o0901137	s	KU~b1	KU~b1	1
o0901142	s	KU₃~a	KU₃~a	1
o0901145	s	KU₆~a	KU₆~a	18
o0901147	s	KU₆~d	KU₆~d	1
o0901153	c	|KU₆~a+KU₆~a|	|KU₆~a+KU₆~a|	1
o0901158	e		-	4
o0901158	s	KUR~a	KUR~a	3
o0901159	e		-	1
o0901159	s	KUR~b	KUR~b	1
o0901165	c	|KUR~b.E₂~a|	|KUR~b.E₂~a|	1
