o0900189	e		-	2
o0903368	e		-	1
o0903368	s	X	X	1000
o0903430	e		-	2
o0903650	e		-	2
o0980000	e		-	2
o0980000	s	A	A	47
o0980003	c	|A×EN~a|	|A×EN~a|	1
o0980004	c	|A×ŠUBUR|	|A×ŠUBUR|	1
o0980005	c	|A×ZATU672|	|A×ZATU672|	1
o0980006	c	|A×1(N14)|	|A×1(N14)|	1
o0980009	s	A₂	A₂	1
o0980010	e		-	1
o0980010	s	AB~a	AB~a	39
o0980011	c	|AB~a×A@t|	|AB~a×A@t|	2
o0980020	s	AB~a@g	AB~a@g	1
o0980021	e		-	1
o0980021	s	AB~b	AB~b	2
o0980025	e		-	1
o0980025	s	AB₂	AB₂	85
o0980026	c	|AB₂×2(N14)|	|AB₂×2(N14)|	2
o0980032	s	AD~b	AD~b	1
o0980034	s	ADAB	ADAB	18
o0980038	s	AK~a	AK~a	9
o0980039	s	AK~b	AK~b	2
o0980040	s	AL	AL	14
o0980041	s	ALAN~a	ALAN~a	2
o0980043	s	ALAN~c	ALAN~c	1
o0980044	s	ALAN~d	ALAN~d	1
o0980050	s	AMA~a	AMA~a	20
o0980052	s	AMA~b	AMA~b	2
o0980053	s	AMAR	AMAR	30
o0980055	c	|AMAR×TAR~c|	|AMAR×TAR|	1
o0980056	c	|AMAR&AMAR|	|AMAR&AMAR|	1
o0980057	s	AMAR@g	AMAR@g	1
o0980058	s	AN	AN	123
o0980059	s	ANŠE~a	ANŠE~a	5
o0980060	s	ANŠE~b	ANŠE~b	2
o0980061	s	ANŠE~c	ANŠE~c	1
o0980062	s	ANŠE~e	ANŠE~e	3
o0980065	e		-	2
o0980065	s	APIN~a	APIN~a	23
o0980066	c	|APIN~a.APIN~a|	|APIN~a.APIN~a|	1
o0980068	s	APIN~c	APIN~c	1
o0980070	s	|U₄.AB~b|	ARARMA₂~b	1
o0980076	s	AZU	AZU	2
o0980077	s	BA	BA	127
o0980078	e		-	21
o0980078	s	BAD	BAD	1
o0980079	e		-	3
o0980083	s	BAHAR₂~a	BAHAR₂~a	3
o0980084	s	BAHAR₂~b	BAHAR₂~b	2
o0980087	s	BALA~b	BALA~b	1
o0980088	s	BALAG	BALAG	8
o0980089	s	BAN~a	BAN~a	9
o0980090	s	BAN~b	BAN~b	1
o0980091	s	BANŠUR~a	BANŠUR~a	1
o0980092	s	BANŠUR~a@t	BANŠUR~a@t	1
o0980102	s	BAR	BAR	40
o0980105	s	BARA₂~a	BARA₂~a	17
o0980106	s	BARA₂~b	BARA₂~b	4
o0980109	s	BIR~a	BIR~a	3
o0980110	s	BIR~b	BIR~b	1
o0980111	s	BIR~c	BIR~c	1
o0980112	s	BIR₃~a	BIR₃~a	1
o0980113	s	BIR₃~b	BIR₃~b	3
o0980115	e		-	1
o0980115	s	BU~a	BU~a	51
o0980117	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	4
o0980120	c	|BU~a×A|	|BU~a×A|	1
o0980123	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	1
o0980124	c	|(BU~a&BU~a).X|	|(BU~a&BU~a).X|	1
o0980125	c	|(BU~a%BU~a).NA₂~a@n|	|(BU~a&BU~a).NA₂~a@n|	2
o0980126	s	BU~b	BU~b	2
o0980129	s	BULUG	BULUG	3
o0980132	s	BUR~a	BUR~a	1
o0980133	s	BUR~b	BUR~b	1
o0980134	s	BUR~c	BUR~c	1
o0980136	s	BUR₂	BUR₂	4
o0980137	s	DA~a	DA~a	27
o0980139	s	DA~b	DA~b	3
o0980140	s	DA~c	DA~c	2
o0980141	s	DA~d	DA~d	1
o0980143	s	DAH	DAH	1
o0980145	s	DANNA	DANNA	1
o0980151	s	DARA₃~a	DARA₃~a	3
o0980152	s	DARA₃~b	DARA₃~b	1
o0980153	s	DARA₃~c	DARA₃~c	1
o0980155	c	|DARA₃~c×(KAR₂.ŠE~a)|	|DARA₃~c×(KAR₂.ŠE~a)|	1
o0980158	c	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂|	2
o0980159	s	DARA₄~a1	DARA₄~a1	2
o0980160	s	DARA₄~a2	DARA₄~a2	3
o0980161	s	DARA₄~a3	DARA₄~a3	2
o0980162	s	DARA₄~b	DARA₄~b	4
o0980164	s	DARA₄~c1	DARA₄~c1	1
o0980165	s	DARA₄~c2	DARA₄~c2	3
o0980170	s	DI	DI	19
o0980171	s	DI@t	DI@t	1
o0980172	s	DIB	DIB	2
o0980173	s	DILMUN	DILMUN	1
o0980174	s	DIM~a	DIM~a	5
o0980177	s	DIM~b	DIM~b	2
o0980178	s	DIM~c	DIM~c	2
o0980179	s	DIN	DIN	45
o0980181	s	DIN@t	DIN@t	2
o0980182	e		-	1
o0980182	s	DU	DU	27
o0980185	s	DU₆~a	DU₆~a	1
o0980188	s	DU₆~b	DU₆~b	1
o0980189	s	DU₆~c	DU₆~c	1
o0980191	s	DU₈~a	DU₈~a	1
o0980192	s	DU₈~b	DU₈~b	2
o0980193	s	DU₈~c	DU₈~c	6
o0980196	c	|DU₈~c×HI|	|DU₈~c×HI|	1
o0980199	s	DU₈~c@g	DU₈~c@g	1
o0980200	s	DUB~a	DUB~a	7
o0980201	s	DUB~b	DUB~b	40
o0980203	s	DUB~c	DUB~c	1
o0980204	s	DUB~d	DUB~d	2
o0980208	c	|(DUB@n~a×1(N58))~a|	|(DUB×DIŠ)~a|	5
o0980210	c	|DUB@n~b×1(N58)~a|	|(DUB×DIŠ)~b|	1
o0980212	s	DUG~a	DUG~a	39
o0980219	c	|DUG~a×U₂~b|	|DUG~a×U₂~b|	1
o0980221	c	|DUG~a×1(N57)|	|DUG~a×1(N57)|	1
o0980222	s	DUG~b	DUG~b	48
o0980223	c	|DUG~b×AB₂|	|DUG~b×AB₂|	1
o0980229	c	|DUG~b×DIN|	|DUG~b×DIN|	5
o0980230	c	|(DUG~b×DIN)@r|	|DUG~b@r×DIN|	1
o0980238	c	|DUG~b×HI|	|DUG~b×HI|	3
o0980239	c	|DUG~b×HI@g~a|	|DUG~b×HI@g~a|	7
o0980247	c	|DUG~b×MAŠ|	|DUG~b×MAŠ|	4
o0980261	c	|DUG~b×ŠE~a|	|DUG~b×ŠE~a|	5
o0980272	c	|DUG~b×X|	|DUG~b×X|	6
o0980279	c	|DUG~b×1(N57)|	|DUG~b×1(N57)|	6
o0980283	c	|(DUG~b&DUG~b)×1(N58)|	|DUG~b&(DUG~b×1(N58))|	1
o0980284	s	DUG~c	DUG~c	61
o0980285	c	|DUG~c×1(N57)|	|DUG~c×1(N57)|	25
o0980286	s	DUG~c@t	DUG~c@t	1
o0980289	s	DUR~a	DUR~a	21
o0980290	s	DUR~b	DUR~b	1
o0980291	s	DUR₂	DUR₂	4
o0980292	s	E~a	E~a	1
o0980293	s	E~b	E~b	1
o0980294	s	E~c	E~c	1
o0980295	s	E~d	E~d	1
o0980297	e		-	1
o0980297	s	E₂~a	E₂~a	22
o0980301	s	E₂~b	E₂~b	5
o0980306	s	|DU.U₄.1(N14).1(N08)|	E₃~a	1
o0980309	e		-	12
o0980309	s	EN~a	EN~a	153
o0980310	e		-	2
o0980310	s	EN~b	EN~b	72
o0980311	s	EN~b@t	EN~b@t	1
o0980313	c	|EN~c&EN~c|	|EN~c&EN~c|	1
o0980315	s	EN@g~a	EN@g~a	2
o0980316	s	EN@g~b	EN@g~b	11
o0980317	s	EN₂	EN₂	4
o0980326	s	ERIM~a	ERIM~a	69
o0980327	s	ERIM~b1	ERIM~b1	1
o0980328	s	ERIM~b2	ERIM~b2	1
o0980330	s	ERIN	ERIN	33
o0980331	e		-	3
o0980331	s	EŠDA	EŠDA	22
o0980333	s	EŠGAR	EŠGAR	6
o0980334	s	EZEN~a	EZEN~a	11
o0980335	c	|EZEN~a×EN~a|	|EZEN~a×EN~a|	1
o0980336	c	|EZEN~a×EN~b|	|EZEN~a×EN~b|	1
o0980338	c	|EZEN~a×KAB|	|EZEN~a×KAB|	1
o0980342	c	|EZEN~a×NIM~b2|	|EZEN~a×NIM~b2|	1
o0980343	c	|EZEN~a×NIMGIR|	|EZEN~a×NIMGIR|	1
o0980344	c	|EZEN~a×RAD~a|	|EZEN~a×RAD~a|	1
o0980347	c	|EZEN~a×(U₂~b.A)|	|EZEN~a×(U₂~b.A)|	1
o0980348	c	|EZEN~a×U₄|	|EZEN~a×U₄|	1
o0980349	c	|EZEN~a×X|	|EZEN~a×X|	1
o0980350	s	EZEN~b	EZEN~b	1
o0980353	s	EZEN~b@t	EZEN~c	3
o0980354	s	EZINU~a	EZINU~a	1
o0980356	s	EZINU~c	EZINU~c	2
o0980357	s	EZINU~d	EZINU~d	5
o0980358	e		-	1
o0980358	s	GA~a	GA~a	52
o0980359	c	|GA~a.ZATU753|	|GA~a.ZATU753|	1
o0980365	s	GA₂~a1	GA₂~a1	13
o0980366	c	|GA₂~a1×A|	|GA₂~a1×A|	1
o0980369	c	|GA₂~a1×EN~b|	|GA₂~a1×EN~b|	1
o0980375	c	|GA₂~a1×GIŠ@t|	|GA₂~a1×GIŠ@t|	1
o0980377	c	|GA₂~a1×HAL|	|GA₂~a1×HAL|	1
o0980378	c	|GA₂~a1×HI|	|GA₂~a1×HI|	3
o0980379	c	|GA₂~a1×(HI.SUHUR)|	|GA₂~a1×(HI.SUHUR)|	1
o0980381	c	|GA₂~a1×KU₆~a|	|GA₂~a1×KU₆~a|	4
o0980383	c	|GA₂~a1×LAGAB~b|	|GA₂~a1×LAGAB~b|	1
o0980391	c	|GA₂~a1×SUHUR|	|GA₂~a1×SUHUR|	4
o0980392	c	|GA₂~a1×SUKUD|	|GA₂~a1×SUKUD|	7
o0980393	c	|GA₂~a1×((SUKUD+SUKUD)~a)|	|GA₂~a1×(SUKUD&SUKUD)~a|	1
o0980395	c	|GA₂~a1×SUMAŠ|	|GA₂~a1×SUMAŠ|	1
o0980399	c	|GA₂~a1×X|	|GA₂~a1×X|	4
