o0980000	s	A	A	30	1
o0980003	c	|A×EN~a|	|A×EN~a|	1	6
o0980004	c	|A×ŠUBUR|	|A×ŠUBUR|	1	8
o0980005	c	|A×ZATU672|	|A×ZATU672|	1	10
o0980006	c	|A×1(N14)|	|A×1(N14)|	1	12
o0980009	s	A₂	A₂	1	20
o0980010	e		-	1	22
o0980010	s	AB~a	AB~a	30	22
o0980011	c	|AB~a×A@t|	|AB~a×A@t|	1	23
o0980021	e		-	1	48
o0980025	e		-	1	56
o0980025	s	AB₂	AB₂	79	56
o0980026	c	|AB₂×2(N14)|	|AB₂×2(N14)|	2	57
o0980032	s	AD~b	AD~b	1	76
o0980033	s	AD~c	AD~c	1	78
o0980034	s	ADAB	ADAB	14	80
o0980038	s	AK~a	AK~a	8	89
o0980039	s	AK~b	AK~b	2	91
o0980040	s	AL	AL	10	93
o0980050	s	AMA~a	AMA~a	16	113
o0980052	s	AMA~b	AMA~b	1	118
o0980053	s	AMAR	AMAR	21	120
o0980055	c	|AMAR×TAR~c|	|AMAR×TAR|	1	124
o0980056	c	|AMAR&AMAR|	|AMAR&AMAR|	1	126
o0980057	s	AMAR@g	AMAR@g	1	131
o0980058	s	AN	AN	104	133
o0980059	s	ANŠE~a	ANŠE~a	3	137
o0980060	s	ANŠE~b	ANŠE~b	1	139
o0980061	s	ANŠE~c	ANŠE~c	1	141
o0980062	s	ANŠE~e	ANŠE~e	3	144
o0980065	e		-	2	151
o0980065	s	APIN~a	APIN~a	16	151
o0980066	c	|APIN~a.APIN~a|	|APIN~a.APIN~a|	1	152
o0980068	s	APIN~c	APIN~c	1	157
o0980070	s	|U₄.AB~b|	ARARMA₂~b	1	3614
o0980076	s	AZU	AZU	2	176
o0980077	s	BA	BA	108	178
o0980078	e		-	18	180
o0980078	s	BAD	BAD	1	180
o0980079	e		-	1	182
o0980083	s	BAHAR₂~a	BAHAR₂~a	1	191
o0980084	s	BAHAR₂~b	BAHAR₂~b	1	194
o0980087	s	BALA~b	BALA~b	1	201
o0980088	s	BALAG	BALAG	7	204
o0980089	s	BAN~a	BAN~a	8	207
o0980091	s	BANŠUR~a	BANŠUR~a	1	213
o0980092	s	BANŠUR~a@t	BANŠUR~a@t	1	215
o0980102	s	BAR	BAR	27	235
o0980105	s	BARA₂~a	BARA₂~a	13	241
o0980106	s	BARA₂~b	BARA₂~b	4	244
o0980109	s	BIR~a	BIR~a	3	714
o0980110	s	BIR~b	BIR~b	1	716
o0980111	s	BIR~c	BIR~c	1	718
o0980112	s	BIR₃~a	BIR₃~a	1	720
o0980113	s	BIR₃~b	BIR₃~b	3	723
o0980115	e		-	1	729
o0980115	s	BU~a	BU~a	43	729
o0980117	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	3	734
o0980120	c	|BU~a×A|	|BU~a×A|	1	741
o0980123	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	1	748
o0980125	c	|(BU~a%BU~a).NA₂~a@n|	|(BU~a&BU~a).NA₂~a@n|	1	756
o0980126	s	BU~b	BU~b	2	761
o0980129	s	BULUG	BULUG	1	768
o0980133	s	BUR~b	BUR~b	1	776
o0980134	s	BUR~c	BUR~c	1	778
o0980136	s	BUR₂	BUR₂	2	782
o0980137	s	DA~a	DA~a	22	784
o0980139	s	DA~b	DA~b	4	788
o0980140	s	DA~c	DA~c	2	790
o0980141	s	DA~d	DA~d	1	792
o0980143	s	DAH	DAH	1	796
o0980145	s	DANNA	DANNA	1	800
o0980151	s	DARA₃~a	DARA₃~a	3	812
o0980152	s	DARA₃~b	DARA₃~b	1	814
o0980153	s	DARA₃~c	DARA₃~c	1	816
o0980155	c	|DARA₃~c×(KAR₂.ŠE~a)|	|DARA₃~c×(KAR₂.ŠE~a)|	1	820
o0980158	c	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂|	2	830
o0980159	s	DARA₄~a1	DARA₄~a1	2	835
o0980160	s	DARA₄~a2	DARA₄~a2	3	837
o0980161	s	DARA₄~a3	DARA₄~a3	1	839
o0980162	s	DARA₄~b	DARA₄~b	3	841
o0980164	s	DARA₄~c1	DARA₄~c1	1	845
o0980165	s	DARA₄~c2	DARA₄~c2	3	847
o0980170	s	DI	DI	16	857
o0980171	s	DI@t	DI@t	1	859
o0980172	s	DIB	DIB	2	861
o0980173	s	DILMUN	DILMUN	1	865
o0980174	s	DIM~a	DIM~a	5	869
o0980177	s	DIM~b	DIM~b	2	876
o0980178	s	DIM~c	DIM~c	2	878
o0980179	s	DIN	DIN	31	880
o0980182	s	DU	DU	18	888
o0980185	s	DU₆~a	DU₆~a	1	896
o0980188	s	DU₆~b	DU₆~b	1	906
o0980189	s	DU₆~c	DU₆~c	1	908
o0980191	s	DU₈~a	DU₈~a	1	912
o0980192	s	DU₈~b	DU₈~b	2	914
o0980193	s	DU₈~c	DU₈~c	6	917
