	V/pub	V/unp	V/all	IV/pub	IV/unp	IV/all	III/pub	III/unp	III/all
Uruk/num	18/125	0/0	18/125 	158/5013	91/1533	175/6546 	182/11651	106/2481	192/14132
Uruk/idg	3/6	0/0	3/6 	852/6417	421/1640	962/8057 	1075/20604	622/6210	1167/26814
JN/num	3/3	0/0	3/3 	0/0	0/0	0/0 	137/2517	0/0	137/2517
JN/idg	0/0	0/0	0/0 	0/0	0/0	0/0 	446/4212	0/0	446/4212
Umma/num	0/0	0/0	0/0 	0/0	0/0	0/0 	121/1595	137/3855	167/5450
Umma/idg	0/0	0/0	0/0 	0/0	0/0	0/0 	387/2305	575/7343	683/9648
Uqair/num	0/0	0/0	0/0 	0/0	0/0	0/0 	50/444	0/0	50/444
Uqair/idg	0/0	0/0	0/0 	0/0	0/0	0/0 	241/922	0/0	241/922
Misc/num	23/45	18/30	27/75 	31/70	2/7	31/77 	169/5220	56/749	169/5969
Misc/idg	1/1	1/2	2/3 	46/72	21/26	61/98 	688/8063	330/1470	776/9533
total	28/173	18/30	30/203 	161/5083	91/1540	177/6623 	237/21427 	163/7085	251/28512
total	3/7	1/2	4/9 	859/6489	425/1666	972/8155 	1360/36106 	915/15023	1568/51129
