P001731	VA — ?		
P002078	VA — ?		
P002231	IM 023434,w		
P002248	IM 023434,b		
P002261	IM 023435,12		
P002264	IM 023435,19		
P002269	IM 023435,10		
P002464	IM 023445,03		
P002571	IM 023449,1		
P002624	W 17480,b		
P002697	IM 046011 + IM 046061		
P002741	IM 045991		
P002758	IM 045978		
P002874	IM 045912		
P002882	IM 045941		
P002891	IM 046146		
P003081	W 19408,46		
P003082	W 19408,47		
P003096	W 19408,60		
P003098	IM 133643		
P003163	IM 133666		
P003251	IM 064851		
P003252	IM 064852		
P003403	IM 065104		
P003406	IM 065106		
P003407	IM 065107		
P003433	IM 065115		
P003436	IM 065116		
P003488	W 20243,1		
P003492	IM 067375	Nissen1986WorldArchaeology17; sec1722	history; history
P003541	W 20274,043		
P003543	W 20274,045		
P003798	W 20496,1		
P003809	W 20511,03		
P003839	IM 134421		
P003977	IM 073483	Schmandt-Besserat1992BeforeWriting	history
P003997	IM 134508		
P004010	IM 134519,1		
P004079	IM 134567		
P004128	IM 074216		
P004151	IM 134623		
P004175	IM 074278		
P004199	IM 134670		
P004204	IM 074279		
P004222	IM 134688		
P004228	IM 074288		
P004230	IM 134695		
P004312	IM 074296		
P004328	IM 134845		
P004329	IM 134846		
P004333	IM 074311		
P004377	IM 134911		
P004382	IM 074325		
P004388	IM 134923		
P004414	IM 074344	sec2022	history
P004431	W 21662,2	UVB24catalogue	history
P004452	IM 134954		
P004454	W 21736		
P004464	W 21839,3	UVB25catalogue	history
P004474	IM 134960	UVB25catalogue	history
P004502	IM 134967		
P004612	IM 135007		
P005007	IM 025757,04		
P006024	MS 2356		
P006027	MS 2359		
P006028	MS 2360		
P006029	MS 2387		
P006034	MS 2392		
P006035	MS 2393		
P006040	MS 2427		
P006041	MS 2428		
P006042	CDLI Lexical 000002, ex. 178		
P006046	CDLI Lexical 000002, ex. 194		
P006048	MS 2431		
P006053	MS 2436		
P006054	MS 2437		
P006056	MS 2439		
P006057	MS 2440		
P006058	MS 2441		
P006061	MS 2444		
P006062	MS 2445		
P006065	MS 2498		
P006067	MS 2500		
P006068	MS 2501		
P006070	CDLI Lexical 000023, ex. 095		
P006071	CDLI Lexical 000023, ex. 096		
P006072	MS 2504		
P006077	MS 2509		
P006082	MS 2514		
P006083	MS 2515		
P006098	MS 2677		
P006105	MS 2684		
P006107	MS 2686		
P006117	MS 2696		
P006120	MS 2727		
P006136	MS 2782/16		
P006140	MS 2840		
P006155	MS 2862/08		
P006160	MS 2862/13		
P006173	MS 2863/07		
P006175	MS 2863/09		
P006190	MS 2863/24		
P006191	MS 2863/25		
P006196	MS 2863/30		
P006199	MS 2869/01		
P006203	MS 2869/05		
P006219	MS 2900/11		
P006224	MS 2900/16		
P006236	MS 2900/28		
P006243	MS 2900/35		
P006250	MS 2964		
P006251	MS 2965		
P006254	MS 2997		
P006255	MS 2998		
P006262	MS 3008		
P006263	MS 3009		
P006270	MS 4162		
P006272	MS 3880		
P006275	CDLI Lexical 000002, ex. 187		
P006278	MS 3886		
P006282	MS 4461		
P006284	MS 4463		
P006288	MS 4485		
P006289	MS 4486		
P006290	MS 4487		
P006291	MS 4488		
P006292	MS 4489		
P006293	MS 4490		
P006294	MS 4491		
P006296	MS 4493		
P006301	MS 4497		
P006307	MS 4503		
P006308	MS 4504		
P006316	MS 4530		
P006317	MS 4537		
P006318	MS 4538		
P006319	MS 4539		
P006323	MS 4543		
P006324	MS 4551		
P006326	MS 4557		
P006438	AOST 109 unpublished assigned		
P200022	MS 2900/un1		
P218054	CMAA 020-C0003		
P252177	MS 3166		
P252182	MS 3171		
P252184	CDLI Lexical 000265, ex. 011	Civil2010CUSAS12; sec46325	citation; history
P274471	MS 4588/1		
P342517	MW 0188/020		
P342525	MW 0188/033		
P342526	MW 0188/034		
P342533	MW 0188/041		
P342536	MW 0188/045		
P342547	MW 0188/056		
P448702	Anonymous 448702 unpublished unassigned ?		
P504412	Anonymous 504412 unpublished unassigned		
P512554	Anonymous 512554 unpublished unassigned		
P518361	Kress 301		
P519296	Anonymous 519296 unpublished unassigned		
