EALX001	o0900000	A	A	A	𒚐	/pcsl/atu3/images/001.png
EALX002	o0900010	A₂	A₂	A₂	𒚗	/pcsl/atu3/images/002.png
EALX003	o0900012	AB~a	AB~a	AB~a	𒚘	/pcsl/atu3/images/003.png
EALX004	o0900020	|AB~a×AŠ₂|	AB~a+AŠ₂	AB~a+AŠ₂	󳂮	/pcsl/atu3/images/004.png
EALX005	o0900038	|AB~a×ZATU659|	AB~a+ZATU659	AB~a+ZATU659	𒚟	/pcsl/atu3/images/005.png
EALX006	o0900040	AB~a@g	AB~a@g	AB~a@g	𒚡	/pcsl/atu3/images/006.png
EALX007	o0900014	AB~b	AB~b	AB~b	𒚣	/pcsl/atu3/images/007.png
EALX008	o0900041	AB₂	AB₂	AB₂	󳃵	/pcsl/atu3/images/008.png
EALX009	o0900043	|AB₂×2(N14)|	AB₂+2(N14)	AB₂+2(N14)	𒚨	/pcsl/atu3/images/009.png
EALX010	o0900047	ABGAL	ABGAL	ABGAL	𒚫	/pcsl/atu3/images/010.png
EALX011	o0900049	ABRIG	ABRIG	ABRIG	󳂭	/pcsl/atu3/images/011.png
EALX012	o0900050	ABZU	ABZU	ABZU	𒚮	/pcsl/atu3/images/012.png
EALX013	o0900053	AD~a	AD~a	AD~a	𒚯	/pcsl/atu3/images/013.png
EALX014	o0900054	AD~b	AD~b	AD~b	𒚰	/pcsl/atu3/images/014.png
EALX015	o0900056	ADAB	ADAB	ADAB	𒚲	/pcsl/atu3/images/015.png
EALX016	o0900058	ADDA	ADDA	ADDA	𒚳	/pcsl/atu3/images/016.png
EALX017	o0900060	AGAR₂	AGAR₂	AGAR₂	𒚵	/pcsl/atu3/images/017.png
EALX018	o0900062	AK~a	AK~a	AK~a	𒚶	/pcsl/atu3/images/018.png
EALX019	o0900064	AL	AL	AL	𒚸	/pcsl/atu3/images/019.png
EALX020	o0900067	ALAN~b	ALAN~b	ALAN~b	𒚺	/pcsl/atu3/images/020.png
EALX021	o0900072	ALIM	ALIM~a	ALIM~a	𒚾	/pcsl/atu3/images/021.png
EALX022	o0900075	AM~b	AM~b	AM~b	𒛀	/pcsl/atu3/images/022.png
EALX023	o0900077	AMA~a	AMA~a	AMA~a	𒛁	/pcsl/atu3/images/023.png
EALX024	o0900079	AMA~b	AMA~b	AMA~b	𒛄	/pcsl/atu3/images/024.png
EALX025	o0900082	AMAR	AMAR	AMAR	𒛅	/pcsl/atu3/images/025.png
EALX026	o0900089	AN	AN	AN	𒛌	/pcsl/atu3/images/026.png
EALX027	o0900094	ANŠE~b	ANŠE~b	ANŠE~b	𒛏	/pcsl/atu3/images/027.png
EALX028	o0900100	APIN~a	APIN~a	APIN~a	𒛒	/pcsl/atu3/images/028.png
EALX029	o0900101	APIN~b	APIN~b	APIN~b	𒛔	/pcsl/atu3/images/029.png
EALX030	o0900102	APIN~c	APIN~c	APIN~c	𒛕	/pcsl/atu3/images/030.png
EALX031	o0900106	ARARMA₂~a	ARARMA₂~a	ARARMA₂~a	𒛖	/pcsl/atu3/images/031.png
EALX032	o0900111	ASAR	ASAR	ASAR	𒛚	/pcsl/atu3/images/032.png
EALX033	o0900115	BA	BA	BA	𒛞	/pcsl/atu3/images/033.png
EALX034	o0900116	BAD	BAD	BAD	𒛟	/pcsl/atu3/images/034.png
EALX035	o0900117	|BAD&BAD|	BAD+BAD	BAD+BAD	𒛠	/pcsl/atu3/images/035.png
EALX036	o0903281	|(1(N58).BAD)~a|	BAD+DIŠ~a	BAD+DIŠ~a	𒸍	/pcsl/atu3/images/036.png
EALX037	o0903283	|(1(N58).BAD)~b|	BAD+DIŠ~b	BAD+DIŠ~b	𒸎	/pcsl/atu3/images/037.png
EALX038	o0900119	BAD₃~a	BAD₃~a	BAD₃~a	𒛡	/pcsl/atu3/images/038.png
EALX039	o0900124	BAHAR₂~a	BAHAR₂~a	BAHAR₂~a	𒛥	/pcsl/atu3/images/039.png
EALX040	o0900126	BAHAR₂~b	BAHAR₂~b	BAHAR₂~b	𒛧	/pcsl/atu3/images/040.png
EALX041	o0900130	BALA~a	BALA~a	BALA~a	𒛩	/pcsl/atu3/images/041.png
EALX042	o0900133	BALAG	BALAG	BALAG	𒛭	/pcsl/atu3/images/042.png
EALX043	o0900139	BAN~b	BAN~b	BAN~b	𒛱	/pcsl/atu3/images/043.png
EALX044	o0900142	BANŠUR~b1	BANŠUR~b1	BANŠUR~b1	𒛴	/pcsl/atu3/images/044.png
EALX045	o0900143	BANŠUR~b2	BANŠUR~b2	BANŠUR~b2	𒛵	/pcsl/atu3/images/045.png
EALX046	o0900144	BANŠUR~c	BANŠUR~c	BANŠUR~c	𒛶	/pcsl/atu3/images/046.png
