004	+
011	+
037	𒸎
039	𒛥
040	𒛧
042	𒛭
050	𒛾
056	𒜑
077	𒝄
082	+
089	𒝤
096	𒟀
137	+
146	𒞼
152	𒟘
170	𒠏
189	+
192	+
197	𒡒
199	+
209	𒡳
211	𒡸
216	+
242	+
245	𒣗
249	𒣝
270	+
271	𒤎
297	𒥌
303	𒥗
304	𒥛
306	+
314	𒥲
322	+
323	+
324	+
325	+
326	+
327	+
328	+
343	𒧀
346	𒧙
354	𒧦
364	+
375	𒨐
378	𒨝
379	𒨜
385	+
386	𒨰
391	+
399	𒩈
410	+
411	𒨹
420	𒪇
421	𒪍
429	+
430	FONT_ERROR
435	+𒪥
437	𒪮
442	𒪼
451	+
474	𒬙
475	+
476	𒬛
484	+
486	𒬭
490	+
500	+
501	𒭇
507	+
508	+
510	+
518	+
522	+
525	𒭴
526	𒭷
535	+
536	+
543	𒮣
548	+
558	+
564	𒯗
568	𒯞
574	𒰞
583	+
599	𒱠
602	𒱴
608	+
617	𒷬
618	+
634	𒳞
635	𒳣
637	𒳼
645	𒴟
654	+
655	+
656	+
660	+
662	+
664	𒵸
668	𒶠
