|AB~a×AŠ₂|	004	󳂮
ABRIG	011	󳂭
|(1(N58).BAD)~b|	037	𒸎
BAHAR₂~a	039	𒛥
BAHAR₂~b	040	𒛧
BALAG	042	𒛭
BARA₂~a	050	𒛾
|(BU~a&BU~a).NA₂~a|	056	𒜑
DIB	077	𒝄
DU₆~a~v2	082	󳂯
DUB~b	089	𒝤
|DUG~c~v2×1(N57)|	096	𒟀
|DUG~b×U₂~b|	137	󳂰
DUG~c~v1	146	𒞼
EN~a	152	𒟘
GA~a	170	𒠏
|GA₂~b×DUB~a|	189	󳂱
|ZATU737×BUR~a|	192	󳂲
GAN~a	197	𒡒
|GAN~c×DIN|	199	+TODO
GEŠTU~a	209	𒡳
GI~v1	211	𒡸
GIBIL₆	216	󳂳
GUG₂	242	󳂴
GUM~b	245	𒣗
GURUŠ~a	249	𒣝
IŠ~a	270	󳂵
IŠ~b	271	𒤎
KINGAL	297	𒥌
KISIM~b	303	𒥗
KIŠ	304	𒥛
KITI	306	󳂶
KUR~c	314	𒥲
LAGAB~a	322	󳂷
|LAGAB~a×ME~a|	323	󳂸
|LAGAB~a×ŠA|	324	󳂹
|LAGAB~a×ŠITA~a1|	325	󳂺
|LAGAB~a×TI|	326	󳂻
|LAGAB~a×ZATU753|	327	󳂽
|LAGAB~a×X|	328	󳂼
MA	343	𒧀
MAR@g~a	346	𒧙
MEN~a	354	𒧦
MUN~a2	364	󳂾
NA₂~a	375	𒨐
NAGAR~a	378	𒨝
NAGAR~b	379	𒨜
NAR	385	󳂟
NE~a	386	𒨰
|NI~b×4(N57)|	391	󳃀
NIMGIR	399	𒩈
NESAG₂~a	410	󳂿
NESAG₂~b	411	𒨹
NUNUZ~c~v1	420	𒪇
PA~a	421	𒪍
PU₂	429	󳃁
RAD~a	430	FONT_ERROR
RU	435	+𒪥
SAG	437	𒪮
SANGA~b	442	𒪼
SIG₂~a2	451	󳃂
SIMUG	474	𒬙
SIPA	475	󳃃
SU~a	476	𒬛
SUKKAL	484	󳃄
SUKUD@g~b	486	𒬭
SUM~a	490	󳃅
ŠAB~a	500	󳃆
ŠAGAN	501	𒭇
ŠAKIR~c	507	󳃇
ŠAM₂	508	󳃈
|ŠE~a.KIN₂~c|	510	󳃉
ŠEG₉	518	󳃊
ŠEN~c	522	󳃋
ŠIM~a	525	𒭴
ŠIR~a	526	𒭷
ŠU₂	535	󳃍
|ŠU₂~a.EN~a~v1|	536	󳃌
ŠURUPPAK~a	543	𒮣
TAG~b	548	󳃎
TUG₂~a	558	󳃏
TUR	564	𒯗
U₂~b	568	𒯞
UBI~c	574	𒰞
UKKIN~b	583	󳃐
URI₃~a	599	𒱠
URUDU~a	602	𒱴
UŠUR₃~b1	608	+TODO
ZI~a	617	𒷬
ZUBI~a	618	󳃖
ZATU662	634	𒳞
|ZATU662×1(N14)|	635	𒳣
ZATU680~b	637	𒳼
ZATU697~a	645	𒴟
|ZATU737×DI|	654	󳃑
|ZATU737×GAR|	655	󳃒
|ZATU737×NI~a@g|	656	󳃓
ZATU750	660	󳃔
ZATU751~b	662	󳃕
ZATU753	664	𒵸
ZATU777	668	𒶠
