o0900885	31×
o0902339	114×
o0902096	2×
o0900112	0×
o0902980	9×
o0902476	2×
o0902817	0×
o0901592	469×
o0901367	1×
o0900183	2×
o0903273	8×
o0902288	1×
o0902247	4×
o0901049	0×
o0900173	4×
o0902584	20×
o0902673	1×
o0902915	0×
o0902284	1×
o0902800	1×
o0903191	7×
o0900281	3×
o0900991	2×
o0901662	8×
o0900612	1×
o0903093	1×
o0902705	2×
o0901175	1×
o0900839	80×
o0902572	1×
o0901223	1×
o0902408	1×
o0902955	9×
o0901445	6×
o0902717	1×
o0900490	0×
o0902571	1×
o0902193	1×
o0900870	68×
o0901376	150×
o0900144	2×
o0900981	24×
o0900809	1×
o0902361	5×
o0902560	6×
o0900858	20×
o0900384	1×
o0901275	2×
o0902573	3×
o0902786	1×
o0901647	2×
o0903302	1×
o0902664	1×
o0901424	1×
o0903301	4×
o0901936	1×
o0901878	8×
o0900370	8×
o0902899	6×
o0902610	2×
o0903058	1×
o0902838	1×
o0902287	2×
o0900483	20×
o0902411	1×
o0903257	20×
o0903310	1×
o0900291	3×
o0901043	19×
o0901512	1×
o0902861	729×
o0902615	5×
o0900016	0×
o0902505	10×
o0903112	36×
o0901769	2×
o0902196	1×
o0900329	2×
o0902388	1×
o0903298	2×
o0900470	2×
o0902347	2×
o0902407	1×
o0901231	4×
o0902752	1×
o0902888	22×
o0902720	0×
o0900848	3×
o0902894	87×
o0901174	2×
o0902327	56×
o0902167	5×
o0902704	2×
o0901053	1×
o0900729	897×
o0901444	6×
o0902770	1×
o0900946	2×
o0903304	0×
o0901250	1×
o0902618	2×
o0900113	15×
o0902441	0×
o0902864	240×
o0900468	2×
o0902816	0×
o0900610	2×
o0902081	0×
o0900067	4×
o0901696	17×
o0900513	1147×
o0902006	25×
o0903197	10×
o0903339	1×
o0900363	1×
o0902851	0×
o0900251	1×
o0900775	1×
o0902801	1×
o0902286	34×
o0901055	3×
o0900687	1×
o0901814	1×
o0900171	4×
o0903188	76×
o0900242	4×
o0901785	2×
o0902992	36×
o0900730	8×
o0900086	1×
o0900249	25×
o0900860	58×
o0902736	1×
o0902147	7×
o0901173	3×
o0902537	1×
o0902268	5×
o0902225	1×
o0900236	1×
o0902406	29×
o0900116	14×
o0902451	0×
o0900849	0×
o0901866	10×
o0901094	8×
o0902509	1×
o0901052	36×
o0900461	111×
o0903303	1×
o0901290	1×
o0900685	1×
o0901251	2×
o0900431	4×
o0901795	5×
o0901879	63×
o0901966	28×
o0902884	120×
o0902016	0×
o0902898	23×
o0901645	18×
o0902539	4×
o0900319	3×
o0903059	692×
o0902009	6×
o0902956	6×
o0900066	5×
o0901308	0×
o0902614	1×
o0902677	1×
o0902334	1×
o0901771	57×
o0902197	1×
o0900250	3×
o0902927	4×
o0902301	0×
o0901557	5×
o0901961	9×
o0900448	1×
o0902753	3×
o0902219	3×
o0901659	117×
o0900214	1×
o0900646	8×
o0902166	2×
o0900521	0×
o0902601	9×
o0902293	194×
o0902538	1×
o0901020	22×
o0902742	1×
o0902497	1×
o0900260	87×
o0902671	19×
o0902791	0×
o0903203	4×
o0902814	0×
o0901584	41×
o0900237	5×
o0902865	235×
o0901736	1×
o0902014	2×
o0900987	1×
o0900897	6×
o0902611	1×
o0901245	18×
o0901697	503×
o0900169	13×
o0902214	2×
o0900671	0×
o0903196	21×
o0901758	2×
o0901794	1×
o0902850	0×
o0901225	1×
o0902008	4×
o0900318	1×
o0902756	1×
o0902921	3×
o0902647	2×
o0903189	29×
o0900630	0×
o0900257	7×
o0900361	5×
o0902843	1×
o0902808	0×
o0902993	21×
o0902734	1×
o0900765	0×
o0903296	1×
o0903129	23×
o0900866	2×
o0902308	2×
o0900087	1×
o0902767	2×
o0902737	1×
o0900962	2×
o0900162	15×
o0903275	3×
o0900449	1×
o0901514	7×
o0902508	1×
o0901095	1×
o0901583	4×
o0903193	2×
o0901776	5×
o0900626	1×
o0901702	1×
o0901734	3×
o0901967	30×
o0902885	64×
o0902568	30×
o0903021	0×
o0902847	1×
o0901172	4×
o0902146	127×
o0900896	5×
o0902957	3×
o0902123	17×
o0902549	4×
o0901442	45×
o0900395	8×
o0901267	1×
o0902832	2×
o0903258	1×
o0901916	15×
o0902468	0×
o0901279	2×
o0900423	2×
o0901765	5×
o0902195	0×
o0902996	8×
o0900049	2×
o0901058	2×
o0900082	116×
o0901535	1×
o0901345	1×
o0902732	1×
o0901759	1×
o0901040	0×
o0902926	18×
o0902157	103×
o0902687	8×
o0900889	11×
o0901205	0×
o0902365	1×
o0902218	1×
o0901090	323×
o0900631	1×
o0900759	1×
o0902653	1×
o0901137	34×
o0901341	1×
o0902697	32×
o0901586	39×
o0900027	3×
o0902496	8×
o0901962	113×
o0902880	38×
o0900261	2×
o0901069	2×
o0902670	2×
o0901854	1×
o0901039	4×
o0901585	11×
o0903202	10×
o0902552	2×
o0901695	16×
o0901913	1×
o0902059	1×
o0902798	1×
o0900235	3×
o0901777	0×
o0900199	46×
o0902923	3×
o0900479	1×
o0902896	34×
o0903057	2×
o0901655	2×
o0902831	2×
o0900998	4×
o0901070	1×
o0901323	0×
o0902991	57×
o0901796	0×
o0900394	8×
o0903357	2×
o0901764	4×
o0902859	2034×
o0902765	1×
o0900422	3×
o0902735	1×
o0903340	32×
o0901542	1×
o0900960	227×
o0901548	3×
o0901640	3×
o0901380	318×
o0901669	1×
o0901347	1×
o0902493	1×
o0903297	11×
o0902766	1×
o0902290	114×
o0900264	25×
o0900111	17×
o0902156	88×
o0901675	40×
o0901118	1×
o0903207	1×
o0901993	51×
o0900579	0×
o0900604	25×
o0901481	62×
o0901850	10×
o0901098	54×
o0900548	19×
o0901411	2×
o0901508	1×
o0903192	10×
o0900256	3×
o0901703	2×
o0900657	7×
o0900570	1×
o0902459	4×
o0901038	11×
o0900958	89×
o0903023	35×
o0901502	80×
o0900241	2×
o0900767	1×
o0900819	2×
o0902994	13×
o0902295	6×
o0901393	75×
o0902548	10×
o0903289	0×
o0902144	7×
o0901022	52×
o0900146	1×
o0902012	1×
o0903259	5×
o0902730	13×
o0902469	3×
o0902691	5×
o0903292	2×
o0901045	0×
o0902763	6×
o0900185	0×
o0902919	7×
o0900114	2×
o0903354	9×
o0900158	49×
o0901928	9×
o0903118	16×
o0901322	4×
o0901590	0×
o0902578	1×
o0900851	4×
o0902126	0×
o0902886	52×
o0900917	1×
o0903038	1×
o0901940	27×
o0901668	5×
o0900130	18×
o0901587	1×
o0902603	2×
o0900721	2×
o0903284	8×
o0900089	676×
o0900826	2×
o0902169	1×
o0901674	16×
o0903635	1×
o0903230	0×
o0901099	4×
o0900108	2×
o0901193	0×
o0900605	4×
o0900255	17×
o0902612	7×
o0900023	0×
o0902506	86×
o0901677	292×
o0902058	0×
o0901410	1×
o0901294	2×
o0902799	1×
o0901136	4×
o0900792	1×
o0900416	4×
o0902296	3×
o0900738	30×
o0901120	1×
o0903246	1×
o0902922	5×
o0902751	2×
o0900104	1×
o0901068	5×
o0902164	12×
o0901881	223×
o0901187	96×
o0901219	2×
o0903338	2×
o0901775	25×
o0902160	1×
o0901538	0×
o0902063	8×
o0902764	1×
o0903227	1×
o0900974	0×
o0901549	1×
o0901162	0×
o0903201	1×
o0901463	1×
o0902998	4×
o0901558	1×
o0901401	4×
o0900969	1×
o0903190	13×
o0900713	0×
o0901355	1×
o0902667	0×
o0902852	1×
o0901533	1×
o0903215	4×
o0900202	1×
o0900916	4×
o0900720	12×
o0901479	5×
o0900131	2×
o0902458	7×
o0902754	1×
o0902280	1×
o0903041	0×
o0900959	3×
o0901381	4×
o0903022	133×
o0902637	8×
o0902401	12×
o0901359	1×
o0900254	7×
o0900222	0×
o0902995	6×
o0903294	2×
o0901922	1×
o0900978	1×
o0900583	1×
o0900085	2×
o0900701	1×
o0903288	1×
o0902438	7×
o0902761	1×
o0900664	1×
o0901422	1×
o0902731	1×
o0900160	4×
o0901067	1×
o0900164	1×
o0901044	101×
o0900793	1×
o0900115	539×
o0902257	4×
o0900233	1×
o0901186	21×
o0902254	0×
o0900727	3×
o0900782	2×
o0900625	6×
o0903171	4×
o0900824	0×
o0901926	68×
o0903210	299×
o0902887	33×
o0900877	19×
o0903299	3×
o0900124	10×
o0901806	1×
o0901570	0×
o0900060	16×
o0902168	4×
o0901932	1×
o0900827	1×
o0902690	9×
o0902310	12×
o0902661	0×
o0901530	1×
o0902084	7×
o0901832	0×
o0901280	0×
o0901455	1×
o0900072	10×
o0901419	222×
o0900873	1×
o0901217	0×
o0901883	3×
o0900121	1×
o0900703	3×
o0902504	1×
o0901880	3×
o0902051	0×
o0902400	71×
o0900790	6×
o0902443	1×
o0902490	10×
o0901846	0×
o0902882	17×
o0901066	1×
o0901717	2×
o0901900	0×
o0903200	1×
o0900822	61×
o0902551	1×
o0902999	5×
o0902665	3×
o0901818	3×
o0901451	0×
o0902930	891×
o0900783	2×
o0900968	8×
o0903217	0×
o0901477	2×
o0901831	1×
o0901761	3×
o0902755	1×
o0902137	3×
o0902085	2×
o0901531	1×
o0902636	1×
o0901885	6×
o0902682	1×
o0900874	2×
o0900832	1×
o0903032	53×
o0900722	3×
o0903295	1×
o0901996	1×
o0900892	2×
o0900226	4×
o0901896	2×
o0900117	7×
o0900712	1×
o0901988	1×
o0902663	1×
o0900840	0×
o0903261	11×
o0901551	1×
o0902738	2×
o0903212	1×
o0900875	335×
o0902442	3×
o0900499	0×
o0903170	2×
o0901930	58×
o0900797	18×
o0900466	2×
o0903309	2×
o0901603	2×
o0903026	13×
o0901501	125×
o0901315	2×
o0902311	4×
o0902633	5×
o0901770	1×
o0901009	43×
o0902256	7×
o0900995	8×
o0900126	18×
o0900581	5×
o0901712	16×
o0901824	0×
o0901812	5×
o0902242	0×
o0903290	0×
o0901160	1×
o0901953	5×
o0900599	167×
o0900881	1×
o0902086	2×
o0902304	2×
o0900398	56×
o0902353	1×
o0901109	34×
o0902057	1×
o0902456	12×
o0901399	5×
o0901571	0×
o0902136	84×
o0900711	1×
o0901149	3×
o0902139	261×
o0900313	57×
o0901318	1×
o0901939	7×
o0903175	20×
o0902241	1×
o0900820	5×
o0902914	9×
o0902883	8×
o0903120	117×
o0900552	67×
o0900349	1×
o0903277	1×
o0900338	4×
o0900064	88×
o0901820	1×
o0902932	553×
o0901829	7×
o0900975	0×
o0901876	5×
o0901910	103×
o0901920	3×
o0901553	2×
o0900325	1×
o0901065	1×
o0900498	0×
o0902848	11×
o0902920	4×
o0902757	5×
o0903245	18×
o0900356	0×
o0900781	4×
o0902397	1×
o0901625	304×
o0901887	110×
o0902634	6×
o0902265	1×
o0900573	1×
o0902809	0×
o0902020	2×
o0902379	3×
o0901475	6×
o0900247	1×
o0901611	13×
o0901556	1×
o0900018	1×
o0902414	0×
o0902604	1×
o0900899	40×
o0901277	2×
o0900880	1×
o0902087	12×
o0903126	40×
o0900418	6×
o0903204	3×
o0900617	13×
o0900841	2×
o0901398	4×
o0901830	1×
o0901670	113×
o0902769	1×
o0902934	245×
o0901760	10×
o0900970	2×
o0900312	106×
o0900271	19×
o0900742	23×
o0903172	1×
o0900301	8×
o0902274	1×
o0901938	3×
o0901382	4×
o0900122	2×
o0902657	15×
o0901836	2×
o0900662	1×
o0902772	1×
o0902997	4×
o0901414	1×
o0901856	1×
o0901921	8×
o0902733	1×
o0903291	1×
o0900324	5×
o0902969	2×
o0901064	1×
o0902315	6×
o0901292	0×
o0901091	2×
o0901864	1×
o0901729	1×
