𒚐	A~1
󳃹	A~2
𒚑	|A×AB₂|~1
󲱇	|A×AN|~1
𒚒	|A×EN~a|~1
𒚓	|A×ŠUBUR|~1
𒚔	|A×ZATU672|~1
𒚕	|A×1(N14)|~1
󲛩	A@g~1
𒚖	A@t~1
𒚗	A₂~1
𒚢	AB~a~1
𒚘	AB~a~2
𒚙	|AB~a×A@t|~1
󳃱	|AB~a×A@t|~2
𒚚	|AB~a×AŠ₂|~1
󳂮	|AB~a×AŠ₂|~2
𒚛	|AB~a×KU₆~a|~1
𒚜	|AB~a×SUKKAL|~1
𒚝	|AB~a×(ŠE~a&ŠE~a)|~1
󳀝	|AB~a×(ŠE~a&ŠE~a)|~2
𒚞	|AB~a×X|~1
𒚟	|AB~a×ZATU659|~1
𒚠	|AB~a×1(N01)|~1
󳀫	|AB~a×1(N04)|~1
𒚡	AB~a@g~1
𒚣	AB~b~1
𒚤	|AB~b×A|~1
𒚥	|AB~b×KU₆~a|~1
𒚦	|AB~b×ŠA₃~a1|~1
𒚧	AB₂~1
𒚩	AB₂~2
󳃵	AB₂~3
𒚪	|AB₂×2(N14)|~1
𒚨	|AB₂×2(N14)|~2
󳀪	AB₂@g~1
𒚮	ABZU~1
󳁖	ABZU~2
𒚯	AD~a~1
𒚰	AD~b~1
𒚱	AD~c~1
𒚲	ADAB~1
󳁧	ADAB~2
𒚳	ADDA~1
𒚴	ADDA@t~1
𒚵	AGAR₂~1
𒚶	AK~a~1
𒚷	AK~b~1
𒚸	AL~1
𒚹	ALAN~a~1
𒚺	ALAN~b~1
𒚻	ALAN~c~1
𒚼	ALAN~d~1
𒚽	ALAN~e~1
󲜄	ALAN~f~1
𒚾	ALIM~1
𒚿	AM~a~1
𒛀	AM~b~1
𒛁	AMA~a~1
𒛃	AMA~a~2
𒛂	|AMA~a×E₂~a|~1
𒛄	AMA~b~1
𒛊	AMAR~1
𒛅	AMAR~2
𒛉	AMAR~3
𒛋	|AMAR×TAR~c|~1
𒛇	|AMAR&AMAR|~1
𒛈	AMAR@g~1
𒛍	AN~1
󲜐	AN~2
𒛌	AN~3
𒛎	ANŠE~a~1
𒛏	ANŠE~b~1
𒛐	ANŠE~c~1
𒛑	ANŠE~e~1
󳁨	ANŠE~f~1
𒛒	APIN~a~1
𒛔	APIN~b~1
𒛕	APIN~c~1
𒛗	ARARMA₂~a~1
𒛖	ARARMA₂~a~2
󲜞	ASAL₂~1
𒛚	ASAR~1
𒛛	AŠ₂~1
𒛜	AZ~1
𒛝	AZU~1
𒛞	BA~1
𒛟	BAD~1
𒛠	|BAD&BAD|~1
𒛡	BAD₃~a~1
𒛢	BAD₃~b1~1
𒛣	BAD₃~b2~1
𒛤	BAHAR₂~a~1
𒛥	BAHAR₂~a~2
𒛦	BAHAR₂~b~1
𒛧	BAHAR₂~b~2
𒛨	BAHAR₂~c~1
𒛩	BALA~a~1
𒛪	BALA~b~1
𒛫	BALA~b~2
𒛩	BALA~b~3
𒛬	BALAG~1
𒛭	BALAG~2
𒛮	BAN~a~1
𒛯	BAN~a~2
𒛰	BAN~a~3
𒛱	BAN~b~1
𒛲	BANŠUR~a~1
𒛳	BANŠUR~a@t~1
𒛴	BANŠUR~b1~1
𒛵	BANŠUR~b2~1
𒛶	BANŠUR~c~1
𒛷	BAPPIR~a~1
𒛸	BAPPIR~b~1
𒛹	BAPPIR~c~1
𒛺	BAPPIR~d~1
𒛻	BAPPIR~e~1
𒛼	BAPPIR~f~1
𒛽	BAR~1
󳁠	|BAR×URI₃~a|~1
󳂕	|BAR×UŠ~a|~1
𒛾	BARA₂~a~1
𒛿	BARA₂~a~2
𒜀	BARA₂~b~1
𒜁	BARA₂~b~2
𒜂	BARA₃~1
󲪥	BAU405~1
𒜃	BIR~a~1
𒜄	BIR~b~1
𒜅	BIR~c~1
𒜇	BIR₃~a~1
𒜆	BIR₃~a~2
𒜉	BIR₃~b~1
𒜈	BIR₃~b~2
𒜊	BIR₃~c~1
󳃗	BIR₃~c~2
𒜓	BU~a~1
𒜋	BU~a~2
󳀣	|((BU~a.DU₆~a)&(BU~a.DU₆~a))×UDU~a|~1
𒜌	|BU~a+DU₆~a|~1
𒜍	|BU~a+DU₆~a|~2
󳀭	|BU~a+KI|~1
󳀮	|BU~a+TU~b|~1
𒜔	|BU~a×A|~1
𒜎	|BU~a×GIŠ@t|~1
𒜏	|BU~a×1(N58)|~1
𒜐	|(BU~a&BU~a).NA₂~a|~1
𒜑	|(BU~a&BU~a).NA₂~a|~2
󲱣	|(BU~a&BU~a).NA₂~b|~1
𒜒	|(BU~a&BU~a).X|~1
