o0900000	A	A	A	𒚐
o0900004	|A×EN~a~v2|	A+ENa	A+EN~a	𒚒
o0900006	|A×ŠUBUR|	A+ŠUBUR	A+ŠUBUR	𒚓
o0900007	|A×ZATU672|	A+ZATU672	A+ZATU672	𒚔
o0900010	A₂	A2	A₂	𒚗
o0900012	AB~a	ABa	AB~a	𒚘
o0900018	|AB~a×A@t|	ABa+A.tenû	AB~a+A@t	𒚙
o0900014	AB~b	ABb	AB~b	𒚣
o0900041	AB₂	AB2	AB₂	𒚧
o0900043	|AB₂×2(N14)|	AB2+2N14	AB₂+2N14	𒚨
o0903223	|2(N57).AB₂|	AB2+2N57	2N57.AB₂	𒷸
o0900056	ADAB	ADAB	ADAB	𒚲
o0900062	AK~a	AKa	AK~a	𒚶
o0900064	AL	AL	AL	𒚸
o0900077	AMA~a	AMAa	AMA~a	𒛁
o0900082	AMAR	AMAR	AMAR	𒛅
o0900086	|AMAR~v2×TAR~c|	AMAR+TAR	AMAR+TAR	𒛋
o0900089	AN	AN	AN	𒛌
o0900093	ANŠE~a	ANŠEa	ANŠE~a	𒛎
o0900095	ANŠE~c	ANŠEc	ANŠE~c	𒛐
o0900100	APIN~a	APINa	APIN~a	𒛒
o0900108	ARARMA₂~b	ARARMA2b	ARARMA₂~b	𒛘
o0900114	AZU	AZU	AZU	𒛝
o0900115	BA	BA	BA	𒛞
o0900116	BAD	BAD	BAD	𒛟
o0903282	|(1(N58).BAD)~a|	BAD+DIŠa	BAD+DIŠ~a	𒸍
o0903283	|(1(N58).BAD)~b|	BAD+DIŠb	BAD+DIŠ~b	𒸏
o0900131	BALA~b	BALAb	BALA~b	𒛪
o0900133	BALAG	BALAG	BALAG	𒛬
o0900136	BAN~a	BANa	BAN~a	𒛮
o0900141	BANŠUR~a	BANŠURa	BANŠUR~a	𒛲
o0900154	BAR	BAR	BAR	𒛽
o0900158	BARA₂~a	BARA2a	BARA₂~a	𒛾
o0900160	BARA₂~b	BARA2b	BARA₂~b	𒜀
o0900165	BIR~a	BIRa	BIR~a	𒜃
o0900166	BIR~b	BIRb	BIR~b	𒜄
o0900169	BIR₃~a	BIR3a	BIR₃~a	𒜆
o0900171	BIR₃~b	BIR3b	BIR₃~b	𒜈
o0900175	BU~a	BUa	BU~a	𒜋
o0900183	|BU~a~v1×A|	BUa+A	BU~a+A	𒜔
o0900191	|(BU~a&BU~a).NA₂~a|	BUa+BUa+NA2a	BU~a.BU~a.NA₂~a	𒜐
o0903398	|(BU~a~v1%BU~a~v1).NA₂~a@n|	BUa+BUa+NA2a.nutillû	BU~a.BU~a.NA₂~a@n	𒜕
o0900199	|BU~a+DU₆~a|	BUa+DU6a	BU~a+DU₆~a	𒜌
o0900177	BU~b	BUb	BU~b	𒜖
o0900206	BULUG	BULUG	BULUG	𒜙
o0900212	BUR~b	BURb	BUR~b	𒜜
o0900217	DA~a	DAa	DA~a	𒜠
o0900218	DA~b	DAb	DA~b	𒜢
o0900219	DA~c	DAc	DA~c	𒜣
o0900220	DA~d	DAd	DA~d	𒜤
o0900224	DAH	DAH	DAH	𒜥
o0900235	DARA₃~a	DARA3a	DARA₃~a	𒜭
o0900236	DARA₃~b	DARA3b	DARA₃~b	𒜮
o0900246	|DARA₃~c×(KAR₂.ŠE~a)|	DARA3c+KAR2+ŠEa	DARA₃~c.KAR₂.ŠE~a	𒜱
o0900243	|DARA₃~d×KAR₂|	DARA3d+KAR2	DARA₃~d+KAR₂	𒜴
o0900250	DARA₄~a2	DARA4a2	DARA₄~a2	𒜹
o0900252	DARA₄~b	DARA4b	DARA₄~b	𒜻
o0900260	DI	DI	DI	𒝁
o0900262	DIB	DIB	DIB	𒝃
o0900264	DILMUN	DILMUN	DILMUN	𒝅
o0900269	DIM~a	DIMa	DIM~a	𒝈
o0900270	DIM~b	DIMb	DIM~b	𒝉
o0900276	DIN	DIN	DIN	𒝋
o0900279	DU	DU	DU	𒝍
o0900287	DU₆~b	DU6b	DU₆~b	𒝓
o0900294	DU₈~b	DU8b	DU₈~b	𒝗
o0900296	DU₈~c	DU8c	DU₈~c	𒝙
o0900303	|DU₈~c×HI|	DU8c+HI	DU₈~c+HI	𒝚
o0900312	DUB~a	DUBa	DUB~a	𒝟
o0900313	DUB~b	DUBb	DUB~b	𒝠
o0900319	DUB~d	DUBd	DUB~d	𒝦
o0900324	|(DUB@n~a×1(N58))~a|	DUB+DIŠa	DUB+DIŠ~a	𒝩
o0900325	|DUB@n~b×1(N58)~a|	DUB+DIŠb	DUB+DIŠ~b	𒝫
o0900331	DUG~a	DUGa	DUG~a	𒝭
o0900334	DUG~b	DUGb	DUG~b	𒝷
o0900340	|DUG~b~v1×AB₂|	DUGb+AB2	DUG~b+AB₂	𒞮
o0900476	|(DUG~b~v1&DUG~b~v1)×1(N58)|	DUGb+DUGb+1N58	DUG~b+DUG~b+1N58	𒞹
o0900370	|DUG~b×HI|	DUGb+HI	DUG~b+HI	𒞅
o0900373	|DUG~b~v1×HI@g~a|	DUGb+HI.gunûa	DUG~b+HI@g~a	𒞲
o0900391	|DUG~b×MAŠ|	DUGb+MAŠ	DUG~b+MAŠ	𒞍
o0900433	|DUG~b×ŠE~a|	DUGb+ŠEa	DUG~b+ŠE~a	𒞙
o0900461	|DUG~b×X|	DUGb+?	DUG~b+X	𒞣
o0900336	DUG~c~v1	DUGc	DUG~c	𒞼
o0900478	DUG~a@t	DUGe	DUG~e	𒝴
o0900395	|DUG~b×1(N57)|	DUG+AŠb	DUG+AŠ~b	𒞪
o0900483	DUR~a	DURa	DUR~a	𒟃
o0900489	E~c	Ec	E~c	𒟈
o0900493	E₂~a	E2a	E₂~a	𒟊
o0900494	E₂~b	E2b	E₂~b	𒟎
o0900513	EN~a	ENa	EN~a	𒟖
o0901606	|NUN~a+EN~a~v2|	ENa+NUNa	EN~a+NUN~a	𒩶
o0900517	EN~b	ENb	EN~b	𒟚
o0901607	|NUN~a+EN~b~v1|	ENb+NUNa	EN~b+NUN~a	𒩷
o0900528	EN~b@t	ENb.tenû	EN~b@t	𒟛
o0900525	EN@g~a	EN.gunûa	EN@g~a	𒟡
o0900526	EN@g~b	EN.gunûb	EN@g~b	𒟢
o0900529	EN₂	EN2	EN₂	𒟣
o0900541	ERIM~a	ERIMa	ERIM~a	𒟫
o0900542	ERIM~b1	ERIMb1	ERIM~b1	𒟬
o0900543	ERIM~b2	ERIMb2	ERIM~b2	𒟭
o0900545	ERIN	ERIN	ERIN	𒟯
o0900546	EŠDA	EŠDA	EŠDA	𒟰
o0900547	|EŠDA×TAR~a|	EŠDA+TAR	EŠDA+TAR	𒟱
o0900548	EŠGAR	EŠGAR	EŠGAR	𒟲
o0900550	EZEN~a	EZENa	EZEN~a	𒟳
o0900557	|EZEN~a×EN~b~v1|	EZENa+ENb	EZEN~a+EN~b	𒟴
o0900561	|EZEN~a×KAB|	EZENa+KAB	EZEN~a+KAB	𒟶
o0900575	|EZEN~a×NIMGIR|	EZENa+NIMGIR	EZEN~a+NIMGIR	𒟺
o0900577	|EZEN~a×RAD~a|	EZENa+RADa	EZEN~a+RAD~a	𒟻
o0900552	EZEN~b	EZENb	EZEN~b	𒠃
o0900554	EZEN~c	EZENc	EZEN~c	𒠅
o0900597	EZINU~d	EZINUd	EZINU~d	𒠉
o0900599	GA~a	GAa	GA~a	𒠊
o0900616	GA₂~a1	GA2a1	GA₂~a1	𒠕
o0900631	|GA₂~a1×EN~b~v1|	GA2a1+ENb	GA₂~a1+EN~b	𒠗
o0900650	|GA₂~a1×HI|	GA2a1+HI	GA₂~a1+HI	𒠞
o0900657	|GA₂~a1×KU₆~a|	GA2a1+KU6a	GA₂~a1+KU₆~a	𒠡
o0900691	|GA₂~a1×SUHUR|	GA2a1+SUHUR	GA₂~a1+SUHUR	𒠪
o0900694	|GA₂~a1×SUKUD|	GA2a1+SUKUD	GA₂~a1+SUKUD	𒠫
o0900699	|GA₂~a1×SUMAŠ|	GA2a1+SUMAŠ	GA₂~a1+SUMAŠ	𒠮
o0900666	|GA₂~a1×1(N14)|	GA2a1+1N14	GA₂~a1+1N14	𒠳
o0900668	|GA₂~a1×1(N57)|	GA2a1+1N57	GA₂~a1+1N57	𒠴
o0900709	|GA₂~a1×X|	GA2a1+?	GA₂~a1+X	𒠲
o0900618	GA₂~a3	GA2a3	GA₂~a3	𒠾
o0900619	GA₂~a4	GA2a4	GA₂~a4	𒡀
o0900620	GA₂~b	GA2b	GA₂~b	𒡁
o0900625	|GA₂~b×DUB~a|	GA2b+DUBa	GA₂~b+DUB~a	𒡂
o0900626	|GA₂~b×DUB~b~v2|	GA2b+DUBb	GA₂~b+DUB~b	𒡃
o0900724	GADA~a	GADAa	GADA~a	𒡋
o0900729	GAL~a	GALa	GAL~a	𒡎
o0900738	GAN~b	GANb	GAN~b	𒡔
o0900779	GAR	GAR	GAR	𒡨
o0900781	GAR@g~a	GAR.gunûa	GAR@g~a	𒡩
o0900784	GAR₃	GAR3	GAR₃	𒡬
o0900797	GEŠTU~a	GEŠTUa	GEŠTU~a	𒡱
o0900800	GEŠTU~b	GEŠTUb	GEŠTU~b	𒡴
o0900806	GI	GI	GI	𒡸
o0900810	|GI~v1×GIŠ@t|	GI+GIŠ.tenû	GI+GIŠ@t	𒢅
o0900822	|GI&GI|	GI+GI	GI+GI	𒡿
o0900814	|GI~v1×LAGAB~a|	GI+LAGABa	GI+LAGAB~a	𒢆
o0900817	|GI×NAM₂|	GI+NAM2	GI+NAM₂	𒡺
o0900819	|GI×SIG₂~d1|	GI+SIG2d1	GI+SIG₂~d1	𒡻
o0900815	|GI~v1×1(N14)|	GI+1N14	GI+1N14	𒢇
o0900829	GI₄~a	GI4a	GI₄~a	𒢉
o0900830	GI₄~b	GI4b	GI₄~b	𒢌
o0900836	GI₆	GI6	GI₆	𒢎
o0900839	GIBIL	GIBIL	GIBIL	𒢐
o0900846	GIR~b	GIRb	GIR~b	𒢕
