AB~a	006	+𒚢
AB₂	009	+𒚩
|AB₂×2(N14)|	010	𒚪
AMA~a	015	+𒛃
AMAR	016	𒛊
AN	018	+𒛍
ANŠE~a	019	~
|(1(N58).BAD)~b|	027	+𒸎
BALA~b	028	𒛩
BALAG	029	+𒛭
BAN~a	030	+𒛯𒛰
BARA₂~b	034	𒛿
BIR₃~a	037	𒜆
BIR₃~b	038	𒜉
BU~a	039	+𒜓
|(BU~a~v1%BU~a~v1).NA₂~a@n|	042	~
|BU~a+DU₆~a|	043	+𒜍
|DARA₃~d×KAR₂|	055	 𒜵
DILMUN	060	 𒝇
DUB~b	070	+𒝡
|(DUB@n~a×1(N58))~a|	072	+
DUG~a	074	+𒝶𒝵
DUG~b	075	+𒞭
DUG~c~v1	083	+𒞿
|DUG~b×1(N57)|	085	𒞸
EN~a	090	+𒟗𒟘𒟙
EN~b	092	+𒟜
GA~a	113	+𒠋𒠍𒠎𒠏
GI	137	+𒢄
GI₆	146	+𒢏
GU₄	157	+𒢾
|GU₄×1(N58)|	159	+
GURUŠ~a	169	+𒣝
|HI×1(N57)|	176	𒣮
IDIGNA	182	+𒣸
IŠ~a	185	+𒤌
IŠ~b	186	+𒤎
KAŠ~b	196	+𒤸
KIN₂~e	201	+
KU₃~a~v1	207	+
LAM~b@t	225	𒦮
LU₂	226	𒦹
MA	227	+𒧀
MAR~b	244	+𒧚
MEN~a	251	+
MUŠ₃~a	255	+𒨂𒨃
NAGAR~a	265	𒨜
NE~a	273	+𒨰
NESAG₂~a	274	~
NIMGIR	280	+𒩈
NINDA₂	281	+𒩧
NUN~c	291	+𒩽𒩾𒩿
NUNUZ~c	295	𒪉
PA~a	296	+𒪌𒪍
RAD~a	305	~
RU	308	+𒪥
SAG	310	+𒪮𒪲
SANGA~a	315	+𒪻𒪼
SANGA~b	316	+𒪾
SIG₂~a3	325	+𒫔
SIG₇	331	+𒫤
SU~a	341	+𒬝
ŠA	351	𒬻𒬼
ŠA₃~a2	355	~
|ŠE~a.NAM₂~v2|	363	𒭔
ŠE₃	366	+𒭜
ŠE₃@t	367	+
ŠEŠ~a	369	+𒭮
ŠIM~a	371	+𒭲
ŠIR~b	374	+𒭹𒭺
ŠU₂	382	+𒮑
|1(N57).ŠUBUR~v1|	386	+𒷶
TAG~a1	389	𒮮
TI	392	+𒮾
TUR	401	+𒯕𒯖𒯗
U₂~b	403	+𒯞𒯟
U₈	408	+𒰘𒰙𒰚
UD₅~a	411	+𒰡𒰢
UKKIN~a	420	+𒰲
UMUN₂	425	+𒱃
UNUG~a	426	+𒱆
URUDU~a	443	+𒱴𒱵
UTUA~b	452	+𒲉
UZ~a	456	+
ZATU623	468	𒲣𒲢
ZATU625	469	+𒲨
ZATU651	487	𒳘𒳗
ZATU662	494	+𒳤𒳠
ZATU693	520	+𒴒𒴓
ZATU697~a	527	+𒴝𒴞𒴟
ZATU726~b	551	+
ZATU729	555	+𒵊
ZATU735~b	557	+
ZATU759	572	+𒶈
