o0901301	𒦴	129B4	⁢𒬷⁢𒭒	∘𒬷∘𒭒	|∘ŠA~3∘ŠE~a~1|	2062_12B3B_E0103_2062_12B52_E0101	∘𒬻₃∘𒭒₁
o0901301	𒦳	129B3	⁢𒭒⁢𒬷	∘𒭒∘𒬷	|∘ŠE~a~1∘ŠA~3|	2062_12B52_E0101_2062_12B3B_E0103	∘𒭒₁∘𒬻₃
o0900085	𒛆	126C6	𒛅‍𒖾	𒛅.𒖾	|AMAR~2.1(N02)~1|	126CA_E0102_200D_125BE_E0101	𒛊₂.𒖾₁
o0900098	󲜖	F2716	𒛌‍𒣾‍𒢎	𒛌.𒣾.𒢎	|AN~3.IM~a~1.GI₆~2|	126CD_E0103_200D_128FE_E0101_200D_1288F_E0102	𒛍₃.𒣾₁.𒢏₂
o0900104	𒛓	126D3	𒛒‍𒛒	𒛒.𒛒	|APIN~a~1.APIN~a~1|	126D2_E0101_200D_126D2_E0101	𒛒₁.𒛒₁
o0900181	𒜗	12717	𒜖‍𒨏	𒜖.𒨏	|BU~b~1.NA₂~a~1|	12716_E0101_200D_12A0F_E0101	𒜖₁.𒨏₁
o0900209	󳁡	F3061	𒜚‍𒝐	𒜚.𒝐	|BULUG₃~1.DU₆~a~2|	1271A_E0101_200D_12751_E0102	𒜚₁.𒝑₂
o0900222	𒜡	12721	𒜠‍𒦵	𒜠.𒦵	|DA~a~1.LIŠ~1|	12720_E0101_200D_129B5_E0101	𒜠₁.𒦵₁
o0900049	𒚭	126AD	𒝍‍𒧢‍𒩴	𒝍.𒧢.𒩴	|DU~1.ME~a~1.NUN~a~1|	1274D_E0101_200D_129E2_E0101_200D_12A74_E0101	𒝍₁.𒧢₁.𒩴₁
o0900508	𒟓	127D3	𒝍‍𒯡	𒝍.𒯡	|DU~1.U₄~1|	1274D_E0101_200D_12BE1_E0101	𒝍₁.𒯡₁
o0900498	𒟋	127CB	𒟊‍𒦵	𒟊.𒦵	|E₂~a~1.LIŠ~1|	127CA_E0101_200D_129B5_E0101	𒟊₁.𒦵₁
o0901578	𒩩	12A69	𒟊‍𒩴	𒟊.𒩴	|E₂~a~1.NUN~a~1|	127CA_E0101_200D_12A74_E0101	𒟊₁.𒩴₁
o0900499	𒟏	127CF	𒟎‍𒦵	𒟎.𒦵	|E₂~b~1.LIŠ~1|	127CE_E0101_200D_129B5_E0101	𒟎₁.𒦵₁
o0900535	𒟨	127E8	𒟙‍‍󳄆⁢𒩴‍𒫤	𒟙..󳄆∘𒩴.𒫤	|EN~a~4..ŠE~a@t+EZEN~b~1∘NUN~a~1.SIG₇~2|	127D6_E0104_200D_200D_F3106_E0101_2062_12A74_E0101_200D_12AE3_E0102	𒟖₄..󳄆₁∘𒩴₁.𒫣₂
o0900535	𒟩	127E9	𒟙‍𒛦⁢‍𒫣‍⁢𒧢‍𒩴	𒟙.𒛦∘.𒫣.∘𒧢.𒩴	|EN~a~4.BAHAR₂~b~1∘.SIG₇~1.∘ME~a~1.NUN~a~1|	127D6_E0104_200D_126E6_E0101_2062_200D_12AE3_E0101_200D_2062_129E2_E0101_200D_12A74_E0101	𒟖₄.𒛦₁∘.𒫣₁.∘𒧢₁.𒩴₁
o0900537	𒟪	127EA	𒟙‍𒥁	𒟙.𒥁	|EN~a~4.KID~a~1|	127D6_E0104_200D_12941_E0101	𒟖₄.𒥁₁
o0900534	𒟧	127E7	𒟙‍𒧢‍𒡸	𒟙.𒧢.𒡸	|EN~a~4.ME~a~1.GI~2|	127D6_E0104_200D_129E2_E0101_200D_12884_E0102	𒟖₄.𒧢₁.𒢄₂
o0900533	𒟦	127E6	𒟙‍𒧢‍𒧬	𒟙.𒧢.𒧬	|EN~a~4.ME~a~1.MU~1|	127D6_E0104_200D_129E2_E0101_200D_129EC_E0101	𒟖₄.𒧢₁.𒧬₁
o0900531	𒟤	127E4	𒟣‍𒟊	𒟣.𒟊	|EN₂~1.E₂~a~1|	127E3_E0101_200D_127CA_E0101	𒟣₁.𒟊₁
o0900532	𒟥	127E5	𒟣‍𒟎	𒟣.𒟎	|EN₂~1.E₂~b~1|	127E3_E0101_200D_127CE_E0101	𒟣₁.𒟎₁
o0901472	𒨨	12A28	𒟰‍𒨣	𒟰.𒨣	|EŠDA~1.NAM₂~1|	127F0_E0101_200D_12A23_E0101	𒟰₁.𒨣₁
o0901472	𒨧	12A27	𒟰⁤𒨣	𒟰+𒨣	|EŠDA~1+NAM₂~1|	127F0_E0101_2064_12A23_E0101	𒟰₁+𒨣₁
o0900607	𒠐	12810	𒠊‍𒵹	𒠊.𒵹	|GA~a~1.ZATU753~1|	1280A_E0101_200D_12D79_E0101	𒠊₁.𒵹₁
o0902394	𒲃	12C83	𒡎‍𒜟	𒡎.𒜟	|GAL~a~1.BUR₂~1|	1284E_E0101_200D_1271F_E0101	𒡎₁.𒜟₁
o0901944	𒭑	12B51	𒡎‍𒨺	𒡎.𒨺	|GAL~a~1.NI~a~1|	1284E_E0101_200D_12A3A_E0101	𒡎₁.𒨺₁
o0901943	𒭐	12B50	𒡎‍𒩃	𒡎.𒩃	|GAL~a~1.NIM~a~1|	1284E_E0101_200D_12A43_E0101	𒡎₁.𒩃₁
o0901109	𒥋	1294B	𒡎‍𒰲	𒡎.𒰲	|GAL~a~1.UKKIN~a~1|	1284E_E0101_200D_12C32_E0101	𒡎₁.𒰲₁
o0901109	𒥌	1294C	𒡎‍𒰱	𒡎.𒰱	|GAL~a~1.UKKIN~a~2|	1284E_E0101_200D_12C32_E0102	𒡎₁.𒰲₂
o0900905	𒢻	128BB	𒡱‍𒨖	𒡱.𒨖	|GEŠTU~a~1.NAGA~a~1|	12871_E0101_200D_12A16_E0101	𒡱₁.𒨖₁
o0900842	󲠒	F2812	𒢎‍𒪇	𒢎.𒪇	|GI₆~2.NUNUZ~c~1|	1288F_E0102_200D_12A87_E0101	𒢏₂.𒪇₁
o0900853	𒢔	12894	𒢓‍𒥥	𒢓.𒥥	|GIR~a~1.KU₆~a~1|	12893_E0101_200D_12965_E0101	𒢓₁.𒥥₁
o0900851	𒢗	12897	𒢕‍𒢕	𒢕.𒢕	|GIR~b~1.GIR~b~1|	12895_E0101_200D_12895_E0101	𒢕₁.𒢕₁
o0901491	𒨵	12A35	𒢟‍𒚘	𒢟.𒚘	|GIR₃~c~1.AB~a~2|	1289F_E0101_200D_126A2_E0102	𒢟₁.𒚢₂
o0902108	𒮿	12BBF	𒢟‍𒪘	𒢟.𒪘	|GIR₃~c~1.PIRIG~b1~1|	1289F_E0101_200D_12A98_E0101	𒢟₁.𒪘₁
o0900877	𒢨	128A8	𒢧‍𒮹	𒢧.𒮹	|GIŠ~1.TE~1|	128A7_E0101_200D_12BB9_E0101	𒢧₁.𒮹₁
o0900887	󲵀	F2D40	𒢮‍𒟊	𒢮.𒟊	|GIŠ@t~1.E₂~a~1|	128AE_E0101_200D_127CA_E0101	𒢮₁.𒟊₁
o0900911	𒢿	128BF	𒢾‍𒵼	𒢾.𒵼	|GU₄~2.ZATU755~b~1|	128C1_E0102_200D_12D7C_E0101	𒣁₂.𒵼₁
o0900934	𒣎	128CE	𒣍‍𒣰	𒣍.𒣰	|GUKKAL~a~1.HI@g~a~1|	128CD_E0101_200D_128F0_E0101	𒣍₁.𒣰₁
o0900969	󳂒	F3092	𒣬⁢𒣬	𒣬∘𒣬	|HI×1(N57)~1∘HI×1(N57)~1|	128EC_E0101_2062_128EC_E0101	𒣬₁∘𒣬₁
o0900969	𒣭	128ED	𒣬‍𒣬	𒣬.𒣬	|HI×1(N57)~1.HI×1(N57)~1|	128EC_E0101_200D_128EC_E0101	𒣬₁.𒣬₁
o0900966	𒣪	128EA	𒣦‍𒦀	𒣦.𒦀	|HI~1.LAGAB~a~1|	128E6_E0101_200D_12980_E0101	𒣦₁.𒦀₁
o0900962	𒣩	128E9	𒣦‍𒬣	𒣦.𒬣	|HI~1.SUHUR~1|	128E6_E0101_200D_12B23_E0101	𒣦₁.𒬣₁
o0900962	𒣧	128E7	𒣦‍󳄇	𒣦.󳄇	|HI~1.SUHUR~3|	128E6_E0101_200D_12B23_E0103	𒣦₁.𒬣₃
o0900962	𒣨	128E8	𒣦‍󳄈	𒣦.󳄈	|HI~1.SUHUR~4|	128E6_E0101_200D_12B23_E0104	𒣦₁.𒬣₄
o0901928	𒭄	12B44	󳃴⁢𒪑	󳃴∘𒪑	|IB~a~3∘PAP~a~1|	128F4_E0103_2062_12A91_E0101	𒣴₃∘𒪑₁
o0901014	𒤄	12904	𒤃‍𒠕	𒤃.𒠕	|IR~a~1.GA₂~a1~1|	12903_E0101_200D_12815_E0101	𒤃₁.𒠕₁
o0901033	𒤖	12916	𒤔‍𒭒	𒤔.𒭒	|KA~a~1.ŠE~a~1|	12914_E0101_200D_12B52_E0101	𒤔₁.𒭒₁
o0901055	𒤣	12923	𒤢‍𒠕	𒤢.𒠕	|KAK~a~1.GA₂~a1~1|	12922_E0101_200D_12815_E0101	𒤢₁.𒠕₁
o0901151	𒥧	12967	𒥥‍𒢧	𒥥.𒢧	|KU₆~a~1.GIŠ~1|	12965_E0101_200D_128A7_E0101	𒥥₁.𒢧₁
o0901149	𒥦	12966	𒥥‍𒖾	𒥥.𒖾	|KU₆~a~1.1(N02)~1|	12965_E0101_200D_125BE_E0101	𒥥₁.𒖾₁
o0901164	𒥭	1296D	𒥬‍𒟊	𒥬.𒟊	|KUR~a~1.E₂~a~1|	1296C_E0101_200D_127CA_E0101	𒥬₁.𒟊₁
o0901167	𒥮	1296E	𒥬‍𒪂	𒥬.𒪂	|KUR~a~1.NUNUZ~a1~1|	1296C_E0101_200D_12A82_E0101	𒥬₁.𒪂₁
o0902068	𒮢	12BA2	𒥬‍𒪣	𒥬.𒪣	|KUR~a~1.RU~1|	1296C_E0101_200D_12AA3_E0101	𒥬₁.𒪣₁
o0902068	𒮣	12BA3	𒥬‍𒪥	𒥬.𒪥	|KUR~a~1.RU~2|	1296C_E0101_200D_12AA3_E0102	𒥬₁.𒪣₂
o0901165	𒥰	12970	𒥯‍𒟊	𒥯.𒟊	|KUR~b~1.E₂~a~1|	1296F_E0101_200D_127CA_E0101	𒥯₁.𒟊₁
o0901189		0	𒦗‍𒮹	𒦗.𒮹	|LAGAB~b~1.TE~1|	12997_E0101_200D_12BB9_E0101	𒦗₁.𒮹₁
o0900538	󲟃	F27C3	𒧢‍‍𒟙‍⁢𒭒⁢𒬷	𒧢..𒟙.∘𒭒∘𒬷	|ME~a~1..EN~a~4.∘ŠE~a~1∘ŠA~3|	129E2_E0101_200D_200D_127D6_E0104_200D_2062_12B52_E0101_2062_12B3B_E0103	𒧢₁..𒟖₄.∘𒭒₁∘𒬻₃
o0902418	𒲑	12C91	𒨃‍𒚘	𒨃.𒚘	|MUŠ₃~a~3.AB~a~2|	129FF_E0103_200D_126A2_E0102	𒧿₃.𒚢₂
o0901909	𒬶	12B36	𒨃‍𒟯	𒨃.𒟯	|MUŠ₃~a~3.ERIN~1|	129FF_E0103_200D_127EF_E0101	𒧿₃.𒟯₁
o0902419	𒲒	12C92	𒨃‍𒱄	𒨃.𒱄	|MUŠ₃~a~3.UNUG~a~2|	129FF_E0103_200D_12C46_E0102	𒧿₃.𒱆₂
o0901429	𒨆	12A06	𒨅‍𒱘	𒨅.𒱘	|MUŠEN~1.UR₃~b2~1|	12A05_E0101_200D_12C58_E0101	𒨅₁.𒱘₁
o0901427	󳀃	F3003	𒨅‍󰄜	𒨅.󰄜	|MUŠEN~1.3(N58)~1|	12A05_E0101_200D_F011C_E0101	𒨅₁.󰄜₁
o0902870	𒷱	12DF1	𒖾‍𒪣	𒖾.𒪣	|1(N02)~1.RU~1|	125BE_E0101_200D_12AA3_E0101	𒖾₁.𒪣₁
o0903211	𒷳	12DF3	󰄐‍𒚧	󰄐.𒚧	|1(N57)~1.AB₂~1|	F0110_E0101_200D_126A7_E0101	󰄐₁.𒚧₁
o0903212		0	󰄐‍𒜘	󰄐.𒜘	|1(N57)~1.BU₃~1|	F0110_E0101_200D_12718_E0101	󰄐₁.𒜘₁
o0903214	󳀧	F3027	󰄐‍𒟊	󰄐.𒟊	|1(N57)~1.E₂~a~1|	F0110_E0101_200D_127CA_E0101	󰄐₁.𒟊₁
o0903215		0	󰄐‍𒨅	󰄐.𒨅	|1(N57)~1.MUŠEN~1|	F0110_E0101_200D_12A05_E0101	󰄐₁.𒨅₁
o0901748	𒷴	12DF4	󰄐‍𒫏	󰄐.𒫏	|1(N57)~1.SIG~1|	F0110_E0101_200D_12ACF_E0101	󰄐₁.𒫏₁
o0903219	𒷵	12DF5	󰄐‍𒭉	󰄐.𒭉	|1(N57)~1.ŠAH₂~a~1|	F0110_E0101_200D_12B49_E0101	󰄐₁.𒭉₁
o0903220	𒷶	12DF6	󰄐‍𒮞	󰄐.𒮞	|1(N57)~1.ŠUBUR~1|	F0110_E0101_200D_12B9E_E0101	󰄐₁.𒮞₁
o0902357	𒱪	12C6A	󰄐‍𒱣	󰄐.𒱣	|1(N57)~1.URU~a1~1|	F0110_E0101_200D_12C63_E0101	󰄐₁.𒱣₁
o0903223	𒷸	12DF8	󰄑‍𒚧	󰄑.𒚧	|2(N57)~1.AB₂~1|	F0111_E0101_200D_126A7_E0101	󰄑₁.𒚧₁
o0903225	󳀩	F3029	󰄑‍𒜆	󰄑.𒜆	|2(N57)~1.BIR₃~a~2|	F0111_E0101_200D_12707_E0102	󰄑₁.𒜇₂
o0903564		0	󰄑‍󳂉	󰄑.󳂉	|2(N57)~1.DU₆~a@n~1|	F0111_E0101_200D_F3089_E0101	󰄑₁.󳂉₁
o0903227	𒷹	12DF9	󰄑‍𒥥	󰄑.𒥥	|2(N57)~1.KU₆~a~1|	F0111_E0101_200D_12965_E0101	󰄑₁.𒥥₁
o0903228		0	󰄑‍𒨅	󰄑.𒨅	|2(N57)~1.MUŠEN~1|	F0111_E0101_200D_12A05_E0101	󰄑₁.𒨅₁
o0903230	𒷺	12DFA	󰄑‍𒬛	󰄑.𒬛	|2(N57)~1.SU~a~1|	F0111_E0101_200D_12B1B_E0101	󰄑₁.𒬛₁
o0903231	𒷻	12DFB	󰄑‍𒮞	󰄑.𒮞	|2(N57)~1.ŠUBUR~1|	F0111_E0101_200D_12B9E_E0101	󰄑₁.𒮞₁
o0903233	󳁜	F305C	󰄑‍𒰪	󰄑.𒰪	|2(N57)~1.UDUNITA~a~1|	F0111_E0101_200D_12C2A_E0101	󰄑₁.𒰪₁
o0902359	𒱫	12C6B	󰄑‍𒱣	󰄑.𒱣	|2(N57)~1.URU~a1~1|	F0111_E0101_200D_12C63_E0101	󰄑₁.𒱣₁
o0903235	𒷼	12DFC	󰄒‍𒛅	󰄒.𒛅	|3(N57)~1.AMAR~2|	F0112_E0101_200D_126CA_E0102	󰄒₁.𒛊₂
o0903236		0	󰄒‍𒛜	󰄒.𒛜	|3(N57)~1.AZ~1|	F0112_E0101_200D_126DC_E0101	󰄒₁.𒛜₁
o0903238	󳁝	F305D	󰄒‍󳂕	󰄒.󳂕	|3(N57)~1.BAR×UŠ~a~1|	F0112_E0101_200D_F3095_E0101	󰄒₁.󳂕₁
o0903239	𒷽	12DFD	󰄒‍𒜂	󰄒.𒜂	|3(N57)~1.BARA₃~1|	F0112_E0101_200D_12702_E0101	󰄒₁.𒜂₁
o0903241	𒷾	12DFE	󰄒‍𒟎	󰄒.𒟎	|3(N57)~1.E₂~b~1|	F0112_E0101_200D_127CE_E0101	󰄒₁.𒟎₁
o0903242		0	󰄒‍𒟣	󰄒.𒟣	|3(N57)~1.EN₂~1|	F0112_E0101_200D_127E3_E0101	󰄒₁.𒟣₁
o0903243	𒷿	12DFF	󰄒‍𒡨	󰄒.𒡨	|3(N57)~1.GAR~1|	F0112_E0101_200D_12868_E0101	󰄒₁.𒡨₁
o0900109	𒛙	126D9	󰄒‍𒦬‍𒥬‍𒪥	󰄒.𒦬.𒥬.𒪥	|3(N57)~1.LAM~a~1.KUR~a~1.RU~2|	F0112_E0101_200D_129AC_E0101_200D_1296C_E0101_200D_12AA3_E0102	󰄒₁.𒦬₁.𒥬₁.𒪣₂
o0903245	𒸀	12E00	󰄒‍𒪂	󰄒.𒪂	|3(N57)~1.NUNUZ~a1~1|	F0112_E0101_200D_12A82_E0101	󰄒₁.𒪂₁
o0903246	𒸁	12E01	󰄒‍𒪇	󰄒.𒪇	|3(N57)~1.NUNUZ~c~1|	F0112_E0101_200D_12A87_E0101	󰄒₁.𒪇₁
o0903248	𒸂	12E02	󰄒‍𒪘	󰄒.𒪘	|3(N57)~1.PIRIG~b1~1|	F0112_E0101_200D_12A98_E0101	󰄒₁.𒪘₁
o0902070	𒮥	12BA5	󰄒‍𒪣	󰄒.𒪣	|3(N57)~1.RU~1|	F0112_E0101_200D_12AA3_E0101	󰄒₁.𒪣₁
o0902070	𒮤	12BA4	󰄒‍𒪥	󰄒.𒪥	|3(N57)~1.RU~2|	F0112_E0101_200D_12AA3_E0102	󰄒₁.𒪣₂
o0903250		0	󰄒‍𒪼	󰄒.𒪼	|3(N57)~1.SANGA~b~3|	F0112_E0101_200D_12ABD_E0103	󰄒₁.𒪽₃
o0903251		0	󰄒‍𒫇	󰄒.𒫇	|3(N57)~1.SI~2|	F0112_E0101_200D_12AC4_E0102	󰄒₁.𒫄₂
o0903252	𒸃	12E03	󰄒‍𒮞	󰄒.𒮞	|3(N57)~1.ŠUBUR~1|	F0112_E0101_200D_12B9E_E0101	󰄒₁.𒮞₁
o0903254	󳁞	F305E	󰄒‍𒰥	󰄒.𒰥	|3(N57)~1.UDU~a~1|	F0112_E0101_200D_12C25_E0101	󰄒₁.𒰥₁
o0903256	󳁟	F305F	󰄒‍𒰪	󰄒.𒰪	|3(N57)~1.UDUNITA~a~1|	F0112_E0101_200D_12C2A_E0101	󰄒₁.𒰪₁
o0903258	𒸄	12E04	󰄓‍𒛅	󰄓.𒛅	|4(N57)~1.AMAR~2|	F0113_E0101_200D_126CA_E0102	󰄓₁.𒛊₂
o0903259	𒸅	12E05	󰄓‍𒡨	󰄓.𒡨	|4(N57)~1.GAR~1|	F0113_E0101_200D_12868_E0101	󰄓₁.𒡨₁
o0903261	𒸆	12E06	󰄓‍𒥣	󰄓.𒥣	|4(N57)~1.KU₃~a~1|	F0113_E0101_200D_12963_E0101	󰄓₁.𒥣₁
o0903263	𒸇	12E07	󰄓‍𒨾	󰄓.𒨾	|4(N57)~1.NI~b~1|	F0113_E0101_200D_12A3E_E0101	󰄓₁.𒨾₁
o0903265	𒸈	12E08	󰄔‍𒡨	󰄔.𒡨	|5(N57)~1.GAR~1|	F0114_E0101_200D_12868_E0101	󰄔₁.𒡨₁
o0903267	𒸉	12E09	󰄔‍𒥣	󰄔.𒥣	|5(N57)~1.KU₃~a~1|	F0114_E0101_200D_12963_E0101	󰄔₁.𒥣₁
o0903270	𒸊	12E0A	󰄕‍𒡨	󰄕.𒡨	|6(N57)~1.GAR~1|	F0115_E0101_200D_12868_E0101	󰄕₁.𒡨₁
o0903272	𒸋	12E0B	󰄕‍𒥣	󰄕.𒥣	|6(N57)~1.KU₃~a~1|	F0115_E0101_200D_12963_E0101	󰄕₁.𒥣₁
o0903274		0	󰄖‍𒡨	󰄖.𒡨	|7(N57)~1.GAR~1|	F0116_E0101_200D_12868_E0101	󰄖₁.𒡨₁
o0900997	𒣼	128FC	𒨜‍𒜋	𒨜.𒜋	|NAGAR~a~4.BU~a~2|	12A19_E0104_200D_12713_E0102	𒨙₄.𒜓₂
o0900998	𒣽	128FD	𒨝‍𒜋	𒨝.𒜋	|NAGAR~b~1.BU~a~2|	12A1D_E0101_200D_12713_E0102	𒨝₁.𒜓₂
o0900544	𒟮	127EE	𒨯‍𒪥	𒨯.𒪥	|NE~a~1.RU~2|	12A2F_E0101_200D_12AA3_E0102	𒨯₁.𒪣₂
o0900841	󳂳	F30B3	󳂠⁢𒡸	󳂠∘𒡸	|NE~a~4∘GI~2|	12A2F_E0104_2062_12884_E0102	𒨯₄∘𒢄₂
o0900841	𒢒	12892	𒨳⁢𒡸	𒨳∘𒡸	|NE~c~1∘GI~2|	12A33_E0101_2062_12884_E0102	𒨳₁∘𒢄₂
o0901504	𒨻	12A3B	𒨺‍𒪣	𒨺.𒪣	|NI~a~1.RU~1|	12A3A_E0101_200D_12AA3_E0101	𒨺₁.𒪣₁
o0900047	𒚫	126AB	𒩴‍𒧢	𒩴.𒧢	|NUN~a~1.ME~a~1|	12A74_E0101_200D_129E2_E0101	𒩴₁.𒧢₁
o0900049	󳂭	F30AD	𒩴‍𒧢‍𒝍	𒩴.𒧢.𒝍	|NUN~a~1.ME~a~1.DU~1|	12A74_E0101_200D_129E2_E0101_200D_1274D_E0101	𒩴₁.𒧢₁.𒝍₁
o0900047	𒚬	126AC	𒩴⁤𒧢	𒩴+𒧢	|NUN~a~1+ME~a~1|	12A74_E0101_2064_129E2_E0101	𒩴₁+𒧢₁
o0901601		0	𒩺‍𒯡	𒩺.𒯡	|NUN~b~1.U₄~1|	12A7A_E0101_200D_12BE1_E0101	𒩺₁.𒯡₁
o0902413	𒷲	12DF2	O‍𒡨	O.𒡨	|O.GAR~1|	4F_200D_12868_E0101	O.𒡨₁
o0901926	𒭃	12B43	𒪋⁢𒣴	𒪋∘𒣴	|PA~a~1∘IB~a~1|	12A8B_E0101_2062_128F4_E0101	𒪋₁∘𒣴₁
o0901926	𒭂	12B42	𒪋⁢󳃳	𒪋∘󳃳	|PA~a~1∘IB~a~2|	12A8B_E0101_2062_128F4_E0102	𒪋₁∘𒣴₂
o0901868	𒬚	12B1A	𒪌‍𒰥	𒪌.𒰥	|PA~a~2.UDU~a~1|	12A8B_E0102_200D_12C25_E0101	𒪋₂.𒰥₁
o0901926	󳃆	F30C6	𒪍⁢𒣴	𒪍∘𒣴	|PA~a~3∘IB~a~1|	12A8B_E0103_2062_128F4_E0101	𒪋₃∘𒣴₁
o0900539	󲟄	F27C4	𒪍‍𒮹‍𒫇	𒪍.𒮹.𒫇	|PA~a~3.TE~1.SI~2|	12A8B_E0103_200D_12BB9_E0101_200D_12AC4_E0102	𒪋₃.𒮹₁.𒫄₂
