EAJN001	12690
EAJN002	12698
EAJN003	126A3
EAJN004	126A7
EAJN005	126AB
EAJN006	126AF
EAJN007	126B1
EAJN008	126B5
EAJN009	126B6
EAJN010	126B8
EAJN011	126C1
EAJN012	126C2
EAJN013	126C5
EAJN014	126C6
EAJN015	126CC
EAJN016	126CF
EAJN017	126D2
EAJN018	126D4
EAJN019	126DE
EAJN020	126E6
EAJN021	126E8
EAJN022	126E9
EAJN023	126F1
EAJN024	126FD
EAJN025	126FE
EAJN026	12702
EAJN027	1270B
EAJN028	1270C
EAJN029	12716
EAJN030	12720
EAJN031	12725
EAJN032	1272A
EAJN033	12741
EAJN034	12748
EAJN035	1274B
EAJN036	1274D
EAJN037	1274E
EAJN038	1274F
EAJN039	12753
EAJN040	12759
EAJN041	1275F
EAJN042	12760
EAJN043	1276D
EAJN044	12777
EAJN045	127BC
EAJN046	127BD
EAJN047	127C3
EAJN048	127C4
EAJN049	127C5
EAJN050	127CA
EAJN051	127CE
EAJN052	127D6
EAJN053	127DD
EAJN054	127E3
EAJN055	127E5
EAJN056	127E7
EAJN057	127EB
EAJN058	127EF
EAJN059	127F0
EAJN060	12803
EAJN061	1280A
EAJN062	12815
EAJN063	12818
EAJN064	12819
EAJN065	12829
EAJN066	1282F
EAJN067	12832
EAJN068	1283B
EAJN069	12847
EAJN070	1284E
EAJN071	12852
EAJN072	12867
EAJN073	12868
EAJN074	12874
EAJN075	12877
EAJN076	12878
EAJN077	12879
EAJN078	1287F
EAJN079	12889
EAJN080	1288E
EAJN081	12890
EAJN082	1289A
EAJN083	1289F
EAJN084	128A3
EAJN085	128A4
EAJN086	128A7
EAJN087	128A8
EAJN088	128AC
EAJN089	128AE
EAJN090	128B1
EAJN091	128B7
EAJN092	128BC
EAJN093	128BE
EAJN094	128C0
EAJN095	128C2
EAJN096	128C8
EAJN097	128D2
EAJN098	128D4
EAJN099	128DB
EAJN100	128E1
EAJN101	128E2
EAJN102	128E4
EAJN103	128E6
EAJN104	128EA
EAJN105	128EC
EAJN106	128F0
EAJN107	128F1
EAJN108	128F3
EAJN109	128F4
EAJN110	128F9
EAJN111	128FB
EAJN112	128FE
EAJN113	12900
EAJN114	1290B
EAJN115	12914
EAJN116	1291B
EAJN117	1291C
EAJN118	12922
EAJN119	12926
EAJN120	12929
EAJN121	1292A
EAJN122	12930
EAJN123	12932
EAJN124	12934
EAJN125	12936
EAJN126	1293A
EAJN127	1293C
EAJN128	12941
EAJN129	12942
EAJN130	12950
EAJN131	12954
EAJN132	1295A
EAJN133	1295C
EAJN134	12961
EAJN135	12963
EAJN136	12965
EAJN137	12968
EAJN138	1296C
EAJN139	1297F
EAJN140	1298F
EAJN141	12990
EAJN142	12997
EAJN143	129A6
EAJN144	129AD
EAJN145	129B6
EAJN146	129BD
EAJN147	129CA
EAJN148	129D8
EAJN149	129DF
EAJN150	129E0
EAJN151	129E2
EAJN152	129E5
EAJN153	129E8
EAJN154	129EC
EAJN155	129ED
EAJN156	129F2
EAJN157	129FF
EAJN158	12A05
EAJN159	12DF2
EAJN160	12DFF
EAJN161	12E04
EAJN162	12E05
EAJN163	12E06
EAJN164	12E08
EAJN165	12E09
EAJN166	12E0A
EAJN167	12E0B
EAJN168	12E0D
EAJN169	12A0B
EAJN170	12A0F
EAJN171	12A16
EAJN172	12A19
EAJN173	12A1D
EAJN174	12A22
EAJN175	12A23
EAJN176	12A27
EAJN177	12A29
EAJN178	12A2E
EAJN179	12A2F
EAJN180	12A37
EAJN181	12A3A
EAJN182	12A3B
EAJN183	12A44
EAJN184	12A45
EAJN185	12A46
EAJN186	12A47
EAJN187	12A49
EAJN188	12A61
EAJN189	12A62
EAJN190	12A63
EAJN191	12A6A
EAJN192	12A6B
EAJN193	12A6E
EAJN194	12A72
EAJN195	12A74
EAJN196	12A76
EAJN197	12A79
EAJN198	12A82
EAJN199	12A84
EAJN200	12A87
EAJN201	12A8B
EAJN202	12A91
EAJN203	12A98
EAJN204	12A9B
EAJN205	12A9D
EAJN206	12AA3
EAJN207	12AA6
EAJN208	12AA9
EAJN209	12AB0
EAJN210	12AB5
EAJN211	12AB5_12D76
EAJN212	12AB6
EAJN213	12AB5_12D75
EAJN214	12ABA
EAJN215	12AC0
EAJN216	12AC1
EAJN217	12AC4
EAJN218	12ACB
EAJN219	12ACD
EAJN220	12ACF
EAJN221	12AD2
EAJN222	12AD7
EAJN223	12AE3
EAJN224	12AEE
EAJN225	12AF5
EAJN226	12AF7
EAJN227	12AFE
EAJN228	12B02
EAJN229	12B18
EAJN230	12B1B
EAJN231	12B21
EAJN232	12B23
EAJN233	12B26
EAJN234	12B29
EAJN235	12B30
EAJN236	12B33
EAJN237	12B35
EAJN238	12B37
EAJN239	12B38
EAJN240	12B3A
EAJN241	12B3D
EAJN242	12B3E
EAJN243	12B42
EAJN244	12B46
EAJN245	12B49
EAJN246	12B4F
EAJN247	12B52
EAJN248	12B54
EAJN249	12B56
EAJN250	12B5A
EAJN251	12B60
EAJN252	12B70
EAJN253	12B72
EAJN254	12B76
EAJN255	12B7B
EAJN256	12B88
EAJN257	12B8A
EAJN258	12B8C
EAJN259	12B8D
EAJN260	12B8F
EAJN261	12B90
EAJN262	12B99
EAJN263	12B93
EAJN264	12B98
EAJN265	12B9E
EAJN266	12B9F
EAJN267	12BA0
EAJN268	12BA8
EAJN269	12BB3
EAJN270	12BB4
EAJN271	12BB5
EAJN272	12BB8
EAJN273	12BB9
EAJN274	12BBA
EAJN275	12BBD
EAJN276	12BC2
EAJN277	12BC4
EAJN278	12BCB
EAJN279	12BCE
EAJN280	12BD0
EAJN281	12BD3
EAJN282	12BD8
EAJN283	12BDD
EAJN284	12BE1
EAJN285	12BE3
EAJN286	12BE4
EAJN287	12BE5
EAJN288	12BE6
EAJN289	12BE7
EAJN290	12BED
EAJN291	12BEE
EAJN292	12BF3
EAJN293	12BF4
EAJN294	12BF5
EAJN295	12BF8
EAJN296	12BF9
EAJN297	12BFF
EAJN298	12C00
EAJN299	12C03
EAJN300	12C04
EAJN301	12C06
EAJN302	12C07
EAJN303	12C09
EAJN304	12C0B
EAJN305	12C0C
EAJN306	12C0D
EAJN307	12C0E
EAJN308	12C0F
EAJN309	12C10
EAJN310	12C16
EAJN311	12C1B
EAJN312	12C1F
EAJN313	12C25
EAJN314	12C2A
EAJN315	12C31
EAJN316	12C34
EAJN317	12C42
EAJN318	12C44
EAJN319	12C4A
EAJN320	12C4F
EAJN321	12C5C
EAJN322	12C5E
EAJN323	12C5F
EAJN324	12C63
EAJN325	12C66
EAJN326	12C68
EAJN327	12C73
EAJN328	12C86
EAJN329	12C8A
EAJN330	12C93
EAJN331	12CA4
EAJN332	12CAD
EAJN333	12CB2
EAJN334	12CB8
EAJN335	12CC4
EAJN336	12CC8
EAJN337	12CD1
EAJN338	12CD6
EAJN339	12CDA
EAJN340	12CDB
EAJN341	12CDE
EAJN342	12D00
EAJN343	12D06
EAJN344	12D07
EAJN345	12D16
EAJN346	12D27
EAJN347	12D2F
EAJN348	12D36
EAJN349	12D3F
EAJN350	12D46
EAJN351	12D4F
EAJN352	12D50
EAJN353	12D59
EAJN354	F3300
EAJN355	12D6F
EAJN356	12D71
EAJN357	12D75
EAJN358	12D77
EAJN359	12D79
EAJN360	12D82
EAJN361	12D98
EAJN362	12D9D
EAJN363	12DB1
EAJN364	12DB2
EAJN365	12DB3
EAJN366	12DB4
EAJN367	12DBF
EAJN368	12DC0
EAJN369	12DEB
EAJN900	12D76
