o0900085	|AMAR.1(N02)|	AMAR 1(N02)
o0900104	|APIN~a.APIN~a|	APIN~a APIN~a
o0900191	|(BU~a&BU~a).NA₂~a|	(BU~a&BU~a) NA₂~a
o0900197	|(BU~a&BU~a).X|	(BU~a&BU~a) X
o0900531	|EN₂.E₂~a|	EN₂ E₂~a
o0900532	|EN₂.E₂~b|	EN₂ E₂~b
o0900607	|GA~a.ZATU753|	GA~a ZATU753
o0900853	|GIR~a.KU₆~a|	GIR~a KU₆~a
o0900851	|GIR~b.GIR~b|	GIR~b GIR~b
o0900877	|GIŠ.TE|	GIŠ TE
o0900911	|GU₄.ZATU755~b|	GU₄ ZATU755~b
o0900934	|GUKKAL~a.HI@g~a|	GUKKAL~a HI@g~a
o0900962	|HI.SUHUR|	HI SUHUR
o0901014	|IR~a.GA₂~a1|	IR~a GA₂~a1
o0901033	|KA~a.ŠE~a|	KA~a ŠE~a
o0901055	|KAK~a.GA₂~a1|	KAK~a GA₂~a1
o0901149	|KU₆~a.1(N02)|	KU₆~a 1(N02)
o0901164	|KUR~a.E₂~a|	KUR~a E₂~a
o0903664	|LAGAB~b.LAGAB~b|	LAGAB~b LAGAB~b
o0901189	|LAGAB~b.TE|	LAGAB~b TE
o0901429	|MUŠEN.UR₃~b2|	MUŠEN UR₃~b2
o0902870	|1(N02).RU|	1(N02) RU
o0903212	|1(N57).BU₃|	1(N57) BU₃
o0903215	|1(N57).MUŠEN|	1(N57) MUŠEN
o0901748	|1(N57).SIG|	1(N57) SIG
o0903219	|1(N57).ŠAH₂~a|	1(N57) ŠAH₂~a
o0903220	|1(N57).ŠUBUR|	1(N57) ŠUBUR
o0903223	|2(N57).AB₂|	2(N57) AB₂
o0903225	|2(N57).BIR₃~a|	2(N57) BIR₃~a
o0903227	|2(N57).KU₆~a|	2(N57) KU₆~a
o0903228	|2(N57).MUŠEN|	2(N57) MUŠEN
o0903231	|2(N57).ŠUBUR|	2(N57) ŠUBUR
o0903235	|3(N57).AMAR|	3(N57) AMAR
o0903236	|3(N57).AZ|	3(N57) AZ
o0903242	|3(N57).EN₂|	3(N57) EN₂
o0903243	|3(N57).GAR|	3(N57) GAR
o0903245	|3(N57).NUNUZ~a1|	3(N57) NUNUZ~a1
o0903246	|3(N57).NUNUZ~c|	3(N57) NUNUZ~c
o0903248	|3(N57).PIRIG~b1|	3(N57) PIRIG~b1
o0903250	|3(N57).SANGA~a|	3(N57) SANGA~a
o0903251	|3(N57).SI|	3(N57) SI
o0903252	|3(N57).ŠUBUR|	3(N57) ŠUBUR
o0903258	|4(N57).AMAR|	4(N57) AMAR
o0903259	|4(N57).GAR|	4(N57) GAR
o0903261	|4(N57).KU₃~a|	4(N57) KU₃~a
o0903265	|5(N57).GAR|	5(N57) GAR
o0903267	|5(N57).KU₃~a|	5(N57) KU₃~a
o0903270	|6(N57).GAR|	6(N57) GAR
o0903272	|6(N57).KU₃~a|	6(N57) KU₃~a
o0903274	|7(N57).GAR|	7(N57) GAR
o0903277	|8(N57).NI~b|	8(N57) NI~b
o0903287	|3(N58).UR₃~b1|	3(N58) UR₃~b1
o0901504	|NI~a.RU|	NI~a RU
o0901601	|NUN~b.U₄|	NUN~b U₄
o0901705	|SAL.HI×HI|	SAL HI×HI
o0901699	|SAL.KUR~a|	SAL KUR~a
o0901702	|SAL.ME~a|	SAL ME~a
o0901703	|SAL.ŠU₂|	SAL ŠU₂
o0901707	|SAL.ZATU751~a|	SAL ZATU751~a
o0901951	|ŠE~a.GAR|	ŠE~a GAR
o0901953	|ŠE~a.KIN₂~c|	ŠE~a KIN₂~c
o0901955	|ŠE~a.NAM₂|	ŠE~a NAM₂
o0902043	|ŠU₂.E₂~a|	ŠU₂ E₂~a
o0902044	|ŠU₂.E₂~b|	ŠU₂ E₂~b
o0903633	|ŠU₂.EN~a|	ŠU₂ EN~a
o0902050	|ŠU₂.(HI×1(N57))&(HI×1(N57))|	ŠU₂ (HI×1(N57))&(HI×1(N57))
o0902054	|ŠU₂.PAP~a|	ŠU₂ PAP~a
o0903635	|ŠU₂.URI₃~a|	ŠU₂ URI₃~a
o0902121	|TUG₂~a.BAD&BAD|	TUG₂~a BAD&BAD
o0902150	|TUR₃~a.5(N57)|	TUR₃~a 5(N57)
o0902177	|U₄.ŠU₂|	U₄ ŠU₂
o0902163	|U₄.1(N08)|	U₄ 1(N08)
o0902164	|U₄.2(N08)|	U₄ 2(N08)
o0902165	|U₄.3(N08)|	U₄ 3(N08)
o0902166	|U₄.4(N08)|	U₄ 4(N08)
o0902167	|U₄.5(N08)|	U₄ 5(N08)
o0902168	|U₄.6(N08)|	U₄ 6(N08)
o0902169	|U₄.7(N08)|	U₄ 7(N08)
o0902170	|U₄.8(N08)|	U₄ 8(N08)
o0902171	|U₄.1(N14)|	U₄ 1(N14)
o0902218	|U₄.1(N14).1(N08)|	U₄ 1(N14) 1(N08)
o0902172	|U₄.1(N14).3(N08)|	U₄ 1(N14) 3(N08)
o0902173	|U₄.1(N14).4(N08)|	U₄ 1(N14) 4(N08)
o0902174	|U₄.1(N14).5(N08)|	U₄ 1(N14) 5(N08)
o0902175	|U₄.1(N14).8(N08)|	U₄ 1(N14) 8(N08)
o0902176	|U₄.2(N14)|	U₄ 2(N14)
o0902179	|U₄×1(N01).5(N08)|	U₄×1(N01) 5(N08)
o0902185	|U₄×2(N01).X|	U₄×2(N01) X
o0902183	|U₄×2(N01).2(N14)|	U₄×2(N01) 2(N14)
o0902184	|U₄×2(N01).2(N14).1(N08)|	U₄×2(N01) 2(N14) 1(N08)
o0902194	|U₄×8(N01).X|	U₄×8(N01) X
