DUG~c	DUG~c~v1	o0900336	U+127BC
|(DUG~b&DUG~b)×1(N58)|	|(DUG~b~v1&DUG~b~v1)×1(N58)|	o0900476	U+127B9
|AMAR×TAR~c|	|AMAR~v2×TAR~c|	o0900086	U+126CB
|A×EN~a|	|A×EN~a~v2|	o0900004	U+12692
|BU~a×A|	|BU~a~v1×A|	o0900183	U+12714
|DUG~b×1(N58)|	|DUG~b~v1×1(N58)|	o0900405	U+F3035
|DUG~b×AB₂|	|DUG~b~v1×AB₂|	o0900340	U+127AE
|DUG~b×GA~a|	|DUG~b×GA~a~v4|	o0900358	U+1277F
|DUG~b×GEŠTU~a|	|DUG~b×GEŠTU~a~v2|	o0900361	U+12781
|DUG~b×HI@g~a|	|DUG~b~v1×HI@g~a|	o0900373	U+127B2
|DUG~b×U₂~b|	|DUG~b~v2×U₂~b|	o0900452	U+127BA
|DUG~c×1(N57)|	|DUG~c~v2×1(N57)|	o0900398	U+127BE
|DU₆~a×1(N58)|	|DU₆~a~v1×1(N58)|	o0900290	U+12752
|EZEN~a×EN~a|	|EZEN~a~v1×EN~a|	o0900556	U+12802
|EZEN~a×EN~b|	|EZEN~a×EN~b~v1|	o0900557	U+127F4
|GAN~c×(KUR~a.A)|	|GAN~c~v1×(KUR~a.A)|	o0900759	U+12862
|GAN~c×KAŠ~c|	|GAN~c~v1×KAŠ~c|	o0900757	U+12861
|GAN~c×ZATU777|	|GAN~c~v1×ZATU777~v1|	o0900775	U+12863
|GAN~c×ŠE~a|	|GAN~c~v2×ŠE~a|	o0900769	U+12864
|GAN~d×GEŠTU~a|	|GAN~d×GEŠTU~a~v2|	o0900749	U+12866
|GA~a.ZATU753|	|GA~a~v1.ZATU753|	o0900607	x1280B.x12D79
|GA₂~a1×EN~b|	|GA₂~a1×EN~b~v1|	o0900631	U+12817
|GA₂~a2×(ŠE₃.GU₄)|	|GA₂~a2×(ŠE₃~v1.GU₄)|	o0900646	U+1283C
|GA₂~a2×ŠE₃|	|GA₂~a2×ŠE₃~v1|	o0900703	U+1283B
|GA₂~b×DUB~b|	|GA₂~b×DUB~b~v2|	o0900626	U+12843
|GI&GI&GI|	|GI~v1&GI~v1&GI~v1|	o0900826	U+12888
|GIR~b.GIR~b|	|GIR~b~v1.GIR~b~v1|	o0900851	x12896.x12896
|GIR₃~c×ŠE₃|	|GIR₃~c×ŠE₃~v1|	o0900866	U+128A1
|GI×1(N14)|	|GI~v1×1(N14)|	o0900815	U+12887
|GI×GIŠ@t|	|GI~v1×GIŠ@t|	o0900810	U+12885
|GI×LAGAB~a|	|GI~v1×LAGAB~a|	o0900814	U+12886
|GI×ŠE₃|	|GI×ŠE₃~v1|	o0900820	U+1287C
|GUG₂×SILA₃~a|	|GUG₂~v1×SILA₃~a|	o0900923	U+128CB
|GUG₂×TUR|	|GUG₂~v1×TUR~v1|	o0900926	U+128CC
|KAŠ~b×ŠE~a@t|	|KAŠ~b~v1×ŠE~a@t~v1|	o0901086	U+12939
|LAGAB~a×DU₆~a|	|LAGAB~a×DU₆~a~v1|	o0901197	U+12983
|LAGAB~a×SIG₇|	|LAGAB~a×SIG₇~v1|	o0901237	U+1298D
