F302B	|AB~a×1(N04)|	o0900027	PROTO-CUNEIFORM SIGN AB-A TIMES ONE-N4
F3068	ANŠE~f	o0900097	PROTO-CUNEIFORM SIGN ANSHE-F
F302D	|BU~a+KI|	o0900202	PROTO-CUNEIFORM SIGN BU-A JOINING KI
F302C	|BU~a&BU~a|	o0900189	PROTO-CUNEIFORM SIGN BU-A OVER BU-A
F3069	DARA₄~c	o0900253	PROTO-CUNEIFORM SIGN DARA4-C
F302F	DARA₄~d	o0900259	PROTO-CUNEIFORM SIGN DARA4-D
F3030	|DIN×1(N58)|	o0900277	PROTO-CUNEIFORM SIGN DIN TIMES ONE-N58
F3031	|DU₈~c×AB₂|	o0900299	PROTO-CUNEIFORM SIGN DU8-C TIMES AB2
F3032	|DU₈~c×AMAR|	o0900301	PROTO-CUNEIFORM SIGN DU8-C TIMES AMAR
F3033	DUB~h	o0900322	PROTO-CUNEIFORM SIGN DUB-H
F306A	|DUG~a×KU₆~a|	o0900378	PROTO-CUNEIFORM SIGN DUG-A TIMES KU6-A
F3054	|DUG~b×(SA~a.GI)|	o0900416	PROTO-CUNEIFORM SIGN DUG-B TIMES SA-A PLUS GI
F301E	DUG~d	o0900338	PROTO-CUNEIFORM SIGN DUG-D
F3036	|EZEN~a×KAŠ~b|	o0900563	PROTO-CUNEIFORM SIGN EZEN-A TIMES KASH-B
F3039	|GA₂~a1×E₂~a|	o0900628	PROTO-CUNEIFORM SIGN GA2-A1 TIMES E2-A
F306B	|GA₂~a1×GEŠTU~a|	o0900633	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GESHTU-A
F306C	|GA₂~b×KU₆~a|	o0900658	PROTO-CUNEIFORM SIGN GA2-B TIMES KU6-A
F303A	|GAN~c×(4(N57).GAR)|	o0900763	PROTO-CUNEIFORM SIGN GAN-C TIMES FOUR-N57 PLUS GAR
F306E	GEŠTIN~d	o0900792	PROTO-CUNEIFORM SIGN GESHTIN-D
F306F	GEŠTIN~e	o0900793	PROTO-CUNEIFORM SIGN GESHTIN-E
F303B	|GI×A|	o0900809	PROTO-CUNEIFORM SIGN GI TIMES A
F3070	GIŠIMMAR~b2	o0900902	PROTO-CUNEIFORM SIGN GISHIMMAR-B2
F3072	IB~c	o0900985	PROTO-CUNEIFORM SIGN IB-C
F303C	KALAM~g	o0901068	PROTO-CUNEIFORM SIGN KALAM-G
F303D	KALAM~h	o0901069	PROTO-CUNEIFORM SIGN KALAM-H
F303E	KALAM~h2	o0901070	PROTO-CUNEIFORM SIGN KALAM-H2
F3073	KIN₂~b	o0901105	PROTO-CUNEIFORM SIGN KIN2-B
F3019	|LAGAB~a×LA₂~a|	o0901215	PROTO-CUNEIFORM SIGN LAGAB-A TIMES LA2-A
F301A	|LAGAB~a×1(N58)|	o0901225	PROTO-CUNEIFORM SIGN LAGAB-A TIMES ONE-N58
F303F	|LAL₂~a×NAGA~a|	o0901275	PROTO-CUNEIFORM SIGN LAL2-A TIMES NAGA-A
F3040	|MAH~a×TUN₃~c|	o0901347	PROTO-CUNEIFORM SIGN MAH-A TIMES TUN3-C
F3002	|MAR~b×GAR|	o0901365	PROTO-CUNEIFORM SIGN MAR-B TIMES GAR
F301C	MAR@g~a	o0901373	PROTO-CUNEIFORM SIGN MAR GUNU-A
F3074	NA₂~c	o0901446	PROTO-CUNEIFORM SIGN NA2-C
F3041	|NINDA₂×MAR~a|	o0901555	PROTO-CUNEIFORM SIGN NINDA2 TIMES MAR-A
F3042	|NINDA₂×NUN~a|	o0901564	PROTO-CUNEIFORM SIGN NINDA2 TIMES NUN-A
F3043	|NINDA₂×ZATU710|	o0901576	PROTO-CUNEIFORM SIGN NINDA2 TIMES ZATU710
F3018	|PIRIG~b1+DIN|	o0901655	PROTO-CUNEIFORM SIGN PIRIG-B1 JOINING DIN
F3010	|SAG×NAM₂|	o0901689	PROTO-CUNEIFORM SIGN SAG TIMES NAM2
F300F	|SAL+HI×HI|	o0901705	PROTO-CUNEIFORM SIGN SAL JOINING HI TIMES HI
F300E	|SAL+ZATU751~a|	o0901707	PROTO-CUNEIFORM SIGN SAL JOINING ZATU751-A
F3064	SANGA~e	o0901715	PROTO-CUNEIFORM SIGN SANGA-E1
F3046	SAR~d	o0901721	PROTO-CUNEIFORM SIGN SAR-D
F300C	|SI+AN|	o0901737	PROTO-CUNEIFORM SIGN SI JOINING AN
F3048	|SI×EN~a|	o0901728	PROTO-CUNEIFORM SIGN SI TIMES EN-A
F3049	|SI×KU~b1|	o0901731	PROTO-CUNEIFORM SIGN SI TIMES KU-B1
F304B	|SI×SAL|	o0901733	PROTO-CUNEIFORM SIGN SI TIMES SAL
F304C	|SI×TUN₃~a|	o0901736	PROTO-CUNEIFORM SIGN SI TIMES TUN3-A
