12650	𒚐	PROTO-CUNEIFORM SIGN A	o0900000
12651	𒚓	PROTO-CUNEIFORM SIGN A TIMES SHUBUR	o0900006
12652	𒚔	PROTO-CUNEIFORM SIGN A TIMES ZATU672	o0900007
12653	𒚕	PROTO-CUNEIFORM SIGN A TIMES ONE-N14	o0900005
12654	𒚗	PROTO-CUNEIFORM SIGN A2	o0900010
12655	𒚘	PROTO-CUNEIFORM SIGN AB-A	o0900012
12656	𒚙	PROTO-CUNEIFORM SIGN AB-A TIMES A TENU	o0900018
12657	𒚚	PROTO-CUNEIFORM SIGN AB-A TIMES ASH2	o0900020
12658	𒚝	PROTO-CUNEIFORM SIGN AB-A TIMES SHE-A OVER SHE-A	o0900033
12659	𒚟	PROTO-CUNEIFORM SIGN AB-A TIMES ZATU659	o0900038
1265A	󳀫	PROTO-CUNEIFORM SIGN AB-A TIMES ONE-N4	o0900027
1265B	𒚡	PROTO-CUNEIFORM SIGN AB-A GUNU	o0900040
1265C	𒚣	PROTO-CUNEIFORM SIGN AB-B	o0900014
1265D	𒚧	PROTO-CUNEIFORM SIGN AB2	o0900041
1265E	𒚨	PROTO-CUNEIFORM SIGN AB2 TIMES TWO-N14	o0900043
1265F	𒚫	PROTO-CUNEIFORM SIGN ABGAL	o0900047
12660	𒚭	PROTO-CUNEIFORM SIGN ABRIG	o0900049
12661	𒚮	PROTO-CUNEIFORM SIGN ABZU	o0900050
12662	𒚯	PROTO-CUNEIFORM SIGN AD-A	o0900053
12663	𒚰	PROTO-CUNEIFORM SIGN AD-B	o0900054
12664	𒚱	PROTO-CUNEIFORM SIGN AD-C	o0900055
12665	𒚲	PROTO-CUNEIFORM SIGN ADAB	o0900056
12666	𒚳	PROTO-CUNEIFORM SIGN ADDA	o0900058
12667	𒚵	PROTO-CUNEIFORM SIGN AGAR2	o0900060
12668	𒚶	PROTO-CUNEIFORM SIGN AK-A	o0900062
12669	𒚷	PROTO-CUNEIFORM SIGN AK-B	o0900063
1266A	𒚸	PROTO-CUNEIFORM SIGN AL	o0900064
1266B	𒚹	PROTO-CUNEIFORM SIGN ALAN-A	o0900066
1266C	𒚺	PROTO-CUNEIFORM SIGN ALAN-B	o0900067
1266D	𒚻	PROTO-CUNEIFORM SIGN ALAN-C	o0900068
1266E	𒚽	PROTO-CUNEIFORM SIGN ALAN-E	o0900070
1266F	𒚾	PROTO-CUNEIFORM SIGN ALIM	o0900072
12670	𒚿	PROTO-CUNEIFORM SIGN AM-A	o0900074
12671	𒛀	PROTO-CUNEIFORM SIGN AM-B	o0900075
12672	𒛁	PROTO-CUNEIFORM SIGN AMA-A	o0900077
12673	𒛂	PROTO-CUNEIFORM SIGN AMA-A TIMES E2-A	o0900081
12674	𒛄	PROTO-CUNEIFORM SIGN AMA-B	o0900079
12675	𒛅	PROTO-CUNEIFORM SIGN AMAR	o0900082
12676	𒛆	PROTO-CUNEIFORM SIGN AMAR BESIDE ONE-N2	o0900085
12677	𒛇	PROTO-CUNEIFORM SIGN AMAR OVER AMAR	o0900087
12678	𒛈	PROTO-CUNEIFORM SIGN AMAR GUNU	o0900088
12679	𒛌	PROTO-CUNEIFORM SIGN AN	o0900089
1267A	𒛎	PROTO-CUNEIFORM SIGN ANSHE-A	o0900093
1267B	𒛏	PROTO-CUNEIFORM SIGN ANSHE-B	o0900094
1267C	𒛐	PROTO-CUNEIFORM SIGN ANSHE-C	o0900095
1267D	𒛑	PROTO-CUNEIFORM SIGN ANSHE-E	o0900096
1267E	󳁨	PROTO-CUNEIFORM SIGN ANSHE-F	o0900097
1267F	𒛒	PROTO-CUNEIFORM SIGN APIN-A	o0900100
12680	𒛓	PROTO-CUNEIFORM SIGN APIN-A BESIDE APIN-A	o0900104
12681	𒛔	PROTO-CUNEIFORM SIGN APIN-B	o0900101
12682	𒛕	PROTO-CUNEIFORM SIGN APIN-C	o0900102
12683	𒛖	PROTO-CUNEIFORM SIGN ARARMA2-A	o0900106
12684	𒛘	PROTO-CUNEIFORM SIGN ARARMA2-B	o0900108
12685	𒛙	PROTO-CUNEIFORM SIGN ARATTA	o0900109
12686	𒛚	PROTO-CUNEIFORM SIGN ASAR	o0900111
12687	𒛛	PROTO-CUNEIFORM SIGN ASH2	o0900112
12688	𒛜	PROTO-CUNEIFORM SIGN AZ	o0900113
12689	𒛝	PROTO-CUNEIFORM SIGN AZU	o0900114
1268A	𒛞	PROTO-CUNEIFORM SIGN BA	o0900115
1268B	𒛟	PROTO-CUNEIFORM SIGN BAD	o0900116
1268C	𒛠	PROTO-CUNEIFORM SIGN BAD OVER BAD	o0900117
1268D	𒛡	PROTO-CUNEIFORM SIGN BAD3-A	o0900119
1268E	𒛢	PROTO-CUNEIFORM SIGN BAD3-B1	o0900121
1268F	𒛣	PROTO-CUNEIFORM SIGN BAD3-B2	o0900122
12690	𒛤	PROTO-CUNEIFORM SIGN BAHAR2-A	o0900124
12691	𒛦	PROTO-CUNEIFORM SIGN BAHAR2-B	o0900126
12692	𒛨	PROTO-CUNEIFORM SIGN BAHAR2-C	o0900128
12693	𒛩	PROTO-CUNEIFORM SIGN BALA-A	o0900130
12694	𒛪	PROTO-CUNEIFORM SIGN BALA-B	o0900131
12695	𒛬	PROTO-CUNEIFORM SIGN BALAG	o0900133
12696	𒛮	PROTO-CUNEIFORM SIGN BAN-A	o0900136
12697	𒛱	PROTO-CUNEIFORM SIGN BAN-B	o0900139
12698	𒛲	PROTO-CUNEIFORM SIGN BANSHUR-A	o0900141
12699	𒛳	PROTO-CUNEIFORM SIGN BANSHUR-A TENU	o0900146
1269A	𒛴	PROTO-CUNEIFORM SIGN BANSHUR-B1	o0900142
1269B	𒛵	PROTO-CUNEIFORM SIGN BANSHUR-B2	o0900143
1269C	𒛶	PROTO-CUNEIFORM SIGN BANSHUR-C	o0900144
1269D	𒛷	PROTO-CUNEIFORM SIGN BAPPIR-A	o0900148
1269E	𒛸	PROTO-CUNEIFORM SIGN BAPPIR-B	o0900149
1269F	𒛹	PROTO-CUNEIFORM SIGN BAPPIR-C	o0900150
126A0	𒛺	PROTO-CUNEIFORM SIGN BAPPIR-D	o0900151
126A1	𒛻	PROTO-CUNEIFORM SIGN BAPPIR-E	o0900152
126A2	𒛼	PROTO-CUNEIFORM SIGN BAPPIR-F	o0900153
126A3	𒛽	PROTO-CUNEIFORM SIGN BAR	o0900154
126A4	𒛾	PROTO-CUNEIFORM SIGN BARA2-A	o0900158
126A5	𒜀	PROTO-CUNEIFORM SIGN BARA2-B	o0900160
126A6	𒜂	PROTO-CUNEIFORM SIGN BARA3	o0900162
126A7	𒜃	PROTO-CUNEIFORM SIGN BIR-A	o0900165
126A8	𒜄	PROTO-CUNEIFORM SIGN BIR-B	o0900166
126A9	𒜅	PROTO-CUNEIFORM SIGN BIR-C	o0900167
126AA	𒜆	PROTO-CUNEIFORM SIGN BIR3-A	o0900169
126AB	𒜈	PROTO-CUNEIFORM SIGN BIR3-B	o0900171
126AC	𒜊	PROTO-CUNEIFORM SIGN BIR3-C	o0900173
126AD	𒜋	PROTO-CUNEIFORM SIGN BU-A	o0900175
126AE	𒜌	PROTO-CUNEIFORM SIGN BU-A JOINING DU6-A	o0900199
126AF	󳀭	PROTO-CUNEIFORM SIGN BU-A JOINING KI	o0900202
126B0	󳀬	PROTO-CUNEIFORM SIGN BU-A OVER BU-A	o0900189
126B1	𒜐	PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE NA2-A	o0900191
126B2	𒜖	PROTO-CUNEIFORM SIGN BU-B	o0900177
126B3	𒜘	PROTO-CUNEIFORM SIGN BU3	o0900205
126B4	𒜙	PROTO-CUNEIFORM SIGN BULUG	o0900206
126B5	𒜚	PROTO-CUNEIFORM SIGN BULUG3	o0900207
126B6	𒜛	PROTO-CUNEIFORM SIGN BUR-A	o0900211
126B7	𒜜	PROTO-CUNEIFORM SIGN BUR-B	o0900212
126B8	𒜝	PROTO-CUNEIFORM SIGN BUR-C	o0900213
126B9	𒜞	PROTO-CUNEIFORM SIGN BUR-D	o0900214
126BA	𒜟	PROTO-CUNEIFORM SIGN BUR2	o0900215
126BB	𒜠	PROTO-CUNEIFORM SIGN DA-A	o0900217
126BC	𒜢	PROTO-CUNEIFORM SIGN DA-B	o0900218
126BD	𒜣	PROTO-CUNEIFORM SIGN DA-C	o0900219
126BE	𒜤	PROTO-CUNEIFORM SIGN DA-D	o0900220
126BF	𒜥	PROTO-CUNEIFORM SIGN DAH	o0900224
126C0	𒜦	PROTO-CUNEIFORM SIGN DAM	o0900225
126C1	𒜧	PROTO-CUNEIFORM SIGN DANNA	o0900226
126C2	𒜨	PROTO-CUNEIFORM SIGN DAR-A	o0900228
126C3	𒜩	PROTO-CUNEIFORM SIGN DAR-A TIMES A	o0900233
126C4	𒜪	PROTO-CUNEIFORM SIGN DAR-B	o0900229
126C5	𒜫	PROTO-CUNEIFORM SIGN DAR-C	o0900230
126C6	𒜬	PROTO-CUNEIFORM SIGN DAR-D	o0900231
126C7	𒜭	PROTO-CUNEIFORM SIGN DARA3-A	o0900235
126C8	𒜮	PROTO-CUNEIFORM SIGN DARA3-B	o0900236
126C9	𒜯	PROTO-CUNEIFORM SIGN DARA3-C	o0900237
126CA	𒜰	PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2-B	o0900241
126CB	𒜱	PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2-C PLUS SHE-A	o0900246
126CC	𒜳	PROTO-CUNEIFORM SIGN DARA3-D	o0900239
126CD	𒜴	PROTO-CUNEIFORM SIGN DARA3-D TIMES KAR2-B	o0900243
126CE	𒜷	PROTO-CUNEIFORM SIGN DARA3-D2 TIMES KAR2-A1 PLUS SHE-A	o0900247
126CF	𒜸	PROTO-CUNEIFORM SIGN DARA4-A1	o0900249
126D0	𒜹	PROTO-CUNEIFORM SIGN DARA4-A2	o0900250
126D1	𒜺	PROTO-CUNEIFORM SIGN DARA4-A3	o0900251
126D2	𒜻	PROTO-CUNEIFORM SIGN DARA4-B	o0900252
126D3	󳁩	PROTO-CUNEIFORM SIGN DARA4-C	o0900253
126D4	𒜼	PROTO-CUNEIFORM SIGN DARA4-C1	o0900254
126D5	𒜽	PROTO-CUNEIFORM SIGN DARA4-C2	o0900255
126D6	𒜾	PROTO-CUNEIFORM SIGN DARA4-C3	o0900256
126D7	𒜿	PROTO-CUNEIFORM SIGN DARA4-C4	o0900257
126D8	𒝀	PROTO-CUNEIFORM SIGN DARA4-C5	o0900258
126D9	󳀯	PROTO-CUNEIFORM SIGN DARA4-D	o0900259
126DA	𒝁	PROTO-CUNEIFORM SIGN DI	o0900260
126DB	𒝂	PROTO-CUNEIFORM SIGN DI TENU	o0900261
126DC	𒝃	PROTO-CUNEIFORM SIGN DIB	o0900262
126DD	𒝅	PROTO-CUNEIFORM SIGN DILMUN	o0900264
126DE	𒝈	PROTO-CUNEIFORM SIGN DIM-A	o0900269
126DF	𒝉	PROTO-CUNEIFORM SIGN DIM-B	o0900270
126E0	𒝊	PROTO-CUNEIFORM SIGN DIM-C	o0900271
126E1	𒝋	PROTO-CUNEIFORM SIGN DIN	o0900276
126E2	󳀰	PROTO-CUNEIFORM SIGN DIN TIMES ONE-N58	o0900277
126E3	𒝌	PROTO-CUNEIFORM SIGN DIN TENU	o0900278
126E4	𒝍	PROTO-CUNEIFORM SIGN DU	o0900279
126E5	𒝎	PROTO-CUNEIFORM SIGN DU TIMES ONE-N58 TENU	o0900281
126E6	𒝏	PROTO-CUNEIFORM SIGN DU GUNU	o0900282
126E7	𒝐	PROTO-CUNEIFORM SIGN DU6-A	o0900284
126E8	𒝓	PROTO-CUNEIFORM SIGN DU6-B	o0900287
126E9	𒝔	PROTO-CUNEIFORM SIGN DU6-C	o0900288
126EA	𒝕	PROTO-CUNEIFORM SIGN DU7	o0900291
126EB	𒝖	PROTO-CUNEIFORM SIGN DU8-A	o0900293
