serial	char	cdli	ap23-name	action	comment	pcsl	new-name	new-code	sort	components
1	𒖀	1(N01)	ONE-N1	ignore		1(N01)			2155	
2	𒖁	1(N01@f)	ONE-N1 FLAT	ignore		1(N01@f)			2156	
3	𒖂	|1(N01@r)|	ONE-N1 REVERSED	ignore		1(N01@r)			2157	
4	𒖃	1(N02)	ONE-N2	ignore		1(N02)			2177	
5	𒖄	1(N03)	ONE-N3	ignore		1(N03)			2187	
6	𒖅	1(N04)	ONE-N4	ignore		1(N04)			2193	
7	𒖆	1(N04@f)	ONE-N4 FLAT	ignore		1(N04@f)			2194	
8	𒖇	1(N05)	ONE-N5	ignore		1(N05)			2203	
9	𒖈	1(N06)	ONE-N6	ignore		1(N06)			2208	
10	𒖉	1(N07~a)	ONE-N7-A	ignore		1(N07~a)			2210	
11	𒖊	1(N07~b)	ONE-N7-B	ignore		1(N07~b)			2211	
12	𒖋	1(N08)	ONE-N8	ignore		1(N08)			2218	
13	𒖌	1(N08~b)	ONE-N8-B	ignore		1(N08~b)			2221	
14	𒖍	1(N08@f)	ONE-N8 FLAT	ignore		1(N08@f)			2219	
15	𒖎	1(N09)	ONE-N9	ignore		1(N09)			2237	
16	𒖏	1(N11)	ONE-N11	ignore		1(N11)			2238	
17	𒖐	1(N12)	ONE-N12	ignore		1(N12)			2239	
18	𒖑	1(N14)	ONE-N14	ignore		1(N14)			2240	
19	𒖒	1(N14@f)	ONE-N14 FLAT	ignore		1(N14@f)			2241	
20	𒖓	1(N15)	ONE-N15	ignore		1(N15)			2266	
21	𒖔	1(N16)	ONE-N16	ignore		1(N16)			2271	
22	𒖕	1(N17)	ONE-N17	ignore		1(N17)			2272	
23	𒖖	1(N18)	ONE-N18	ignore		1(N18)			2273	
24	𒖗	1(N19)	ONE-N19	ignore		1(N19)			2283	
25	𒖘	1(N19@f)	ONE-N19 FLAT	ignore		1(N19@f)			2284	
26	𒖙	1(N20)	ONE-N20	ignore		1(N20)			2302	
27	𒖚	1(N22)	ONE-N22	ignore		1(N22)			2316	
28	𒖛	1(N22@f)	ONE-N22 FLAT	ignore		1(N22@f)			2317	
29	𒖜	1(N23)	ONE-N23	ignore		1(N23)			2321	
30	𒖝	1(N24)	ONE-N24	ignore		1(N24)			2326	
31	𒖞	1(N24~a)	ONE-N24-A	ignore		1(N24~a)			2328	
32	𒖟	1(N24~b)	ONE-N24-B	ignore		1(N24~b)			2329	
33	𒖠	1(N24@f)	ONE-N24 FLAT	ignore		1(N24@f)			2327	
34	𒖡	1(N25)	ONE-N25	ignore		1(N25)			2333	
35	𒖢	1(N26)	ONE-N26	ignore		1(N26)			2334	
35.1	𒖣	1(N26)	ONE-N26 VARIANT 1	ignore		1(N26)~v1			2335	
36	𒖤	1(N26~b)	ONE-N26-B	ignore		1(N26~b)			2336	
37	𒖥	1(N27)	ONE-N27	ignore		1(N27)			2338	
37.1	𒖦	1(N27)	ONE-N27 VARIANT 1	ignore		1(N27)~v1			2337	
38	𒖧	1(N28)	ONE-N28	ignore		1(N28)			2339	
39	𒖨	1(N28~b)	ONE-N28-B	ignore		1(N28~b)			2340	
40	𒖩	1(N28~c)	ONE-N28-C	ignore		1(N28~c)			2341	
41	𒖪	1(N29~a)	ONE-N29-A	ignore		1(N29~a)			2343	
41.1	𒖫	1(N29~a)	ONE-N29-A VARIANT 1	ignore		1(N29~a)~v1			2344	
42	𒖬	1(N29~b)	ONE-N29-B	ignore		1(N29~b)			2345	
43	𒖭	1(N29A~b)	ONE-N29A-B	ignore		1(N29A~b)			2351	
44	𒖮	1(N29A~c)	ONE-N29A-C	ignore		1(N29A~c)			2352	
45	𒖯	1(N30~a)	ONE-N30-A	ignore		1(N30~a)			2357	
45.1	𒖰	1(N30~a)	ONE-N30-A VARIANT 1	ignore		1(N30~a)~v1			2356	
46	𒖱	1(N30~c)	ONE-N30-C	ignore		1(N30~c)			2359	
47	𒖲	1(N30~d)	ONE-N30-D	ignore		1(N30~d)			2360	
48	𒖳	1(N30~e)	ONE-N30-E	ignore		1(N30~e)			2361	
49	𒖴	1(N30A~c)	ONE-N30A-C	ignore		1(N30A~c)			2363	
50	𒖵	1(N30C~b)	ONE-N30C-B	ignore		1(N30C~b)			2365	
51	𒖶	1(N30C~c)	ONE-N30C-C	ignore		1(N30C~c)			2366	
