1	𒖀	1(N01)	ONE-N1	ignore		1(N01)		
2	𒖁	1(N01@f)	ONE-N1 FLAT	ignore		1(N01@f)		
3	𒖂	|1(N01@r)|	ONE-N1 REVERSED	ignore		1(N01@r)		
4	𒖃	1(N02)	ONE-N2	ignore		1(N02)		
5	𒖄	1(N03)	ONE-N3	ignore		1(N03)		
6	𒖅	1(N04)	ONE-N4	ignore		1(N04)		
7	𒖆	1(N04@f)	ONE-N4 FLAT	ignore		1(N04@f)		
8	𒖇	1(N05)	ONE-N5	ignore		1(N05)		
9	𒖈	1(N06)	ONE-N6	ignore		1(N06)		
10	𒖉	1(N07~a)	ONE-N7-A	ignore		1(N07~a)		
11	𒖊	1(N07~b)	ONE-N7-B	ignore		1(N07~b)		
12	𒖋	1(N08)	ONE-N8	ignore		1(N08)		
13	𒖌	1(N08~b)	ONE-N8-B	ignore		1(N08~b)		
14	𒖍	1(N08@f)	ONE-N8 FLAT	ignore		1(N08@f)		
15	𒖎	1(N09)	ONE-N9	ignore		1(N09)		
16	𒖏	1(N11)	ONE-N11	ignore		1(N11)		
17	𒖐	1(N12)	ONE-N12	ignore		1(N12)		
18	𒖑	1(N14)	ONE-N14	ignore		1(N14)		
19	𒖒	1(N14@f)	ONE-N14 FLAT	ignore		1(N14@f)		
20	𒖓	1(N15)	ONE-N15	ignore		1(N15)		
21	𒖔	1(N16)	ONE-N16	ignore		1(N16)		
22	𒖕	1(N17)	ONE-N17	ignore		1(N17)		
23	𒖖	1(N18)	ONE-N18	ignore		1(N18)		
24	𒖗	1(N19)	ONE-N19	ignore		1(N19)		
25	𒖘	1(N19@f)	ONE-N19 FLAT	ignore		1(N19@f)		
26	𒖙	1(N20)	ONE-N20	ignore		1(N20)		
27	𒖚	1(N22)	ONE-N22	ignore		1(N22)		
28	𒖛	1(N22@f)	ONE-N22 FLAT	ignore		1(N22@f)		
29	𒖜	1(N23)	ONE-N23	ignore		1(N23)		
30	𒖝	1(N24)	ONE-N24	ignore		1(N24)		
31	𒖞	1(N24~a)	ONE-N24-A	ignore		1(N24~a)		
32	𒖟	1(N24~b)	ONE-N24-B	ignore		1(N24~b)		
33	𒖠	1(N24@f)	ONE-N24 FLAT	ignore		1(N24@f)		
34	𒖡	1(N25)	ONE-N25	ignore		1(N25)		
35	𒖢	1(N26)	ONE-N26	ignore		1(N26)		
35.1	𒖣	1(N26)	ONE-N26 VARIANT 1	ignore		1(N26)~v1		
36	𒖤	1(N26~b)	ONE-N26-B	ignore		1(N26~b)		
37	𒖥	1(N27)	ONE-N27	ignore		1(N27)		
37.1	𒖦	1(N27)	ONE-N27 VARIANT 1	ignore		1(N27)~v1		
38	𒖧	1(N28)	ONE-N28	ignore		1(N28)		
39	𒖨	1(N28~b)	ONE-N28-B	ignore		1(N28~b)		
40	𒖩	1(N28~c)	ONE-N28-C	ignore		1(N28~c)		
41	𒖪	1(N29~a)	ONE-N29-A	ignore		1(N29~a)		
41.1	𒖫	1(N29~a)	ONE-N29-A VARIANT 1	ignore		1(N29~a)~v1		
42	𒖬	1(N29~b)	ONE-N29-B	ignore		1(N29~b)		
43	𒖭	1(N29A~b)	ONE-N29A-B	ignore		1(N29A~b)		
44	𒖮	1(N29A~c)	ONE-N29A-C	ignore		1(N29A~c)		
45	𒖯	1(N30~a)	ONE-N30-A	ignore		1(N30~a)		
45.1	𒖰	1(N30~a)	ONE-N30-A VARIANT 1	ignore		1(N30~a)~v1		
46	𒖱	1(N30~c)	ONE-N30-C	ignore		1(N30~c)		
47	𒖲	1(N30~d)	ONE-N30-D	ignore		1(N30~d)		
48	𒖳	1(N30~e)	ONE-N30-E	ignore		1(N30~e)		
49	𒖴	1(N30A~c)	ONE-N30A-C	ignore		1(N30A~c)		
50	𒖵	1(N30C~b)	ONE-N30C-B	ignore		1(N30C~b)		
51	𒖶	1(N30C~c)	ONE-N30C-C	ignore		1(N30C~c)		
52	𒖷	1(N31)	ONE-N31	ignore		1(N31)		
53	𒖸	1(N32)	ONE-N32	ignore		1(N32)		
54	𒖹	1(N33)	ONE-N33	ignore		1(N33)		
55	𒖺	1(N34)	ONE-N34	ignore		1(N34)		
56	𒖻	1(N34@f)	ONE-N34 FLAT	ignore		1(N34@f)		
57	𒖼	|1(N34@f@t)|	ONE-N34 FLAT TENU	ignore		1(N34@f@t)		
58	𒖽	1(N35)	ONE-N35	ignore		1(N35)		
59	𒖾	1(N36)	ONE-N36	ignore		1(N36)		
60	𒖿	1(N36@f)	ONE-N36 FLAT	ignore		1(N36@f)		
61	𒗀	1(N37)	ONE-N37	ignore		1(N37)		
62	𒗁	1(N38)	ONE-N38	ignore		1(N38)		
63	𒗂	1(N39~a)	ONE-N39-A	ignore		1(N39~a)		
64	𒗃	1(N39~b)	ONE-N39-B	ignore		1(N39~b)		
65	𒗄	1(N40)	ONE-N40	ignore		1(N40)		
66	𒗅	1(N41)	ONE-N41	ignore		1(N41)		
67	𒗆	1(N42~a)	ONE-N42-A	ignore		1(N42~a)		
68	𒗇	1(N42~b)	ONE-N42-B	ignore		1(N42~b)		
69	𒗈	1(N43)	ONE-N43	ignore		1(N43)		
70	𒗉	1(N44)	ONE-N44	ignore		1(N44)		
71	𒗊	1(N45)	ONE-N45	ignore		1(N45)		
72	𒗋	1(N45~a)	ONE-N45-A	ignore		1(N45~a)		
73	𒗌	1(N45@f)	ONE-N45 FLAT	ignore		1(N45@f)		
74	𒗍	1(N46)	ONE-N46	ignore		1(N46)		
75	𒗎	1(N46@f)	ONE-N46 FLAT	ignore		1(N46@f)		
76	𒗏	1(N47)	ONE-N47	ignore		1(N47)		
77	𒗐	1(N48)	ONE-N48	ignore		1(N48)		
78	𒗑	1(N48@f)	ONE-N48 FLAT	ignore		1(N48@f)		
79	𒗒	1(N49)	ONE-N49	ignore		1(N49)		
80	𒗓	1(N50)	ONE-N50	ignore		1(N50)		
81	𒗔	1(N51)	ONE-N51	ignore		1(N51)		
82	𒗕	1(N51@f)	ONE-N51 FLAT	ignore		1(N51@f)		
83	𒗖	1(N52)	ONE-N52	ignore		1(N52)		
84	𒗗	1(N54)	ONE-N54	ignore		1(N54)		
85	𒗘	1(N55)	ONE-N55	ignore		1(N55)		
86	𒗙	1(N56)	ONE-N56	ignore		1(N56)		
87	𒗚	1(N57)	ONE-N57	ignore		1(N57)		
88	𒗛	1(N58)	ONE-N58	ignore		1(N58)		
89	𒗜	|1(N58@t)|	ONE-N58 TENU	ignore		1(N58@t)		
90	𒗝	1(N60)	ONE-N60	ignore		1(N60)		
91	𒗞	1(N63)	ONE-N63	ignore		1(N63)		
92	𒗟	2(N01)	TWO-N1	ignore		2(N01)		
93	𒗠	2(N01@f)	TWO-N1 FLAT	ignore		2(N01@f)		
94	𒗡	2(N02)	TWO-N2	ignore		2(N02)		
95	𒗢	2(N03)	TWO-N3	ignore		2(N03)		
96	𒗣	2(N04)	TWO-N4	ignore		2(N04)		
97	𒗤	2(N04@f)	TWO-N4 FLAT	ignore		2(N04@f)		
98	𒗥	2(N05)	TWO-N5	ignore		2(N05)		
99	𒗦	2(N07~a)	TWO-N7-A	ignore		2(N07~a)		
100	𒗧	2(N07~b)	TWO-N7-B	ignore		2(N07~b)		
101	𒗨	2(N08)	TWO-N8	ignore		2(N08)		
102	𒗩	2(N08~b)	TWO-N8-B	ignore		2(N08~b)		
103	𒗪	2(N14)	TWO-N14	ignore		2(N14)		
104	𒗫	2(N14@f)	TWO-N14 FLAT	ignore		2(N14@f)		
105	𒗬	2(N15)	TWO-N15	ignore		2(N15)		
106	𒗭	2(N18)	TWO-N18	ignore		2(N18)		
107	𒗮	2(N19)	TWO-N19	ignore		2(N19)		
108	𒗯	2(N19@f)	TWO-N19 FLAT	ignore		2(N19@f)		
109	𒗰	2(N20)	TWO-N20	ignore		2(N20)		
110	𒗱	2(N21)	TWO-N21	ignore		2(N21)		
111	𒗲	2(N22)	TWO-N22	ignore		2(N22)		
