1	𒖀	1(N01)	ONE‐N1
2	𒖁	1(N01@f)	ONE‐N1 FLAT
3	𒖂	|1(N01@r)|	ONE‐N1 REVERSED
4	𒖃	1(N02)	ONE‐N2
5	𒖅	1(N03)	ONE‐N3
6	𒖆	1(N04)	ONE‐N4
7	𒖇	1(N04@f)	ONE‐N4 FLAT
8	𒖈	1(N05)	ONE‐N5
9	𒖉	1(N06)	ONE‐N6
10	𒖊	1(N07~a)	ONE‐N7‐A
11	𒖋	1(N07~b)	ONE‐N7‐B
12	𒖌	1(N08)	ONE‐N8
13	𒖍	1(N08~b)	ONE‐N8‐B
14	𒖎	1(N08@f)	ONE‐N8 FLAT
15	𒖐	1(N09)	ONE‐N9
16	𒖑	1(N11)	ONE‐N11
17	𒖒	1(N12)	ONE‐N12
18	•	1(N14)	ONE‐N14
19	𒖔	1(N14@f)	ONE‐N14 FLAT
20	𒖕	1(N15)	ONE‐N15
21	𒖖	1(N16)	ONE‐N16
22	𒖗	1(N17)	ONE‐N17
23	𒖘	1(N18)	ONE‐N18
24	𒖙	1(N19)	ONE‐N19
25	𒖚	1(N19@f)	ONE‐N19 FLAT
26	𒖛	1(N20)	ONE‐N20
27	𒖜	1(N22)	ONE‐N22
28	𒖝	1(N22@f)	ONE‐N22 FLAT
29	𒖞	1(N23)	ONE‐N23
30	𒖟	1(N24)	ONE‐N24
31	𒖠	1(N24~a)	ONE‐N24‐A
32	𒖡	1(N24~b)	ONE‐N24‐B
33	𒖢	1(N24@f)	ONE‐N24 FLAT
34	𒖣	1(N25)	ONE‐N25
35		1(N26)	ONE‐N26
35.1		1(N26)	ONE‐N26 VARIANT 1
36	𒖥	1(N26~b)	ONE‐N26‐B
37		1(N27)	ONE‐N27
37.1		1(N27)	ONE‐N27 VARIANT 1
38	𒖧	1(N28)	ONE‐N28
39	𒖨	1(N28~b)	ONE‐N28‐B
40	𒖩	1(N28~c)	ONE‐N28‐C
41		1(N29~a)	ONE‐N29‐A
41.1		1(N29~a)	ONE‐N29‐A VARIANT 1
42	𒖫	1(N29~b)	ONE‐N29‐B
43	𒖬	1(N29A~b)	ONE‐N29A‐B
44	𒖭	1(N29A~c)	ONE‐N29A‐C
45		1(N30~a)	ONE‐N30‐A
45.1		1(N30~a)	ONE‐N30‐A VARIANT 1
46	𒖯	1(N30~c)	ONE‐N30‐C
47	𒖰	1(N30~d)	ONE‐N30‐D
48	𒖱	1(N30~e)	ONE‐N30‐E
49	𒖲	1(N30A~c)	ONE‐N30A‐C
50	𒖳	1(N30C~b)	ONE‐N30C‐B
51	𒖴	1(N30C~c)	ONE‐N30C‐C
52	𒖵	1(N31)	ONE‐N31
53	𒖶	1(N32)	ONE‐N32
54	𒖷	1(N33)	ONE‐N33
55	𒖸	1(N34)	ONE‐N34
56	𒖺	1(N34@f)	ONE‐N34 FLAT
57	𒖻	|1(N34@f@t)|	ONE‐N34 FLAT TENU
58	𒖼	1(N35)	ONE‐N35
59	𒖽	1(N36)	ONE‐N36
60	𒖾	1(N36@f)	ONE‐N36 FLAT
61	𒖿	1(N37)	ONE‐N37
62	𒗀	1(N38)	ONE‐N38
63	𒗁	1(N39~a)	ONE‐N39‐A
64	𒗂	1(N39~b)	ONE‐N39‐B
65	𒗃	1(N40)	ONE‐N40
66	𒗄	1(N41)	ONE‐N41
67	𒗅	1(N42~a)	ONE‐N42‐A
68	𒗆	1(N42~b)	ONE‐N42‐B
69	𒗇	1(N43)	ONE‐N43
70	𒗈	1(N44)	ONE‐N44
71	•	1(N45)	ONE‐N45
72	𒗊	1(N45~a)	ONE‐N45‐A
73	𒗋	1(N45@f)	ONE‐N45 FLAT
74	𒗌	1(N46)	ONE‐N46
75	𒗍	1(N46@f)	ONE‐N46 FLAT
76	𒗎	1(N47)	ONE‐N47
77	𒗏	1(N48)	ONE‐N48
78	𒗐	1(N48@f)	ONE‐N48 FLAT
79	𒗑	1(N49)	ONE‐N49
80	𒗒	1(N50)	ONE‐N50
81	𒗓	1(N51)	ONE‐N51
82	𒗔	1(N51@f)	ONE‐N51 FLAT
83	𒗕	1(N52)	ONE‐N52
84	𒗖	1(N54)	ONE‐N54
85	𒗗	1(N55)	ONE‐N55
86	𒗘	1(N56)	ONE‐N56
87	𒗙	1(N57)	ONE‐N57
88	𒗞	1(N58)	ONE‐N58
89	𒗡	|1(N58@t)|	ONE‐N58 TENU
90	𒗢	1(N60)	ONE‐N60
91	𒗣	1(N63)	ONE‐N63
92	𒗤	2(N01)	TWO‐N1
93	𒗥	2(N01@f)	TWO‐N1 FLAT
94	𒗦	2(N02)	TWO‐N2
95	𒗧	2(N03)	TWO‐N3
96	𒗨	2(N04)	TWO‐N4
97	𒗩	2(N04@f)	TWO‐N4 FLAT
98	𒗪	2(N05)	TWO‐N5
99	𒗫	2(N07~a)	TWO‐N7‐A
100	𒗬	2(N07~b)	TWO‐N7‐B
101	𒗭	2(N08)	TWO‐N8
102	𒗮	2(N08~b)	TWO‐N8‐B
103	𒗯	2(N14)	TWO‐N14
104	𒗰	2(N14@f)	TWO‐N14 FLAT
105	𒗱	2(N15)	TWO‐N15
106	𒗲	2(N18)	TWO‐N18
107	𒗳	2(N19)	TWO‐N19
108	𒗴	2(N19@f)	TWO‐N19 FLAT
109	𒗵	2(N20)	TWO‐N20
110	𒗶	2(N21)	TWO‐N21
111	𒗷	2(N22)	TWO‐N22
112	𒗸	2(N22@f)	TWO‐N22 FLAT
113	𒗹	2(N23)	TWO‐N23
114	𒗺	2(N24)	TWO‐N24
115	𒗻	2(N29~a)	TWO‐N29‐A
116	𒗼	2(N29A~b)	TWO‐N29A‐B
117	𒗽	2(N34)	TWO‐N34
118	𒗾	2(N34@f)	TWO‐N34 FLAT
119	𒗿	2(N35)	TWO‐N35
120	𒘀	2(N36)	TWO‐N36
121	𒘁	2(N37)	TWO‐N37
122	𒘂	2(N39~a)	TWO‐N39‐A
123	𒘃	2(N39~b)	TWO‐N39‐B
124	𒘄	2(N40)	TWO‐N40
125	𒘅	2(N41)	TWO‐N41
126	𒘆	2(N42~a)	TWO‐N42‐A
127	𒘇	2(N42~b)	TWO‐N42‐B
128	𒘈	2(N45)	TWO‐N45
129	𒘉	2(N45@f)	TWO‐N45 FLAT
130	𒘊	2(N46)	TWO‐N46
131	𒘋	2(N46@f)	TWO‐N46 FLAT
132	𒘌	2(N47)	TWO‐N47
133	𒘍	2(N48)	TWO‐N48
134	𒘎	2(N49)	TWO‐N49
135	𒘏	2(N50)	TWO‐N50
136	𒘐	2(N51)	TWO‐N51
137	𒘑	2(N51@f)	TWO‐N51 FLAT
138	𒘒	2(N52)	TWO‐N52
139	𒘓	2(N54)	TWO‐N54
140	𒘔	2(N56)	TWO‐N56
141	𒘕	2(N57)	TWO‐N57
142	𒘚	2(N58)	TWO‐N58
143	𒘛	2(N59)	TWO‐N59
144	𒘜	2(LAGAB~a)	TWO‐LAGAB‐A
145	𒘝	3(N01)	THREE‐N1
146	𒘞	3(N01@f)	THREE‐N1 FLAT
147	𒘟	3(N02)	THREE‐N2
148	𒘠	3(N03)	THREE‐N3
149	𒘡	3(N04)	THREE‐N4
150	𒘢	3(N04@f)	THREE‐N4 FLAT
151	𒘣	3(N05)	THREE‐N5
152	𒘤	3(N07~a)	THREE‐N7‐A
153	𒘥	3(N07~b)	THREE‐N7‐B
154	𒘦	3(N08)	THREE‐N8
155	𒘧	3(N08~b)	THREE‐N8‐B
156	𒘨	3(N14)	THREE‐N14
157	𒘩	3(N14@f)	THREE‐N14 FLAT
158	𒘪	3(N15)	THREE‐N15
159	𒘫	3(N18)	THREE‐N18
160	𒘬	3(N19)	THREE‐N19
161	𒘭	3(N19@f)	THREE‐N19 FLAT
162	𒘮	3(N20)	THREE‐N20
163	𒘯	3(N21)	THREE‐N21
164	𒘰	3(N23)	THREE‐N23
165	𒘱	3(N34)	THREE‐N34
166	𒘲	3(N34@f)	THREE‐N34 FLAT
167	𒘳	3(N36)	THREE‐N36
168	𒘴	3(N39~a)	THREE‐N39‐A
169	𒘵	3(N39~b)	THREE‐N39‐B
170	𒘶	3(N40)	THREE‐N40
171	𒘷	3(N41)	THREE‐N41
172	𒘸	3(N42~a)	THREE‐N42‐A
173	𒘹	3(N42~b)	THREE‐N42‐B
174	𒘺	3(N45)	THREE‐N45
175	𒘻	3(N45@f)	THREE‐N45 FLAT
176	𒘼	3(N46)	THREE‐N46
177	𒘽	3(N47)	THREE‐N47
178	𒘾	3(N48)	THREE‐N48
179	𒘿	3(N49)	THREE‐N49
180	𒙀	3(N50)	THREE‐N50
181	𒙁	3(N51)	THREE‐N51
182	𒙂	3(N51@f)	THREE‐N51 FLAT
183	𒙃	3(N52)	THREE‐N52
184	𒙄	3(N53)	THREE‐N53
185	𒙅	3(N54)	THREE‐N54
186	𒙆	3(N57)	THREE‐N57
187	𒙏	3(N58)	THREE‐N58
188	𒙑	3(N59)	THREE‐N59
189	𒙒	3(N61)	THREE‐N61
190	𒙓	4(N01)	FOUR‐N1
191	𒙔	4(N01@f)	FOUR‐N1 FLAT
192	𒙕	4(N02)	FOUR‐N2
193	𒙖	4(N03)	FOUR‐N3
194	𒙗	4(N04)	FOUR‐N4
195	𒙘	4(N04@f)	FOUR‐N4 FLAT
196	𒙙	4(N05)	FOUR‐N5
197	𒙚	4(N08)	FOUR‐N8
198	𒙛	4(N08~b)	FOUR‐N8‐B
199	𒙜	4(N08~c)	FOUR‐N8‐C
200	𒙝	4(N14)	FOUR‐N14
201	𒙞	4(N14@f)	FOUR‐N14 FLAT
202	𒙟	4(N15)	FOUR‐N15
203	𒙠	4(N18)	FOUR‐N18
204	𒙡	4(N19)	FOUR‐N19
205	𒙢	4(N19@f)	FOUR‐N19 FLAT
206	𒙣	4(N20)	FOUR‐N20
207	𒙤	4(N21)	FOUR‐N21
208	𒙥	4(N24)	FOUR‐N24
209	𒙦	4(N34)	FOUR‐N34
210	𒙧	4(N34@f)	FOUR‐N34 FLAT
211	𒙨	4(N36)	FOUR‐N36
212	𒙩	4(N39~a)	FOUR‐N39‐A
213	𒙪	4(N39~b)	FOUR‐N39‐B
214	𒙫	4(N40)	FOUR‐N40
215	𒙬	4(N41)	FOUR‐N41
216	𒙭	4(N42~a)	FOUR‐N42‐A
217	𒙮	4(N42~b)	FOUR‐N42‐B
218	𒙯	4(N43)	FOUR‐N43
219	𒙰	4(N45)	FOUR‐N45
220	𒙱	4(N45@f)	FOUR‐N45 FLAT
221	𒙲	4(N48)	FOUR‐N48
222	𒙳	4(N49)	FOUR‐N49
223	𒙴	4(N50)	FOUR‐N50
224	𒙵	4(N51)	FOUR‐N51
225	𒙶	4(N51@f)	FOUR‐N51 FLAT
226	𒙷	4(N52)	FOUR‐N52
227	𒙸	4(N54)	FOUR‐N54
228	𒙹	4(N57)	FOUR‐N57
229	𒙾	4(N58)	FOUR‐N58
230	𒙿	4(N59)	FOUR‐N59
231	𒚀	4(N62)	FOUR‐N62
232	𒚁	4(LAGAB~a)	FOUR‐LAGAB‐A
233	𒚂	5(N01)	FIVE‐N1
234	𒚃	5(N01@f)	FIVE‐N1 FLAT
235	𒚄	5(N02)	FIVE‐N2
236	𒚅	5(N03)	FIVE‐N3
237	𒚆	5(N04)	FIVE‐N4
238	𒚇	5(N04@f)	FIVE‐N4 FLAT
239	𒚈	5(N05)	FIVE‐N5
240	𒚉	5(N08)	FIVE‐N8
241		5(N14)	FIVE‐N14
241.1		5(N14)	FIVE‐N14 VARIANT 1
242	𒚋	5(N14@f)	FIVE‐N14 FLAT
243	𒚌	5(N15)	FIVE‐N15
244	𒚍	5(N18)	FIVE‐N18
245	𒚎	5(N19)	FIVE‐N19
246	𒚏	5(N19@f)	FIVE‐N19 FLAT
247	𒚐	5(N20)	FIVE‐N20
248	𒚑	5(N21)	FIVE‐N21
249	𒚒	5(N23)	FIVE‐N23
250	𒚓	5(N34)	FIVE‐N34
251	𒚔	5(N34@f)	FIVE‐N34 FLAT
252	𒚕	5(N35)	FIVE‐N35
253	𒚖	5(N36)	FIVE‐N36
254	𒚗	5(N45)	FIVE‐N45
255	𒚘	5(N45@f)	FIVE‐N45 FLAT
256	𒚙	5(N48)	FIVE‐N48
257	𒚚	5(N49)	FIVE‐N49
258	𒚛	5(N50)	FIVE‐N50
259	𒚜	5(N51)	FIVE‐N51
260	𒚝	5(N51@f)	FIVE‐N51 FLAT
261	𒚞	5(N52)	FIVE‐N52
262	𒚟	5(N54)	FIVE‐N54
263	𒚠	5(N57)	FIVE‐N57
264	𒚣	5(N58)	FIVE‐N58
265	𒚤	6(N01)	SIX‐N1
266	𒚥	6(N01@f)	SIX‐N1 FLAT
267	𒚦	6(N02)	SIX‐N2
268	𒚧	6(N08)	SIX‐N8
269		6(N14)	SIX‐N14
269.1		6(N14)	SIX‐N14 VARIANT 1
270	𒚩	6(N14@f)	SIX‐N14 FLAT
271	𒚪	6(N18)	SIX‐N18
272	𒚫	6(N19)	SIX‐N19
273	𒚬	6(N19@f)	SIX‐N19 FLAT
274	𒚭	6(N20)	SIX‐N20
275	𒚮	6(N21)	SIX‐N21
276	𒚯	6(N24)	SIX‐N24
277	𒚰	6(N34)	SIX‐N34
278	𒚱	6(N34@f)	SIX‐N34 FLAT
279	𒚲	6(N36)	SIX‐N36
280	𒚳	6(N45)	SIX‐N45
281	𒚴	6(N45@f)	SIX‐N45 FLAT
282	𒚵	6(N48)	SIX‐N48
283	𒚶	6(N51)	SIX‐N51
284	𒚷	6(N51@f)	SIX‐N51 FLAT
285		6(N57)	SIX‐N57
285.1		6(N57)	SIX‐N57 VARIANT 1
286	𒚻	6(LAGAB~a)	SIX‐LAGAB‐A
287	𒚼	7(N01)	SEVEN‐N1
288	𒚽	7(N01@f)	SEVEN‐N1 FLAT
289	𒚾	7(N02)	SEVEN‐N2
290	𒚿	7(N08)	SEVEN‐N8
291	𒛀	7(N14)	SEVEN‐N14
292	𒛁	7(N14@f)	SEVEN‐N14 FLAT
293	𒛂	7(N18)	SEVEN‐N18
294	𒛃	7(N19)	SEVEN‐N19
295	𒛄	7(N19@f)	SEVEN‐N19 FLAT
296	𒛅	7(N20)	SEVEN‐N20
297	𒛆	7(N23)	SEVEN‐N23
298	𒛇	7(N34)	SEVEN‐N34
299	𒛈	7(N34@f)	SEVEN‐N34 FLAT
300	𒛉	7(N36)	SEVEN‐N36
301	𒛊	7(N45)	SEVEN‐N45
302	𒛋	7(N45@f)	SEVEN‐N45 FLAT
303	𒛌	7(N48)	SEVEN‐N48
304	𒛍	7(N51)	SEVEN‐N51
305	𒛎	7(N51@f)	SEVEN‐N51 FLAT
306	𒛏	7(N57)	SEVEN‐N57
307	𒛐	8(N01)	EIGHT‐N1
308	𒛑	8(N01@f)	EIGHT‐N1 FLAT
309	𒛒	8(N02)	EIGHT‐N2
310	𒛓	8(N08)	EIGHT‐N8
311	𒛔	8(N14)	EIGHT‐N14
312	𒛕	8(N14@f)	EIGHT‐N14 FLAT
313	𒛖	8(N18)	EIGHT‐N18
314	𒛗	8(N19)	EIGHT‐N19
315	𒛘	8(N19@f)	EIGHT‐N19 FLAT
316	𒛙	8(N20)	EIGHT‐N20
317	𒛚	8(N34)	EIGHT‐N34
318	𒛛	8(N34@f)	EIGHT‐N34 FLAT
319	𒛜	8(N36)	EIGHT‐N36
320	𒛝	8(N45@f)	EIGHT‐N45 FLAT
321	𒛞	8(N51)	EIGHT‐N51
322	𒛟	8(N51@f)	EIGHT‐N51 FLAT
323	𒛠	8(N57)	EIGHT‐N57
324	𒛢	8(N58)	EIGHT‐N58
325		9(N01)	NINE‐N1
325.1		9(N01)	NINE‐N1 VARIANT 1
326	𒛤	9(N01@f)	NINE‐N1 FLAT
327	𒛥	9(N02)	NINE‐N2
328	𒛦	9(N08)	NINE‐N8
329	𒛧	9(N14)	NINE‐N14
330	𒛨	9(N14@f)	NINE‐N14 FLAT
331		9(N18)	NINE‐N18
331.1		9(N18)	NINE‐N18 VARIANT 1
332		9(N19)	NINE‐N19
332.1		9(N19)	NINE‐N19 VARIANT 1
333	𒛫	9(N19@f)	NINE‐N19 FLAT
334	𒛬	9(N20)	NINE‐N20
335	𒛭	9(N34)	NINE‐N34
336	𒛮	9(N34@f)	NINE‐N34 FLAT
337	𒛯	9(N36)	NINE‐N36
338	𒛰	9(N45)	NINE‐N45
339	𒛱	9(N45@f)	NINE‐N45 FLAT
340	𒛲	9(N51@f)	NINE‐N51 FLAT
341	𒛳	9(N57)	NINE‐N57
342	𒛴	9(N58)	NINE‐N58
343	𒛵	10(N01)	TEN‐N1
344	𒛶	10(N14)	TEN‐N14
345	𒛷	10(N14@f)	TEN‐N14 FLAT
346	𒛸	10(N57)	TEN‐N57
347	𒛹	10(N58)	TEN‐N58
348	𒛺	12(N14)	TWELVE‐N14
349	𒛻	12(N58)	TWELVE‐N58
350	𒛽	A	A
351	𒜄	A@t	A TENU
352	𒜅	A@g	A GUNU
353	𒜆	A2	A2
354		AB~a	AB‐A
354.1		AB~a	AB‐A VARIANT 1
355	𒜐	AB~a@g	AB‐A GUNU
356	𒜑	AB~b	AB‐B
357		AB2	AB2
357.1		AB2	AB2 VARIANT 1
358		ABGAL	ABGAL
358.1		ABGAL	ABGAL VARIANT 1
359	𒜘	ABRIG	ABRIG
360	𒜙	ABZU	ABZU
361	𒜚	AD~a	AD‐A
362	𒜛	AD~b	AD‐B
363	𒜜	AD~c	AD‐C
364	𒜝	ADAB	ADAB
365	𒜞	ADDA	ADDA
366	𒜟	ADDA@t‐2	ADDA TENU‐2
367	𒜠	AGAR2	AGAR2
368	𒜡	AK~a	AK‐A
369	𒜢	AK~b	AK‐B
370	𒜣	AL	AL
371	𒜤	ALAN~a	ALAN‐A
372	𒜥	ALAN~b	ALAN‐B
373	𒜦	ALAN~c	ALAN‐C
374	𒜧	ALAN~d	ALAN‐D
375	𒜨	ALAN~e	ALAN‐E
376	𒜩	ALAN~f	ALAN‐F
377	𒜪	ALIM	ALIM
378	𒜫	AM~a	AM‐A
379	𒜬	AM~b	AM‐B
380		AMA~a	AMA‐A
380.1		AMA~a	AMA‐A VARIANT 1
