pcsl	|A×EN~a|	|A×EN~a~v2|
oid	|A×EN~a|	|A×EN~a~v2|
pcsl	|AMAR×TAR~d|	|AMAR~v2×TAR~c|
oid	|AMAR×TAR|	|AMAR~v2×TAR~c|
pcsl	|BU~b.NA₂~a|	|BU~b.NA₂~a~v1|
oid	|BU~b.NA₂~a|	|BU~b.NA₂~a~v1|
pcsl	|(BU~a&BU~a).NA₂~a|~v1	|(BU~a&BU~a).NA₂~a~v1|
oid	|(BU~a&BU~a).NA₂~a|~v1	|(BU~a&BU~a).NA₂~a~v1|
pcsl	|BU~a+DU₆~a|~v1	|BU~a+DU₆~a~v1|
oid	|BU~a+DU₆~a|~v1	|BU~a+DU₆~a~v1|
pcsl	|DU₆~a×1(N58)|	|DU₆~a~v1×1(N58)|
oid	|DU₆~a×DIŠ|	|DU₆~a~v1×1(N58)|
pcsl	|DUG~b×AB₂|	|DUG~b~v1×AB₂|
oid	|DUG~b×AB₂|	|DUG~b~v1×AB₂|
pcsl	|DUG~b×DIN|~v1	|DUG~b~v1×DIN|
oid	|DUG~b×DIN|~v1	|DUG~b~v1×DIN|
pcsl	|DUG~b×GA~a|	|DUG~b×GA~a~v4|
oid	|DUG~b×GA~a|	|DUG~b×GA~a~v4|
pcsl	|DUG~b×GEŠTU~a|	|DUG~b×GEŠTU~a~v2|
oid	|DUG~b×GEŠTU~a|	|DUG~b×GEŠTU~a~v2|
pcsl	|DUG~b×GEŠTU~a|~v1	|DUG~b~v1×GEŠTU~a~v2|
oid	|DUG~b×GEŠTU~a|~v1	|DUG~b~v1×GEŠTU~a~v2|
pcsl	|DUG~b×HI|~v1	|DUG~b~v1×HI|~v1
oid	|DUG~b×HI|~v1	|DUG~b~v1×HI|~v1
pcsl	|DUG~b×HI@g~a|	|DUG~b~v1×HI@g~a|
oid	|DUG~b×HI@g~a|	|DUG~b~v1×HI@g~a|
pcsl	|DUG~b×MAŠ|~v1	|DUG~b~v1×MAŠ|~v1
oid	|DUG~b×MAŠ|~v1	|DUG~b~v1×MAŠ|~v1
pcsl	|DUG~b×ŠE~a|~v1	|DUG~b~v1×ŠE~a|
oid	|DUG~b×ŠE~a|~v1	|DUG~b~v1×ŠE~a|
pcsl	|DUG~b×ŠE~a|~v2	|DUG~b~v1×ŠE~a@t|
oid	|DUG~b×ŠE~a|~v2	|DUG~b~v1×ŠE~a@t|
pcsl	|DUG~b×X|~v1	|DUG~b~v1×X|
oid	|DUG~b×X|~v1	|DUG~b~v1×X|
