AB₂~v2	1505.1
ANŠE~d	1550
BAD~a	1464
|BU~a~v1%BU~a~v1|	1515
DARA₃~d1	1525
DARA₃~d2	1525.2 1526
DUB@n~a	1534 1536
DUB@n~b	1535
|DUG~b~v1&DUG~b~v1|	1555
DUG~b~v2	1591.1
DUG~c~v2	1601
EN~d	1866
GAN~c~v2	1683 1684
GEŠTU~c	1873
GURUŠ~c	1729
HI~a1	1844 1844.1
KA~a~v1	1742.1
KA~a~v2	1742
KAR₂~a1	1525.2 1526
KAR₂~c	1524
KUR~e	1780
KUŠU₂~a@t	1761
X(N57)	1487
N(N01)	2015
1(N57@t)	1734
NA₂~a@n	1515
SILA₃~a~v1	1918
SILA₃~d	1957
SUHUR~v1	1643 1738.1
SUHUR~v2	1738.2
ŠE~a@t~v1	1746
ŠITA~b1@g	1893
ŠUBUR~v1	1462.1
TAR~b	1857 2019 2021
TAR~c	1509 2034 2049 2049.1
TU~c~v1	1949
URU~a3	2047
UŠ~b~v2	2049
X	1500 1517 1533 1568 1581 1594 1594.1 1624 1663 1670 1671 1686 1698 1705 1774 1807 1815 1822 1828 1836 1848 1855 1858 1946 1985 2011 2017 2030 2045 2059 2066 2069 2087 2091 2092
ZATU737~v3	2080 2085
ZATU759@t	2092
