o0900000	12690	A
o0903568	12691	|A×EN~a|
o0900006	12692	|A×ŠUBUR|
o0900007	12693	|A×ZATU672|
o0900005	12694	|A×1(N14)|
o0900010	12695	A₂
o0900012	12696	AB~a
o0900018	12697	|AB~a×A@t|
o0900020	12698	|AB~a×AŠ₂|
o0900033	12699	|AB~a×(ŠE~a&ŠE~a)|
o0900038	1269A	|AB~a×ZATU659|
o0900027	1269B	|AB~a×1(N04)|
o0900040	1269C	AB~a@g
o0900014	1269D	AB~b
o0900041	1269E	AB₂
o0900043	1269F	|AB₂×2(N14)|
o0900050	126A0	ABZU
o0900053	126A1	AD~a
o0900054	126A2	AD~b
o0900055	126A3	AD~c
o0900056	126A4	ADAB
o0900058	126A5	ADDA
o0900060	126A6	AGAR₂
o0900062	126A7	AK~a
o0900063	126A8	AK~b
o0900064	126A9	AL
o0900066	126AA	ALAN~a
o0900067	126AB	ALAN~b
o0900068	126AC	ALAN~c
o0900070	126AD	ALAN~e
o0900072	126AE	ALIM
o0900074	126AF	AM~a
o0900075	126B0	AM~b
o0900077	126B1	AMA~a
o0900081	126B2	|AMA~a×E₂~a|
o0900079	126B3	AMA~b
o0900082	126B4	AMAR
o0903569	126B5	|AMAR×TAR~c|
o0900087	126B6	|AMAR&AMAR|
o0900089	126B7	AN
o0900093	126B8	ANŠE~a
o0900094	126B9	ANŠE~b
o0900095	126BA	ANŠE~c
o0900096	126BB	ANŠE~e
o0900097	126BC	ANŠE~f
o0900100	126BD	APIN~a
o0900101	126BE	APIN~b
o0900102	126BF	APIN~c
o0900106	126C0	ARARMA₂~a
o0900111	126C1	ASAR
o0900113	126C2	AZ
o0900114	126C3	AZU
o0900115	126C4	BA
o0900116	126C5	BAD
o0900117	126C6	|BAD&BAD|
o0900119	126C7	BAD₃~a
o0900121	126C8	BAD₃~b1
o0900122	126C9	BAD₃~b2
o0900124	126CA	BAHAR₂~a
o0900126	126CB	BAHAR₂~b
o0900128	126CC	BAHAR₂~c
o0900130	126CD	BALA~a
o0900131	126CE	BALA~b
o0900133	126CF	BALAG
o0900136	126D0	BAN~a
o0900139	126D1	BAN~b
o0900141	126D2	BANŠUR~a
o0900146	126D3	BANŠUR~a@t
o0900142	126D4	BANŠUR~b1
o0900143	126D5	BANŠUR~b2
o0900144	126D6	BANŠUR~c
o0900148	126D7	BAPPIR~a
o0900149	126D8	BAPPIR~b
o0900150	126D9	BAPPIR~c
o0900151	126DA	BAPPIR~d
o0900152	126DB	BAPPIR~e
o0900153	126DC	BAPPIR~f
o0900154	126DD	BAR
o0900158	126DE	BARA₂~a
o0900160	126DF	BARA₂~b
o0900162	126E0	BARA₃
o0900165	126E1	BIR~a
o0900166	126E2	BIR~b
o0900167	126E3	BIR~c
o0900169	126E4	BIR₃~a
o0900171	126E5	BIR₃~b
o0900173	126E6	BIR₃~c
o0900175	126E7	BU~a
o0900199	126E8	|BU~a+DU₆~a|
o0900202	126E9	|BU~a+KI|
o0903570	126EA	|BU~a×A|
o0900191	126EB	|(BU~a&BU~a).NA₂~a|
o0903571	126EC	|(BU~a%BU~a).NA₂~a@n|
o0900177	126ED	BU~b
o0900205	126EE	BU₃
o0900206	126EF	BULUG
o0900207	126F0	BULUG₃
o0900211	126F1	BUR~a
o0900212	126F2	BUR~b
o0900213	126F3	BUR~c
o0900214	126F4	BUR~d
o0900215	126F5	BUR₂
o0900217	126F6	DA~a
o0900218	126F7	DA~b
o0900219	126F8	DA~c
o0900220	126F9	DA~d
o0900224	126FA	DAH
o0900225	126FB	DAM
o0900226	126FC	DANNA
o0900228	126FD	DAR~a
o0900233	126FE	|DAR~a×A|
o0900229	126FF	DAR~b
o0900230	12700	DAR~c
o0900235	12701	DARA₃~a
o0900236	12702	DARA₃~b
o0900237	12703	DARA₃~c
o0900241	12704	|DARA₃~c×KAR₂|
o0900246	12705	|DARA₃~c×(KAR₂.ŠE~a)|
o0900239	12706	DARA₃~d
o0900247	12707	|DARA₃~d×(KAR₂.ŠE~a)|
o0900243	12708	|DARA₃~d×KAR₂~b|
o0900249	12709	DARA₄~a1
o0900250	1270A	DARA₄~a2
o0900251	1270B	DARA₄~a3
o0900252	1270C	DARA₄~b
o0900253	1270D	DARA₄~c
o0900254	1270E	DARA₄~c1
