o0980000	12690	𒚐	A	PROTO-CUNEIFORM SIGN A
o0980003	12691	𒚑	|A×EN~a|	PROTO-CUNEIFORM SIGN A TIMES EN-A
o0980004	12692	𒚒	|A×ŠUBUR|	PROTO-CUNEIFORM SIGN A TIMES SHUBUR
o0980005	12693	𒚓	|A×ZATU672|	PROTO-CUNEIFORM SIGN A TIMES ZATU672
o0980006	12694	𒚔	|A×1(N14)|	PROTO-CUNEIFORM SIGN A TIMES ONE-N14
o0980009	12695	𒚕	A₂	PROTO-CUNEIFORM SIGN A2
o0980010	12696	𒚖	AB~a	PROTO-CUNEIFORM SIGN AB-A
o0980011	12697	𒚗	|AB~a×A@t|	PROTO-CUNEIFORM SIGN AB-A TIMES A TENU
o0980012	12698	𒚘	|AB~a×AŠ₂|	PROTO-CUNEIFORM SIGN AB-A TIMES ASH2
o0980015	12699	𒚙	|AB~a×(ŠE~a&ŠE~a)|	PROTO-CUNEIFORM SIGN AB-A TIMES SHE-A OVER SHE-A
o0980017	1269A	𒚚	|AB~a×ZATU659|	PROTO-CUNEIFORM SIGN AB-A TIMES ZATU659
o0980019	1269B	𒚛	|AB~a×1(N04)|	PROTO-CUNEIFORM SIGN AB-A TIMES ONE-N4
o0980020	1269C	𒚜	AB~a@g	PROTO-CUNEIFORM SIGN AB-A GUNU
o0980021	1269D	𒚝	AB~b	PROTO-CUNEIFORM SIGN AB-B
o0980025	1269E	𒚞	AB₂	PROTO-CUNEIFORM SIGN AB2
o0980026	1269F	𒚟	|AB₂×2(N14)|	PROTO-CUNEIFORM SIGN AB2 TIMES TWO-N14
o0980030	126A0	𒚠	ABZU	PROTO-CUNEIFORM SIGN ABZU
o0980031	126A1	𒚡	AD~a	PROTO-CUNEIFORM SIGN AD-A
o0980032	126A2	𒚢	AD~b	PROTO-CUNEIFORM SIGN AD-B
o0980033	126A3	𒚣	AD~c	PROTO-CUNEIFORM SIGN AD-C
o0980034	126A4	𒚤	ADAB	PROTO-CUNEIFORM SIGN ADAB
o0980035	126A5	𒚥	ADDA	PROTO-CUNEIFORM SIGN ADDA
o0980037	126A6	𒚦	AGAR₂	PROTO-CUNEIFORM SIGN AGAR2
o0980038	126A7	𒚧	AK~a	PROTO-CUNEIFORM SIGN AK-A
o0980039	126A8	𒚨	AK~b	PROTO-CUNEIFORM SIGN AK-B
o0980040	126A9	𒚩	AL	PROTO-CUNEIFORM SIGN AL
o0980041	126AA	𒚪	ALAN~a	PROTO-CUNEIFORM SIGN ALAN-A
o0980042	126AB	𒚫	ALAN~b	PROTO-CUNEIFORM SIGN ALAN-B
o0980043	126AC	𒚬	ALAN~c	PROTO-CUNEIFORM SIGN ALAN-C
o0980045	126AD	𒚭	ALAN~e	PROTO-CUNEIFORM SIGN ALAN-E
o0980047	126AE	𒚮	ALIM	PROTO-CUNEIFORM SIGN ALIM
o0980048	126AF	𒚯	AM~a	PROTO-CUNEIFORM SIGN AM-A
o0980049	126B0	𒚰	AM~b	PROTO-CUNEIFORM SIGN AM-B
o0980050	126B1	𒚱	AMA~a	PROTO-CUNEIFORM SIGN AMA-A
o0980051	126B2	𒚲	|AMA~a×E₂~a|	PROTO-CUNEIFORM SIGN AMA-A TIMES E2-A
o0980052	126B3	𒚳	AMA~b	PROTO-CUNEIFORM SIGN AMA-B
o0980053	126B4	𒚴	AMAR	PROTO-CUNEIFORM SIGN AMAR
