	1290	1291	1292	1293	1294	1295	1296	1297	1298	1299	129A	129B	129C	129D	129E	129F
0	𒤀=12900	𒤐=12910	𒤠=12920	𒤰=12930	𒥀=12940	𒥐=12950	𒥠=12960	𒥰=12970	𒦀=12980	𒦐=12990	𒦠=129A0	𒦰=129B0	𒧀=129C0	𒧐=129D0	𒧠=129E0	𒧰=129F0
1	𒤁=12901	𒤑=12911	𒤡=12921	𒤱=12931	𒥁=12941	𒥑=12951	𒥡=12961	𒥱=12971	𒦁=12981	𒦑=12991	𒦡=129A1	𒦱=129B1	𒧁=129C1	𒧑=129D1	𒧡=129E1	𒧱=129F1
2	𒤂=12902	𒤒=12912	𒤢=12922	𒤲=12932	𒥂=12942	𒥒=12952	𒥢=12962	𒥲=12972	𒦂=12982	𒦒=12992	𒦢=129A2	𒦲=129B2	𒧂=129C2	𒧒=129D2	𒧢=129E2	𒧲=129F2
3	𒤃=12903	𒤓=12913	𒤣=12923	𒤳=12933	𒥃=12943	𒥓=12953	𒥣=12963	𒥳=12973	𒦃=12983	𒦓=12993	𒦣=129A3	𒦳=129B3	𒧃=129C3	𒧓=129D3	𒧣=129E3	𒧳=129F3
4	𒤄=12904	𒤔=12914	𒤤=12924	𒤴=12934	𒥄=12944	𒥔=12954	𒥤=12964	𒥴=12974	𒦄=12984	𒦔=12994	𒦤=129A4	𒦴=129B4	𒧄=129C4	𒧔=129D4	𒧤=129E4	𒧴=129F4
5	𒤅=12905	𒤕=12915	𒤥=12925	𒤵=12935	𒥅=12945	𒥕=12955	𒥥=12965	𒥵=12975	𒦅=12985	𒦕=12995	𒦥=129A5	𒦵=129B5	𒧅=129C5	𒧕=129D5	𒧥=129E5	𒧵=129F5
6	𒤆=12906	𒤖=12916	𒤦=12926	𒤶=12936	𒥆=12946	𒥖=12956	𒥦=12966	𒥶=12976	𒦆=12986	𒦖=12996	𒦦=129A6	𒦶=129B6	𒧆=129C6	𒧖=129D6	𒧦=129E6	𒧶=129F6
7	𒤇=12907	𒤗=12917	𒤧=12927	𒤷=12937	𒥇=12947	𒥗=12957	𒥧=12967	𒥷=12977	𒦇=12987	𒦗=12997	𒦧=129A7	𒦷=129B7	𒧇=129C7	𒧗=129D7	𒧧=129E7	𒧷=129F7
8	𒤈=12908	𒤘=12918	𒤨=12928	𒤸=12938	𒥈=12948	𒥘=12958	𒥨=12968	𒥸=12978	𒦈=12988	𒦘=12998	𒦨=129A8	𒦸=129B8	𒧈=129C8	𒧘=129D8	𒧨=129E8	𒧸=129F8
9	𒤉=12909	𒤙=12919	𒤩=12929	𒤹=12939	𒥉=12949	𒥙=12959	𒥩=12969	𒥹=12979	𒦉=12989	𒦙=12999	𒦩=129A9	𒦹=129B9	𒧉=129C9	𒧙=129D9	𒧩=129E9	𒧹=129F9
A	𒤊=1290A	𒤚=1291A	𒤪=1292A	𒤺=1293A	𒥊=1294A	𒥚=1295A	𒥪=1296A	𒥺=1297A	𒦊=1298A	𒦚=1299A	𒦪=129AA	𒦺=129BA	𒧊=129CA	𒧚=129DA	𒧪=129EA	𒧺=129FA
B	𒤋=1290B	𒤛=1291B	𒤫=1292B	𒤻=1293B	𒥋=1294B	𒥛=1295B	𒥫=1296B	𒥻=1297B	𒦋=1298B	𒦛=1299B	𒦫=129AB	𒦻=129BB	𒧋=129CB	𒧛=129DB	𒧫=129EB	𒧻=129FB
C	𒤌=1290C	𒤜=1291C	𒤬=1292C	𒤼=1293C	𒥌=1294C	𒥜=1295C	𒥬=1296C	𒥼=1297C	𒦌=1298C	𒦜=1299C	𒦬=129AC	𒦼=129BC	𒧌=129CC	𒧜=129DC	𒧬=129EC	𒧼=129FC
D	𒤍=1290D	𒤝=1291D	𒤭=1292D	𒤽=1293D	𒥍=1294D	𒥝=1295D	𒥭=1296D	𒥽=1297D	𒦍=1298D	𒦝=1299D	𒦭=129AD	𒦽=129BD	𒧍=129CD	𒧝=129DD	𒧭=129ED	𒧽=129FD
E	𒤎=1290E	𒤞=1291E	𒤮=1292E	𒤾=1293E	𒥎=1294E	𒥞=1295E	𒥮=1296E	𒥾=1297E	𒦎=1298E	𒦞=1299E	𒦮=129AE	𒦾=129BE	𒧎=129CE	𒧞=129DE	𒧮=129EE	𒧾=129FE
F	𒤏=1290F	𒤟=1291F	𒤯=1292F	𒤿=1293F	𒥏=1294F	𒥟=1295F	𒥯=1296F	𒥿=1297F	𒦏=1298F	𒦟=1299F	𒦯=129AF	𒦿=129BF	𒧏=129CF	𒧟=129DF	𒧯=129EF	𒧿=129FF
