	12B0	12B1	12B2	12B3	12B4	12B5	12B6	12B7	12B8	12B9	12BA	12BB	12BC	12BD	12BE	12BF
0	𒬀=12B00	𒬐=12B10	𒬠=12B20	𒬰=12B30	𒭀=12B40	𒭐=12B50	𒭠=12B60	𒭰=12B70	𒮀=12B80	𒮐=12B90	𒮠=12BA0	𒮰=12BB0	𒯀=12BC0	𒯐=12BD0	𒯠=12BE0	𒯰=12BF0
1	𒬁=12B01	𒬑=12B11	𒬡=12B21	𒬱=12B31	𒭁=12B41	𒭑=12B51	𒭡=12B61	𒭱=12B71	𒮁=12B81	𒮑=12B91	𒮡=12BA1	𒮱=12BB1	𒯁=12BC1	𒯑=12BD1	𒯡=12BE1	𒯱=12BF1
2	𒬂=12B02	𒬒=12B12	𒬢=12B22	𒬲=12B32	𒭂=12B42	𒭒=12B52	𒭢=12B62	𒭲=12B72	𒮂=12B82	𒮒=12B92	𒮢=12BA2	𒮲=12BB2	𒯂=12BC2	𒯒=12BD2	𒯢=12BE2	𒯲=12BF2
3	𒬃=12B03	𒬓=12B13	𒬣=12B23	𒬳=12B33	𒭃=12B43	𒭓=12B53	𒭣=12B63	𒭳=12B73	𒮃=12B83	𒮓=12B93	𒮣=12BA3	𒮳=12BB3	𒯃=12BC3	𒯓=12BD3	𒯣=12BE3	𒯳=12BF3
4	𒬄=12B04	𒬔=12B14	𒬤=12B24	𒬴=12B34	𒭄=12B44	𒭔=12B54	𒭤=12B64	𒭴=12B74	𒮄=12B84	𒮔=12B94	𒮤=12BA4	𒮴=12BB4	𒯄=12BC4	𒯔=12BD4	𒯤=12BE4	𒯴=12BF4
5	𒬅=12B05	𒬕=12B15	𒬥=12B25	𒬵=12B35	𒭅=12B45	𒭕=12B55	𒭥=12B65	𒭵=12B75	𒮅=12B85	𒮕=12B95	𒮥=12BA5	𒮵=12BB5	𒯅=12BC5	𒯕=12BD5	𒯥=12BE5	𒯵=12BF5
6	𒬆=12B06	𒬖=12B16	𒬦=12B26	𒬶=12B36	𒭆=12B46	𒭖=12B56	𒭦=12B66	𒭶=12B76	𒮆=12B86	𒮖=12B96	𒮦=12BA6	𒮶=12BB6	𒯆=12BC6	𒯖=12BD6	𒯦=12BE6	𒯶=12BF6
7	𒬇=12B07	𒬗=12B17	𒬧=12B27	𒬷=12B37	𒭇=12B47	𒭗=12B57	𒭧=12B67	𒭷=12B77	𒮇=12B87	𒮗=12B97	𒮧=12BA7	𒮷=12BB7	𒯇=12BC7	𒯗=12BD7	𒯧=12BE7	𒯷=12BF7
8	𒬈=12B08	𒬘=12B18	𒬨=12B28	𒬸=12B38	𒭈=12B48	𒭘=12B58	𒭨=12B68	𒭸=12B78	𒮈=12B88	𒮘=12B98	𒮨=12BA8	𒮸=12BB8	𒯈=12BC8	𒯘=12BD8	𒯨=12BE8	𒯸=12BF8
9	𒬉=12B09	𒬙=12B19	𒬩=12B29	𒬹=12B39	𒭉=12B49	𒭙=12B59	𒭩=12B69	𒭹=12B79	𒮉=12B89	𒮙=12B99	𒮩=12BA9	𒮹=12BB9	𒯉=12BC9	𒯙=12BD9	𒯩=12BE9	𒯹=12BF9
A	𒬊=12B0A	𒬚=12B1A	𒬪=12B2A	𒬺=12B3A	𒭊=12B4A	𒭚=12B5A	𒭪=12B6A	𒭺=12B7A	𒮊=12B8A	𒮚=12B9A	𒮪=12BAA	𒮺=12BBA	𒯊=12BCA	𒯚=12BDA	𒯪=12BEA	𒯺=12BFA
B	𒬋=12B0B	𒬛=12B1B	𒬫=12B2B	𒬻=12B3B	𒭋=12B4B	𒭛=12B5B	𒭫=12B6B	𒭻=12B7B	𒮋=12B8B	𒮛=12B9B	𒮫=12BAB	𒮻=12BBB	𒯋=12BCB	𒯛=12BDB	𒯫=12BEB	𒯻=12BFB
C	𒬌=12B0C	𒬜=12B1C	𒬬=12B2C	𒬼=12B3C	𒭌=12B4C	𒭜=12B5C	𒭬=12B6C	𒭼=12B7C	𒮌=12B8C	𒮜=12B9C	𒮬=12BAC	𒮼=12BBC	𒯌=12BCC	𒯜=12BDC	𒯬=12BEC	𒯼=12BFC
D	𒬍=12B0D	𒬝=12B1D	𒬭=12B2D	𒬽=12B3D	𒭍=12B4D	𒭝=12B5D	𒭭=12B6D	𒭽=12B7D	𒮍=12B8D	𒮝=12B9D	𒮭=12BAD	𒮽=12BBD	𒯍=12BCD	𒯝=12BDD	𒯭=12BED	𒯽=12BFD
E	𒬎=12B0E	𒬞=12B1E	𒬮=12B2E	𒬾=12B3E	𒭎=12B4E	𒭞=12B5E	𒭮=12B6E	𒭾=12B7E	𒮎=12B8E	𒮞=12B9E	𒮮=12BAE	𒮾=12BBE	𒯎=12BCE	𒯞=12BDE	𒯮=12BEE	𒯾=12BFE
F	𒬏=12B0F	𒬟=12B1F	𒬯=12B2F	𒬿=12B3F	𒭏=12B4F	𒭟=12B5F	𒭯=12B6F	𒭿=12B7F	𒮏=12B8F	𒮟=12B9F	𒮯=12BAF	𒮿=12BBF	𒯏=12BCF	𒯟=12BDF	𒯯=12BEF	𒯿=12BFF
